##############################
Log started on 3/27/2023 6:06:40 AM

3/27/2023 6:43:20 AM: 221.127.243.47: Player 0xF1BE "miner" ('yetaobg1') used command 'elementtool1 '
3/27/2023 6:47:32 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:47:40 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:47:43 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:47:43 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:47:45 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:47:53 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:47:56 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:47:57 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 6:47:59 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 6:48:27 AM: 122.235.233.24: Player 0x43BD "Dw" ('testkk') used command 'set4 '
3/27/2023 6:48:44 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 6:48:53 AM: 122.235.233.24: Player 0x43BD "Dw" ('testkk') used command 'set4 '
3/27/2023 6:50:15 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'monkeyleap '
3/27/2023 6:50:16 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:50:19 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'monkeyleap '
3/27/2023 6:50:20 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:50:25 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:50:55 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'monkeyleap '
3/27/2023 6:50:56 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:51:08 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'monkeyleap '
3/27/2023 6:51:11 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:51:13 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:51:16 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:52:10 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:52:12 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:52:18 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:52:21 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:52:43 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'monkeyleap '
3/27/2023 6:52:44 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:52:53 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:53:05 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:53:06 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:53:10 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:53:12 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:54:50 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:54:55 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:54:56 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:54:58 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:55:00 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:55:03 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:56:07 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'monkeyleap '
3/27/2023 6:56:11 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:56:14 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:56:17 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:56:19 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 6:56:39 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 7:06:42 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set2 '
3/27/2023 7:06:45 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:07:34 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
3/27/2023 7:07:55 AM: 221.127.243.47: Player 0x115E3 "Xeron" ('reaper') used command 'set5 '
