5/7/2023 9:03:23 AM: 172.56.28.85: Player 0x2A001 "TigerLily of Nax" ('IslandGamer') used command 'abilitynames '
5/12/2023 10:04:24 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'corpse '
5/12/2023 10:05:03 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'sad '
5/12/2023 10:05:05 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'music '
5/12/2023 10:05:13 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'corpse '
5/12/2023 10:05:18 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
5/12/2023 10:07:13 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
5/12/2023 10:13:22 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'corpse '
5/12/2023 10:13:41 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'corpse '
5/12/2023 10:13:42 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'corpse '
5/12/2023 10:24:23 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'corpse '
5/13/2023 8:33:08 AM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'wealth '
5/13/2023 8:44:18 AM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
5/13/2023 9:10:14 AM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
5/13/2023 9:20:33 AM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
5/13/2023 9:25:52 AM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
5/13/2023 9:33:39 AM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
5/13/2023 10:16:15 AM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
5/13/2023 10:16:37 AM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'afk '
5/13/2023 10:18:34 AM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'c '
5/13/2023 10:19:06 AM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'sad '
5/13/2023 10:20:12 AM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
5/13/2023 10:34:03 AM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
5/13/2023 10:56:23 AM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
5/13/2023 11:49:21 AM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'music '
5/13/2023 11:50:09 AM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'music '
5/13/2023 11:50:33 AM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'music '
5/13/2023 11:58:07 AM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'music '
5/13/2023 1:44:44 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'wealth '
5/13/2023 6:39:10 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'music '
5/13/2023 6:39:18 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'music '
5/13/2023 6:50:03 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'bardtool1 '
5/13/2023 6:50:04 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'bardtool2 '
5/13/2023 6:57:17 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'music '
5/13/2023 6:57:18 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'music '
5/13/2023 6:59:37 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'bardclose1 '
5/13/2023 6:59:39 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'bardclose2 '
5/13/2023 6:59:40 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'bardtool1 '
5/13/2023 7:00:26 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'bardtool2 '
5/13/2023 7:00:43 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'bardclose1 '
5/13/2023 8:13:25 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'regbar '
5/13/2023 8:21:28 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'wealth '
5/13/2023 10:50:51 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
5/14/2023 9:57:17 AM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'wealth '
5/14/2023 10:10:15 AM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'choosepvp '
5/14/2023 12:43:31 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
5/14/2023 2:57:07 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'wealth '
5/14/2023 2:57:18 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'sad '
