##############################
Log started on 5/14/2023 8:01:49 AM

5/14/2023 8:23:48 AM: 172.59.79.82: Player 0x2552D "rizzen" ('rizzen76') used command 'choosepvp '
5/14/2023 9:09:32 AM: 221.127.246.32: Player 0x26AE5 "Gelu" ('nagash') used command 'set2 '
5/14/2023 9:09:54 AM: 221.127.246.32: Player 0x26AE5 "Gelu" ('nagash') used command 'set2 '
5/14/2023 9:09:58 AM: 221.127.246.32: Player 0x26AE5 "Gelu" ('nagash') used command 'set2 '
5/14/2023 9:13:24 AM: 221.127.246.32: Player 0xF1BE "miner" ('yetaobg1') used command 'elementtool1 '
5/14/2023 9:13:37 AM: 221.127.246.32: Player 0xF1BE "miner" ('yetaobg1') used command 'elementtool1 '
5/14/2023 9:14:05 AM: 221.127.246.32: Player 0xF1BE "miner" ('yetaobg1') used command 'choosepvp '
5/14/2023 9:18:59 AM: 218.72.126.181: Player 0x54B40 "Xs" ('testxs') used command 'choosepvp '
5/14/2023 9:19:18 AM: 218.72.126.181: Player 0x54B40 "Xs" ('testxs') used command 'choosepvp '
5/14/2023 9:20:35 AM: 218.72.126.181: Player 0x54B40 "Xs" ('testxs') used command 'choosepvp '
5/14/2023 9:20:37 AM: 218.72.126.181: Player 0x54B40 "Xs" ('testxs') used command 'choosepvp '
5/14/2023 9:20:46 AM: 218.72.126.181: Player 0x54B40 "Xs" ('testxs') used command 'choosepvp '
5/14/2023 9:22:44 AM: 218.72.126.181: Player 0x54B40 "Xs" ('testxs') used command 'choosepvp '
5/14/2023 9:26:33 AM: 192.168.16.101: Player 0x14540 "Levulk" ('jhs592') used command 'choosepvp '
5/14/2023 9:27:11 AM: 192.168.16.101: Player 0x61A40 "Rilliam Wiker" ('jhs591') used command 'choosepvp '
5/14/2023 9:57:17 AM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'wealth '
5/14/2023 9:57:21 AM: 218.72.126.181: Player 0x54B40 "Xs" ('testxs') used command 'set4 '
5/14/2023 9:57:49 AM: 192.168.16.101: Owner 0x186E6 "Nephtan" ('Admin') used command 'add wizardstick'
5/14/2023 9:57:50 AM: 192.168.16.101: Owner 0x186E6 "Nephtan" ('Admin') building at (6893, 1027, -6) in Lodor: "wizardstick"
5/14/2023 9:57:50 AM: 192.168.16.101: Serials: 0x400233FD; 
5/14/2023 10:10:15 AM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'choosepvp '
5/14/2023 11:39:25 AM: 86.136.63.107: Player 0x3BA "Kitkats" ('zelorise') used command 'choosepvp '
5/14/2023 11:53:37 AM: 86.136.63.107: Player 0x57253 "Sherbet" ('zelorise') used command 'magicgate '
5/14/2023 12:02:21 PM: 86.136.63.107: Player 0xE0DF "Yu Stinki Pu" ('zelorise') used command 'choosepvp '
5/14/2023 12:15:13 PM: 86.136.63.107: Player 0x57253 "Sherbet" ('zelorise') used command 'choosepvp '
5/14/2023 12:21:06 PM: 221.127.246.32: Player 0xF1BE "miner" ('yetaobg1') used command 'elementtool1 '
5/14/2023 12:21:23 PM: 221.127.246.32: Player 0xF1BE "miner" ('yetaobg1') used command 'elementtool1 '
5/14/2023 12:21:46 PM: 86.136.63.107: Player 0x57253 "Sherbet" ('zelorise') used command 'va '
5/14/2023 12:31:07 PM: 86.136.63.107: Player 0x57253 "Sherbet" ('zelorise') used command 'corpse '
5/14/2023 12:33:17 PM: 86.136.63.107: Player 0x57253 "Sherbet" ('zelorise') used command 'corpse '
5/14/2023 12:35:09 PM: 86.136.63.107: Player 0x57253 "Sherbet" ('zelorise') used command 'corpse '
5/14/2023 12:43:31 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
5/14/2023 2:57:07 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'wealth '
5/14/2023 2:57:18 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'sad '
5/14/2023 2:57:22 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
5/14/2023 3:01:26 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
5/14/2023 3:32:23 PM: 172.56.28.174: Player 0x2D03B "Fairy" ('IslandGamer') used command 'magicgate '
5/14/2023 5:11:06 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 5:23:49 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 5:24:03 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 5:24:14 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 5:24:25 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 5:24:37 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 5:24:51 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 5:25:02 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 5:28:21 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 5:28:22 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 5:33:53 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 5:58:50 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 5:59:02 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 5:59:27 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 6:06:08 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 6:06:20 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 6:07:23 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 6:07:54 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 6:08:31 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 6:08:41 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 6:08:52 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 6:09:26 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 6:10:04 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 6:10:14 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 6:10:24 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 6:10:47 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 6:10:58 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 6:11:08 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 6:11:19 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 6:11:44 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 6:12:20 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 6:12:32 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 6:12:49 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 6:13:05 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 6:13:22 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 6:13:41 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 6:13:51 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 6:14:02 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
