##############################
Log started on 3/16/2023 6:05:14 AM

3/16/2023 6:05:44 AM: 73.73.90.169: Administrator 0x4EBB0 "Valendil" ('paco2704') used command 'admin '
3/16/2023 6:12:40 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:13:10 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:14:40 AM: 117.189.143.250: Player 0x1223E "Eason" ('lee125') used command 'c '
3/16/2023 6:14:43 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:14:50 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:15:02 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:15:24 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:15:59 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:16:35 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:16:36 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:16:38 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:16:46 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:16:48 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:16:49 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:16:50 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:16:58 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:16:59 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:17:01 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:17:04 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
3/16/2023 6:17:05 AM: 117.153.137.186: Player 0xB16F "AT" ('yetaobg') used command 'set1 '
