##############################
Log started on 8/1/2023 8:00:49 AM

8/1/2023 1:37:48 PM: 135.23.169.165: Player 0x7F87C "Grackle" ('balbanes') used command 'sad '
8/1/2023 2:01:11 PM: 24.236.69.102: Player 0x1CD "Archie Goodwin" ('rbnnr12') used command 'bandself '
8/1/2023 2:01:20 PM: 24.236.69.102: Player 0x1CD "Archie Goodwin" ('rbnnr12') used command 'bandself '
8/1/2023 2:01:29 PM: 24.236.69.102: Player 0x1CD "Archie Goodwin" ('rbnnr12') used command 'bandself '
8/1/2023 2:01:37 PM: 24.236.69.102: Player 0x1CD "Archie Goodwin" ('rbnnr12') used command 'bandself '
8/1/2023 2:02:40 PM: 24.236.69.102: Player 0x1CD "Archie Goodwin" ('rbnnr12') used command 'bandself '
8/1/2023 2:02:49 PM: 24.236.69.102: Player 0x1CD "Archie Goodwin" ('rbnnr12') used command 'bandself '
8/1/2023 2:02:58 PM: 24.236.69.102: Player 0x1CD "Archie Goodwin" ('rbnnr12') used command 'bandself '
8/1/2023 2:03:59 PM: 24.236.69.102: Player 0x1CD "Archie Goodwin" ('rbnnr12') used command 'bandself '
8/1/2023 2:04:10 PM: 24.236.69.102: Player 0x1CD "Archie Goodwin" ('rbnnr12') used command 'bandself '
8/1/2023 2:04:19 PM: 24.236.69.102: Player 0x1CD "Archie Goodwin" ('rbnnr12') used command 'bandself '
8/1/2023 2:04:28 PM: 24.236.69.102: Player 0x1CD "Archie Goodwin" ('rbnnr12') used command 'bandself '
8/1/2023 2:06:03 PM: 24.236.69.102: Player 0x1CD "Archie Goodwin" ('rbnnr12') used command 'bandself '
8/1/2023 2:06:12 PM: 24.236.69.102: Player 0x1CD "Archie Goodwin" ('rbnnr12') used command 'bandself '
8/1/2023 3:08:43 PM: 192.168.16.101: Owner 0x186E6 "Nephtan" ('Admin') used command 'admin '
8/1/2023 3:08:54 PM: 192.168.16.101: Owner 0x186E6 "Nephtan" ('Admin') used command 'M Tele'
8/1/2023 5:17:21 PM: 146.70.166.140: Player 0x67F7D "Lilla" ('gerard1') used command 'c server crash this morning?'
8/1/2023 8:23:54 PM: 146.70.165.140: Player 0x67F7D "Lilla" ('gerard1') used command 'c '
8/2/2023 2:09:21 AM: 146.70.165.140: Player 0x67F7D "Lilla" ('gerard1') used command 'c '
8/2/2023 6:46:52 AM: 176.107.35.2: Player 0x18976 "Resis" ('resis12345') used command 'c '
8/2/2023 5:44:26 PM: 192.168.16.101: Owner 0x186E6 "Nephtan" ('Admin') used command 'mortal '
8/2/2023 5:44:27 PM: 192.168.16.101: Owner 0x186E6 "Nephtan" ('Admin') set property 'blessed' of 0x186E6 "Nephtan" ('Admin') to 'False'
8/2/2023 5:44:32 PM: 192.168.16.101: Owner 0x186E6 "Nephtan" ('Admin') used command 'speedboost '
8/2/2023 6:25:13 PM: 192.168.16.101: Owner 0x186E6 "Nephtan" ('Admin') used command 'mortal '
8/2/2023 6:25:17 PM: 192.168.16.101: Owner 0x186E6 "Nephtan" ('Admin') used command 'immortal '
8/2/2023 6:25:18 PM: 192.168.16.101: Owner 0x186E6 "Nephtan" ('Admin') set property 'blessed' of 0x186E6 "Nephtan" ('Admin') to 'True'
8/2/2023 10:33:32 PM: 146.70.166.204: Player 0x67F7D "Lilla" ('gerard1') used command 'c '
8/3/2023 1:52:35 AM: 146.70.168.100: Player 0x67F7D "Lilla" ('gerard1') used command 'c '
8/3/2023 1:52:49 AM: 146.70.168.100: Player 0x67F7D "Lilla" ('gerard1') used command 'motd '
8/3/2023 2:25:33 AM: 146.70.168.100: Player 0x577D2 "Lucretia" ('gerard') used command 'hunger '
8/3/2023 2:47:37 AM: 176.107.35.2: Player 0x16473 "Siri" ('suru2') used command 'skilllist '
8/3/2023 2:50:02 AM: 146.70.168.100: Player 0x577D2 "Lucretia" ('gerard') used command 'c '
8/3/2023 3:40:20 AM: 146.70.168.100: Player 0x577D2 "Lucretia" ('gerard') used command 'hunger '
8/3/2023 3:40:38 AM: 146.70.168.100: Player 0x577D2 "Lucretia" ('gerard') used command 'hunger '
8/3/2023 12:46:36 PM: 192.168.16.101: Owner 0x186E6 "Nephtan" ('Admin') used command 'admin '
8/3/2023 7:17:32 PM: 192.168.16.101: Owner 0x186E6 "Nephtan" ('Admin') used command 'M Tele'
8/3/2023 7:17:36 PM: 192.168.16.101: Owner 0x186E6 "Nephtan" ('Admin') used command 'M Tele'
8/4/2023 4:57:04 AM: 176.107.35.2: Player 0x18976 "Resis" ('resis12345') used command 'c '
8/4/2023 10:03:03 AM: 176.107.35.2: Player 0x18976 "Resis" ('resis12345') used command 'c '
8/4/2023 2:20:40 PM: 176.107.35.2: Player 0x18976 "Resis" ('resis12345') used command 'c '
8/5/2023 10:21:21 AM: 192.168.16.101: Owner 0x186E6 "Nephtan" ('Admin') used command 'statistics '
8/6/2023 7:20:04 AM: 176.107.35.2: Player 0x18976 "Resis" ('resis12345') used command 'c '
8/6/2023 1:55:08 PM: 176.107.35.2: Player 0x18976 "Resis" ('resis12345') used command 'c '
8/7/2023 3:19:15 AM: 176.107.35.2: Player 0x18976 "Resis" ('resis12345') used command 'c '
8/7/2023 2:55:23 PM: 176.107.35.2: Player 0x18976 "Resis" ('resis12345') used command 'c '
8/7/2023 9:54:26 PM: 192.168.16.101: Player 0x14540 "Levulk" ('jhs592') used command 'statistics '
8/8/2023 6:22:14 AM: 176.107.35.2: Player 0x18976 "Resis" ('resis12345') used command 'c '
