##############################
Log started on 3/14/2023 6:05:10 AM

3/14/2023 7:03:13 AM: 73.73.90.169: Administrator 0x4EBB0 "Valendil" ('paco2704') used command 'admin '
3/14/2023 7:03:15 AM: 73.73.90.169: Player 0x38DD "Finbar" ('paco27041') used command 'quickbar '
3/14/2023 7:03:16 AM: 73.73.90.169: Player 0x38DD "Finbar" ('paco27041') used command 'elementtool1 '
3/14/2023 7:03:18 AM: 73.73.90.169: Player 0x38DD "Finbar" ('paco27041') used command 'elementtool2 '
3/14/2023 7:56:00 AM: 117.153.137.186: Player 0xB0CC "AEN" ('yetaobg3') used command 'c '
3/14/2023 7:57:27 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'admin '
3/14/2023 7:58:09 AM: 192.168.16.101: Owner 0x1 "Nephtan" ('Admin') used command 'M Tele'
3/14/2023 9:12:37 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'enchantingetude '
3/14/2023 9:13:03 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'enchantingetude '
3/14/2023 9:13:40 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 9:15:40 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 9:15:48 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 9:15:56 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 9:16:12 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 9:16:20 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 9:16:28 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 9:17:53 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 9:18:20 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 9:18:28 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 9:18:36 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 9:18:44 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 9:18:53 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 9:19:01 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 9:20:00 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 9:20:15 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 9:23:25 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 9:24:41 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 9:25:58 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 9:27:14 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 9:28:31 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 9:29:47 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 9:31:03 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 9:32:20 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 9:33:36 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 9:34:53 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
3/14/2023 9:36:09 AM: 60.176.87.154: Player 0x200A "af" ('anfen') used command 'magesballad '
