Cassandra the Elder Scholar had slain a searing gargoyle#August 31, 2023 at 10:14
Cassandra the Elder Scholar had slain a gazer#August 31, 2023 at 10:14
Cassandra the Elder Scholar had slain a gazer#August 31, 2023 at 10:13
Cassandra the Elder Scholar had slain a flaming gargoyle#August 31, 2023 at 10:13
Cassandra the Elder Scholar had slain a gazer#August 31, 2023 at 10:12
Cassandra the Elder Scholar had slain Ardarion the mage of fire#August 31, 2023 at 10:12
Cassandra the Elder Scholar had slain a lava elemental#August 31, 2023 at 10:12
Cassandra the Elder Scholar had slain an efreet#August 31, 2023 at 10:11
Cassandra the Elder Scholar had slain a lava elemental#August 31, 2023 at 10:11
Cassandra the Elder Scholar had slain a fire steed#August 31, 2023 at 10:09
Cassandra the Elder Scholar had slain a blistering gargoyle#August 31, 2023 at 10:09
Cassandra the Elder Scholar had slain a fire elemental#August 31, 2023 at 10:01
Cassandra the Elder Scholar had slain a fire elemental#August 31, 2023 at 10:01
Cassandra the Elder Scholar had slain a fire elemental#August 31, 2023 at 10:01
Cassandra the Elder Scholar had slain a fire elemental#August 31, 2023 at 10:00
Cassandra the Elder Scholar had slain a fire elemental#August 31, 2023 at 10:00
Cassandra the Elder Scholar had slain a stone gargoyle#August 31, 2023 at 10:00
Cassandra the Elder Scholar had slain Guland the hell daemon#August 31, 2023 at 09:59
Cassandra the Elder Scholar had slain a gazer#August 31, 2023 at 09:59
Cassandra the Elder Scholar had slain a hell hound#August 31, 2023 at 09:59
Cassandra the Elder Scholar had slain a fire elemental#August 31, 2023 at 09:59
Cassandra the Elder Scholar had slain Tatrros the quasit#August 31, 2023 at 09:59
Cassandra the Elder Scholar had slain Bucon the mephit#August 31, 2023 at 09:58
Cassandra the Elder Scholar had slain an ashen gargoyle#August 31, 2023 at 09:57
Cassandra the Elder Scholar had slain Merkula the great sorcereress#August 31, 2023 at 09:57
Cassandra the Elder Scholar had slain Thulacka the magician of flame#August 31, 2023 at 09:57
Cassandra the Elder Scholar had slain a gazer#August 31, 2023 at 09:57
Cassandra the Elder Scholar had slain a hell hound#August 31, 2023 at 09:57
