"Path","Root","PrimaryRole","SecondaryRoles","System","Namespace","Types","IncludedInScriptsProject","ProjectTruthAction","Commands","Hooks","SerializedTypes","Gumps","ConfigData","Evidence"
"Data/Scripts/Custom/Access Level Stone [2.0]/AccessLevelStone.cs","Custom","Persistence","","Custom:Access Level Stone [2.0]","Server.Items","class:AccessLevelStone","True","Keep","","","class:AccessLevelStone","","","serialization marker"
"Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/DragonShapeChangeStone-body.cs","Custom","GumpUI","Persistence","Custom:AnimalSystem","Server.Items","class:DragonShapeShiftStone;class:BodyValueGump;class:ChangeBodyValue","True","Keep","","OnSpeech","class:DragonShapeShiftStone;class:BodyValueGump;class:ChangeBodyValue","OnResponse;SendGump","","gump marker; serialization marker"
"Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/FaeryShapeChangeStone.cs","Custom","Persistence","","Custom:AnimalSystem","Server.Items","class:FaerieShapeShiftStone","True","Keep","","OnSpeech","class:FaerieShapeShiftStone","","","serialization marker"
"Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/FelinusShapeChangeStone.cs","Custom","GumpUI","Persistence","Custom:AnimalSystem","Server.Items","class:FelinusShapeShiftStone;class:HueGump;class:ChangeHue","True","Keep","","OnSpeech","class:FelinusShapeShiftStone;class:HueGump;class:ChangeHue","OnResponse;SendGump","","gump marker; serialization marker"
"Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/RatShapeChangeStone.cs","Custom","GumpUI","Persistence","Custom:AnimalSystem","Server.Items","class:RatShapeShiftStone;class:HueGump;class:ChangeHue","True","Keep","","OnSpeech","class:RatShapeShiftStone;class:HueGump;class:ChangeHue","OnResponse;SendGump","","gump marker; serialization marker"
"Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/WolvenShapeChangeStone.cs","Custom","GumpUI","Persistence","Custom:AnimalSystem","Server.Items","class:WolvenShapeShiftStone;class:HueGump;class:ChangeHue","True","Keep","","OnSpeech","class:WolvenShapeShiftStone;class:HueGump;class:ChangeHue","OnResponse;SendGump","","gump marker; serialization marker"
"Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs","Custom","CommandSurface","StartupWiring;GumpUI;WorldState","Custom:BoatNavigationTotem","Server.Gumps","class:BoatNavigationControl;enum:BackgroundType;enum:Buttons","True","Keep","CommandSystem.Register(","Initialize","","OnResponse;SendGump","","CommandSystem.Register marker; gump marker; startup/event/timer/world marker; world/quest/controller path marker"
"Data/Scripts/Custom/BondInfo/BondInfo.cs","Custom","CommandSurface","StartupWiring","Custom:BondInfo","Server.Commands","class:BondInfoCommand","True","Keep","CommandSystem.Register(","Initialize","","","","CommandSystem.Register marker; startup/event/timer/world marker"
"Data/Scripts/Custom/Book Publisher [2.0]/BookBuyInfo.cs","Custom","Unknown","","Custom:Book Publisher [2.0]","Server.Mobiles","class:BookBuyInfo","True","Keep","","","","","","no Phase 1 marker or path classifier matched"
"Data/Scripts/Custom/Book Publisher [2.0]/PublishedBook.cs","Custom","Persistence","","Custom:Book Publisher [2.0]","Server.Items","class:PublishedBook","True","Keep","","","class:PublishedBook","","","serialization marker"
