"DocPath","Title","Scope","CanonicalPage","CanonicalTarget","LegacySlug","Indexed","IndexCategory","IndexText","SourceTracePresent","CodeVerified","VerifiedSourceFiles","MissingSourceFiles","RuntimeHooksCovered","SerializationCovered","ProjectTruthCoverage","StaleClaims","MissingClaims","ExistingBacklogIds","GeneratedBacklogId","CoverageStatus"
"docs/CCWM/AGENTS.md","Agent Instructions for CCWM Documentation","MapSupport","Support","","False","False","","","No","False","Data/Scripts/Scripts.csproj;Data/Scripts/System/Misc/MapDefinitions.cs","","","","Data/Scripts/System/Misc/MapDefinitions.cs=Keep","","","","","Support"
"docs/CCWM/ccwm-autoprompt.md","","MapSupport","Support","","False","False","","","No","False","Data/Scripts/System/Misc/MapDefinitions.cs","","","","Data/Scripts/System/Misc/MapDefinitions.cs=Keep","","","","","Support"
"docs/CCWM/Confictura_Codex_World_Map.md","Confictura Codex World Map","MapSupport","Support","","False","False","","","No","False","","","","","","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0001","Support"
"docs/CCWM/generated/Run_Index.md","CCWM Run Index","MapSupport","Support","","False","False","","","No","False","","","","","","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0002","Support"
"docs/CCWM/README.md","Confictura Codex World Map","MapSupport","Support","","False","False","","","No","False","Data/Scripts/Scripts.csproj","","","","","","","","","Support"
"docs/CCWM/tools/live-state-exporter/README.md","CCWMLiveStateExporter","MapSupport","Support","","False","False","","","No","False","Data/Scripts/Scripts.csproj","","","","","","","","","Support"
"docs/wiki/Access_Level_Stone.md","Access Level Stone","WikiPage","Canonical","","False","True","Staff And Administration","Access Level Stone","No","False","Data/Scripts/Custom/Access Level Stone [2.0]/AccessLevelStone.cs","","","Server.Items.AccessLevelStone","Data/Scripts/Custom/Access Level Stone [2.0]/AccessLevelStone.cs=Keep","","Missing Source Trace section.","","DOC-0003","NeedsBacklog"
"docs/wiki/AI_OVERHAUL_AUDIT.md","AI Overhaul Audit","WikiPage","Canonical","","False","True","Technical And Engine Reference","AI Overhaul Audit","Yes","False","Data/Scripts/Mobiles/Base/BaseCreature.cs;Data/Scripts/Mobiles/Base/Behavior.cs;Data/Scripts/Mobiles/Base/BaseVendor.cs;Data/Scripts/Mobiles/Base/BaseHealer.cs;Data/Scripts/System/Regions/BaseRegion.cs;Data/Scripts/Custom/RandomEncounters/Import.cs;Data/Scripts/Custom/RandomEncounters/EncounterEngine.cs;Data/Scripts/Mobiles/Civilized/Citizens/Citizens.cs;Data/Scripts/Mobiles/Civilized/Vendors/Mage.cs;Data/Scripts/Mobiles/Civilized/Vendors/Banker.cs;Data/Scripts/Mobiles/Base/BaseNPC.cs;Data/Scripts/Mobiles/Base/BasePerson.cs;Data/System/Source/Sector.cs;Data/System/Source/Region.cs;Data/Scripts/Custom/OmniAI/OmniAI Core.cs;Data/Scripts/Custom/OmniAI/OmniAI Shared.cs;Data/Scripts/System/Obsolete;Data/Scripts/Custom/XMLSpawner;Data/Scripts/Custom/CloneOfflinePlayerCharacters/CharacterClone.cs;Data/Scripts/Custom/OmniAI/AITester.cs;Data/Scripts/Magic/Jester/Spells/Clowns.cs;Data/Scripts/Magic/Ninjitsu/MirrorImage.cs;Data/Scripts/Magic/Death Knight/DevilPact.cs;Data/Scripts/Magic/Druidism/Effects/TreefellowSpell.cs;Data/Scripts/Magic/Elementalism/Mobiles/ElementalFiendAir.cs;Data/Scripts/Magic/Elementalism/Mobiles/ElementalFiendEarth.cs;Data/Scripts/Magic/Elementalism/Mobiles/ElementalFiendFire.cs;Data/Scripts/Magic/Elementalism/Mobiles/ElementalFiendWater.cs;Data/Scripts/Magic/Elementalism/Mobiles/ElementalSpiritAir.cs;Data/Scripts/Magic/Elementalism/Mobiles/ElementalSpiritEarth.cs;Data/Scripts/Magic/Elementalism/Mobiles/ElementalSpiritFire.cs;Data/Scripts/Magic/Elementalism/Mobiles/ElementalSpiritWater.cs;Data/Scripts/Magic/Enchantments/Mobiles/DevilPactMagic.cs;Data/Scripts/Magic/Misc/SummonDragonSpell.cs;Data/Scripts/Magic/Misc/SummonSkeleton.cs;Data/Scripts/Magic/Misc/SummonSnakesSpell.cs;Data/Scripts/Mobiles/Summoned/BladeSpirits.cs;Data/Scripts/Mobiles/Summoned/DeathVortex.cs;Data/Scripts/Mobiles/Summoned/EnergyVortex.cs;Data/Scripts/Mobiles/Summoned/GasCloud.cs;Data/Scripts/Mobiles/Summoned/Swarm.cs;Data/Scripts/Mobiles/Humanoids/Humans/Adventurers.cs;Data/Scripts/Mobiles/Humanoids/Aliens/Syth.cs;Data/Scripts/Mobiles/Humanoids/Aliens/Jedi.cs;Data/Scripts/Mobiles/Unique/RuneGuardian.cs;Data/Scripts/Mobiles/Mystical/DarkWisp.cs;Data/Scripts/Mobiles/Mystical/Wisp.cs","","Event;Gump;Initialize;Movement;Region;Speech;Timer;WorldLoad","Server.Custom.Confictura.CloneOfflinePlayerCharacters.CharacterClone;Server.HeldLight;Server.Mobiles.Adventurers;Server.Mobiles.AITester;Server.Mobiles.Banker;Server.Mobiles.BaseCreature;Server.Mobiles.BaseHealer;Server.Mobiles.BaseNPC;Server.Mobiles.BasePerson;Server.Mobiles.BaseVendor;Server.Mobiles.BladeSpirits;Server.Mobiles.Citizens;Server.Mobiles.DarkWisp;Server.Mobiles.DeathVortex;Server.Mobiles.Devil_Pact;Server.Mobiles.DevilPact;Server.Mobiles.ElementalFiendAir;Server.Mobiles.ElementalFiendEarth;Server.Mobiles.ElementalFiendFire;Server.Mobiles.ElementalFiendWater;Server.Mobiles.ElementalSpiritAir;Server.Mobiles.ElementalSpiritEarth;Server.Mobiles.ElementalSpiritFire;Server.Mobiles.ElementalSpiritWater;Server.Mobiles.EnergyVortex;Server.Mobiles.GasCloud;Server.Mobiles.Jedi;Server.Mobiles.Mage;Server.Mobiles.RuneGuardian;Server.Mobiles.RuneOnCorpse;Server.Mobiles.Swarm;Server.Mobiles.Syth;Server.Mobiles.Wisp;Server.Spells.Herbalist.SummonedTreefellow;Server.Spells.Jester.Clown;Server.Spells.Magical.SummonDragon;Server.Spells.Magical.SummonSkeleton;Server.Spells.Magical.SummonSnakes;Server.Spells.Ninjitsu.Clone;Server.TransferItem;Unknown","Data/Scripts/Mobiles/Base/BaseCreature.cs=Keep;Data/Scripts/Mobiles/Base/Behavior.cs=Keep;Data/Scripts/Mobiles/Base/BaseVendor.cs=Keep;Data/Scripts/Mobiles/Base/BaseHealer.cs=Keep;Data/Scripts/System/Regions/BaseRegion.cs=Keep;Data/Scripts/Custom/RandomEncounters/Import.cs=Keep;Data/Scripts/Custom/RandomEncounters/EncounterEngine.cs=Keep;Data/Scripts/Mobiles/Civilized/Citizens/Citizens.cs=Keep;Data/Scripts/Mobiles/Civilized/Vendors/Mage.cs=Keep;Data/Scripts/Mobiles/Civilized/Vendors/Banker.cs=Keep;Data/Scripts/Mobiles/Base/BaseNPC.cs=Keep;Data/Scripts/Mobiles/Base/BasePerson.cs=Keep;Data/Scripts/Custom/OmniAI/OmniAI Core.cs=Keep;Data/Scripts/Custom/OmniAI/OmniAI Shared.cs=Keep;Data/Scripts/Custom/CloneOfflinePlayerCharacters/CharacterClone.cs=Keep;Data/Scripts/Custom/OmniAI/AITester.cs=Keep;Data/Scripts/Magic/Jester/Spells/Clowns.cs=Keep;Data/Scripts/Magic/Ninjitsu/MirrorImage.cs=Keep;Data/Scripts/Magic/Death Knight/DevilPact.cs=Keep;Data/Scripts/Magic/Druidism/Effects/TreefellowSpell.cs=Keep;Data/Scripts/Magic/Elementalism/Mobiles/ElementalFiendAir.cs=Keep;Data/Scripts/Magic/Elementalism/Mobiles/ElementalFiendEarth.cs=Keep;Data/Scripts/Magic/Elementalism/Mobiles/ElementalFiendFire.cs=Keep;Data/Scripts/Magic/Elementalism/Mobiles/ElementalFiendWater.cs=Keep;Data/Scripts/Magic/Elementalism/Mobiles/ElementalSpiritAir.cs=Keep;Data/Scripts/Magic/Elementalism/Mobiles/ElementalSpiritEarth.cs=Keep;Data/Scripts/Magic/Elementalism/Mobiles/ElementalSpiritFire.cs=Keep;Data/Scripts/Magic/Elementalism/Mobiles/ElementalSpiritWater.cs=Keep;Data/Scripts/Magic/Enchantments/Mobiles/DevilPactMagic.cs=Keep;Data/Scripts/Magic/Misc/SummonDragonSpell.cs=Keep;Data/Scripts/Magic/Misc/SummonSkeleton.cs=Keep;Data/Scripts/Magic/Misc/SummonSnakesSpell.cs=Keep;Data/Scripts/Mobiles/Summoned/BladeSpirits.cs=Keep;Data/Scripts/Mobiles/Summoned/DeathVortex.cs=Keep;Data/Scripts/Mobiles/Summoned/EnergyVortex.cs=Keep;Data/Scripts/Mobiles/Summoned/GasCloud.cs=Keep;Data/Scripts/Mobiles/Summoned/Swarm.cs=Keep;Data/Scripts/Mobiles/Humanoids/Humans/Adventurers.cs=Keep;Data/Scripts/Mobiles/Humanoids/Aliens/Syth.cs=Keep;Data/Scripts/Mobiles/Humanoids/Aliens/Jedi.cs=Keep;Data/Scripts/Mobiles/Unique/RuneGuardian.cs=Keep;Data/Scripts/Mobiles/Mystical/DarkWisp.cs=Keep;Data/Scripts/Mobiles/Mystical/Wisp.cs=Keep","","","","","SourceTracePresent"
"docs/wiki/Animal_Shape_Stones.md","System Name: Animal Shape Stones","WikiPage","Canonical","","False","True","Combat, Magic, And Character Progression","Animal Shape Stones","No","True","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/;Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/DragonShapeChangeStone-body.cs;Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/FaeryShapeChangeStone.cs;Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/FelinusShapeChangeStone.cs;Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/RatShapeChangeStone.cs;Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/WolvenShapeChangeStone.cs;Data/Scripts/Scripts.csproj","","Gump;Speech","Server.Items.DragonShapeShiftStone;Server.Items.FaerieShapeShiftStone;Server.Items.FelinusShapeShiftStone;Server.Items.RatShapeShiftStone;Server.Items.WolvenShapeShiftStone","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/DragonShapeChangeStone-body.cs=Keep;Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/FaeryShapeChangeStone.cs=Keep;Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/FelinusShapeChangeStone.cs=Keep;Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/RatShapeChangeStone.cs=Keep;Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/WolvenShapeChangeStone.cs=Keep","","Missing Source Trace section.","WIKI-0015","","Backlogged"
"docs/wiki/Animal_Trainer_Stable_Claim.md","NPC Animal Trainer Stable/Claim","WikiPage","Canonical","","False","True","Crafting, Harvesting, Trades, And Economy","Animal Trainer Stable/Claim","No","False","Data/Scripts/Mobiles/Civilized/Vendors/AnimalTrainer.cs;Data/Scripts/Mobiles/Civilized/Vendors/GypsyAnimalTrainer.cs;Data/System/Source/Mobile.cs;Data/Scripts/Mobiles/Base/BaseCreature.cs;Data/Scripts/Mobiles/Base/PlayerMobile.cs;Data/Scripts/System/Misc/Settings.cs","","Event;Gump;Initialize;Login;Logout;Movement;Speech;Timer;WorldLoad","Server.Mobile;Server.Mobiles.AnimalTrainer;Server.Mobiles.BaseCreature;Server.Mobiles.GypsyAnimalTrainer;Server.Mobiles.PlayerMobile","Data/Scripts/Mobiles/Civilized/Vendors/AnimalTrainer.cs=Keep;Data/Scripts/Mobiles/Civilized/Vendors/GypsyAnimalTrainer.cs=Keep;Data/Scripts/Mobiles/Base/BaseCreature.cs=Keep;Data/Scripts/Mobiles/Base/PlayerMobile.cs=Keep;Data/Scripts/System/Misc/Settings.cs=Keep","","Missing Source Trace section.","","DOC-0004","NeedsBacklog"
