"Command","AccessLevel","Handler","File","Line","LikelySystem","RegistrationLine"
"","","","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs","19","Custom:BoatNavigationTotem","CommandSystem.Register("
"","","","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs","24","Custom:BoatNavigationTotem","CommandSystem.Register("
"","","","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs","29","Custom:BoatNavigationTotem","CommandSystem.Register("
"","","","Data/Scripts/Custom/BondInfo/BondInfo.cs","14","Custom:BondInfo","CommandSystem.Register("
"","","","Data/Scripts/Custom/ChangeSeason/ChangeSeason.cs","12","Custom:ChangeSeason","CommandSystem.Register("
"","","","Data/Scripts/Custom/Character Swap/CharacterSwap.cs","14","Custom:Character Swap","CommandSystem.Register("
"","","","Data/Scripts/Custom/ClearDeckCommand/ClearDeckCommand.cs","15","Custom:ClearDeckCommand","CommandSystem.Register("
"","","","Data/Scripts/Custom/Government System/CityUpgradeSystem.cs","17","Custom:Government System","CommandSystem.Register("
"","","","Data/Scripts/Custom/Government System/Commands/AdminAdd.cs","16","Custom:Government System","CommandSystem.Register("
"","","","Data/Scripts/Custom/Government System/Commands/FindCities.cs","16","Custom:Government System","CommandSystem.Register("
"","","","Data/Scripts/Custom/Government System/Commands/GovernmentTestingCommand.cs","16","Custom:Government System","CommandSystem.Register("
"","","","Data/Scripts/Custom/Government System/Commands/GovHelp.cs","16","Custom:Government System","CommandSystem.Register("
"","","","Data/Scripts/Custom/Government System/Items/Stones/CityManagementStone.cs","465","Custom:Government System","CommandSystem.Register("
"","","","Data/Scripts/Custom/Government System/Vendor/CityPlayerVendor.cs","68","Custom:Government System","CommandSystem.Register("
"","","","Data/Scripts/Custom/Government System/Vendor/CityPlayerVendor.cs","73","Custom:Government System","CommandSystem.Register("
"","","","Data/Scripts/Custom/Invasion System/Gump/InvasionGump.cs","14","Custom:Invasion System","CommandSystem.Register("
"Clone","","Clone_OnCommand","Data/Scripts/Custom/NPC Control/CloneCommands.cs","21","Custom:NPC Control","CommandSystem.Register(""Clone"", accessLevel, new CommandEventHandler(Clone_OnCommand));"
"","","","Data/Scripts/Custom/NPC Control/CloneCommands.cs","22","Custom:NPC Control","CommandSystem.Register("
"","","","Data/Scripts/Custom/NPC Control/StaffCommands/CloneMe.cs","17","Custom:NPC Control","CommandSystem.Register("
"GmMe","","GmMe_OnCommand","Data/Scripts/Custom/NPC Control/StaffCommands/GmMe.cs","14","Custom:NPC Control","CommandSystem.Register(""GmMe"", accessLevel, new CommandEventHandler(GmMe_OnCommand));"
"","","","Data/Scripts/Custom/NPC Control/StaffCommands/HearAll.cs","15","Custom:NPC Control","CommandSystem.Register("
"","","","Data/Scripts/Custom/NPC Control/StaffCommands/Refresh.cs","14","Custom:NPC Control","CommandSystem.Register("
"","","","Data/Scripts/Custom/NPC Control/StaffCommands/SayThis.cs","16","Custom:NPC Control","CommandSystem.Register("
"NudgeSelfDown","GameMaster","NudgeSelfDown_OnCommand","Data/Scripts/Custom/OrbRemoteServer/UOArchitect/ClientCommands.cs","15","Custom:OrbRemoteServer","CommandSystem.Register(""NudgeSelfDown"", AccessLevel.GameMaster, new CommandEventHandler(NudgeSelfDown_OnCommand));"
"NudgeSelfUp","GameMaster","NudgeSelfUp_OnCommand","Data/Scripts/Custom/OrbRemoteServer/UOArchitect/ClientCommands.cs","16","Custom:OrbRemoteServer","CommandSystem.Register(""NudgeSelfUp"", AccessLevel.GameMaster, new CommandEventHandler(NudgeSelfUp_OnCommand));"
"MRemove","GameMaster","MultiRemove_OnCommand","Data/Scripts/Custom/OrbRemoteServer/UOArchitect/ClientCommands.cs","55","Custom:OrbRemoteServer","CommandSystem.Register(""MRemove"", AccessLevel.GameMaster, new CommandEventHandler(MultiRemove_OnCommand));"
"","","","Data/Scripts/Custom/Player Range Sensitive Mod/setdeactivation.cs","15","Custom:Player Range Sensitive Mod","CommandSystem.Register("
"","","","Data/Scripts/Custom/Point Command [2.0]/Point.cs","15","Custom:Point Command [2.0]","CommandSystem.Register("
"","","","Data/Scripts/Custom/Progression/CharacterLevel/CharacterLevelCommands.cs","14","Custom:Progression","CommandSystem.Register("
"","","","Data/Scripts/Custom/Progression/CharacterLevel/CharacterLevelCommands.cs","20","Custom:Progression","CommandSystem.Register("
"","","","Data/Scripts/Custom/PvE/CloneOfflinePlayerCharacters/CheckClonesCommand.cs","19","Custom:PvE","CommandSystem.Register("
"","","","Data/Scripts/Custom/PvE/RandomEncounters/Commands.cs","23","Custom:PvE","Server.Commands.CommandSystem.Register("
"","","","Data/Scripts/Custom/PvPConsent/Gumps/PKNONPKGUMP.cs","89","Custom:PvPConsent","CommandSystem.Register("
"","","","Data/Scripts/Custom/Searches/Commands.cs","23","Custom:Searches","Server.Commands.CommandSystem.Register("
"","","","Data/Scripts/Custom/StaffTools/StaticGumpTool/StaticGump(Alternative).cs","13","Custom:StaffTools","CommandSystem.Register("
"","","","Data/Scripts/Custom/StaffTools/StaticGumpTool/StaticGump(Alternative).cs","18","Custom:StaffTools","CommandSystem.Register("
"","","","Data/Scripts/Custom/StaffTools/StaticGumpTool/StaticGump(Alternative).cs","23","Custom:StaffTools","CommandSystem.Register("
"","","","Data/Scripts/Custom/StaffTools/StaticGumpTool/Side Gumps/AddAnimation.cs","18","Custom:StaffTools","CommandSystem.Register("
