"File","Line","LikelySystem","Reference","Evidence"
"Data/Scripts/Custom/Book Publisher [2.0]/XmlBook.cs","170","Custom:Book Publisher [2.0]","*.xml","string[] files = Directory.GetFiles(DataPath, ""*.xml"");"
"Data/Scripts/Custom/Government System/CityUpgradeSystem.cs","153","Custom:Government System","Data/GovernmentVersion.xml","Path.Combine(Core.BaseDirectory, ""Data/GovernmentVersion.xml"")"
"Data/Scripts/Custom/Government System/PlayerGovernmentSystem.cs","21","Custom:Government System","Data/GovernmentVersion.xml","public static string FileName = ""Data/GovernmentVersion.xml"";"
"Data/Scripts/Custom/Invasion System/Add Ins/Pirates/Chasing Pirates/PirateCaptain.cs","20","Custom:Invasion System","Data/The Pirate Captain Invader/Speech.txt","public static string path = ""Data/The Pirate Captain Invader/Speech.txt"";"
"Data/Scripts/Custom/RandomEncounters/EncounterEngine.cs","47","Custom:RandomEncounters","./Data/Scripts/Custom/RandomEncounters/RandomEncounters.xml","""./Data/Scripts/Custom/RandomEncounters/RandomEncounters.xml"";"
"Data/Scripts/Custom/RandomEncounters/Import.cs","382","Custom:RandomEncounters","Data/Import/Premiums/RandomEncounters.xml","""Data/Import/Premiums/RandomEncounters.xml"""
"Data/Scripts/Custom/Voting/VoteConfig.cs","117","Custom:Voting","Data/VoteSystem.cfg","FileInfo info = new FileInfo(""Data/VoteSystem.cfg"");"
"Data/Scripts/Custom/Voting/VoteConfig.cs","150","Custom:Voting","Data/VoteSystem.cfg","FileInfo info = new FileInfo(""Data/VoteSystem.cfg"");"
"Data/Scripts/Custom/XMLSpawner/XmlSpawner2.cs","4351","Custom:XMLSpawner","Data/xmlspawner.cfg","string path = Path.Combine(Core.BaseDirectory, ""Data/xmlspawner.cfg"");"
"Data/Scripts/Custom/XMLSpawner/XmlSpawner2.cs","5802","Custom:XMLSpawner","*.xml","files = Directory.GetFiles(filename, ""*.xml"");"
"Data/Scripts/Custom/XMLSpawner/XmlSpawner2.cs","7712","Custom:XMLSpawner","*.xml","files = Directory.GetFiles(filename, ""*.xml"");"
"Data/Scripts/Custom/XMLSpawner/XmlUtils/Gumps/XmlCategorizedAddGump.cs","217","Custom:XMLSpawner","Data/objects.xml","m_Root = Load(""Data/objects.xml"");"
"Data/Scripts/Items/Books/BulletinBoards/RulesBoard.cs","29","Items:Books","Info/Rules.txt","string path = ""Info/Rules.txt"";"
"Data/Scripts/Items/Houses/ComponentVerification.cs","42","Items:Houses","Data/System/Components/walls.txt","""Data/System/Components/walls.txt"","
"Data/Scripts/Items/Houses/ComponentVerification.cs","59","Items:Houses","Data/System/Components/teleprts.txt","""Data/System/Components/teleprts.txt"","
"Data/Scripts/Items/Houses/ComponentVerification.cs","78","Items:Houses","Data/System/Components/stairs.txt","""Data/System/Components/stairs.txt"","
"Data/Scripts/Items/Houses/ComponentVerification.cs","90","Items:Houses","Data/System/Components/roof.txt","""Data/System/Components/roof.txt"","
"Data/Scripts/Items/Houses/ComponentVerification.cs","109","Items:Houses","Data/System/Components/floors.txt","""Data/System/Components/floors.txt"","
"Data/Scripts/Items/Houses/ComponentVerification.cs","128","Items:Houses","Data/System/Components/misc.txt","""Data/System/Components/misc.txt"","
"Data/Scripts/Items/Houses/ComponentVerification.cs","139","Items:Houses","Data/System/Components/doors.txt","""Data/System/Components/doors.txt"","
"Data/Scripts/Items/Houses/ComponentVerification.cs","151","Items:Houses","Data/System/Components/stairs.txt","""Data/System/Components/stairs.txt"","
"Data/Scripts/Items/Houses/HouseFoundation.cs","2892","Items:Houses","dsd_exceptions.txt","using (StreamWriter op = new StreamWriter(""dsd_exceptions.txt"", true))"
"Data/Scripts/Items/Houses/Monopoly/Decorate.cs","61","Items:Houses","*.cfg","string[] files = Directory.GetFiles(folder, ""*.cfg"");"
"Data/Scripts/System/Commands/AreaLog.cs","43","System:Commands","area.txt","new object[] { ""area.txt"" }"
"Data/Scripts/System/Commands/AreaLog.cs","55","System:Commands","area.txt","StreamWriter w = File.AppendText(""area.txt"");"
"Data/Scripts/System/Commands/Docs.cs","1840","System:Commands","models/models.txt","string path = Core.FindDataFile(""models/models.txt"");"
"Data/Scripts/System/Commands/FaceLog.cs","102","System:Commands","facing.txt","StreamWriter w = File.AppendText(""facing.txt"");"
"Data/Scripts/System/Commands/GenCategorization.cs","57","System:Commands","Data/System/XML/objects.xml","Export(root, ""Data/System/XML/objects.xml"", ""Objects"");"
"Data/Scripts/System/Commands/GenCategorization.cs","169","System:Commands","Data/System/CFG/items.cfg","m_RootItems = Load(types, ""Data/System/CFG/items.cfg"");"
"Data/Scripts/System/Commands/GenCategorization.cs","170","System:Commands","Data/System/CFG/mobiles.cfg","m_RootMobiles = Load(types, ""Data/System/CFG/mobiles.cfg"");"
"Data/Scripts/System/Commands/LogTreasureChests.cs","42","System:Commands","Info/treasurechests.txt","string sPath = ""Info/treasurechests.txt"";"
"Data/Scripts/System/Commands/MultiMaker.cs","510","System:Commands","TheMulti\{0}Multi.txt","string.Format(@""TheMulti\{0}Multi.txt"", name)"
"Data/Scripts/System/Commands/MultiMaker.cs","515","System:Commands","TheMulti\{0}Multi.txt","string.Format(@""TheMulti\{0}Multi.txt"", name)"
"Data/Scripts/System/Commands/PointLog.cs","66","System:Commands","points.txt","StreamWriter w = File.AppendText(""points.txt"");"
"Data/Scripts/System/Commands/PointLog.cs","81","System:Commands","containers.txt","StreamWriter w = File.AppendText(""containers.txt"");"
"Data/Scripts/System/Commands/RecordItems.cs","32","System:Commands","region.txt","StreamWriter w = File.AppendText(""region.txt"");"
"Data/Scripts/System/Commands/SpawnerCatalog.cs","32","System:Commands","spawners.txt","StreamWriter w = File.AppendText(""spawners.txt"");"
"Data/Scripts/System/Commands/SpecialExport.cs","76","System:Commands",".\Export\{0}.cfg","using (StreamWriter op = new StreamWriter(String.Format(@"".\Export\{0}.cfg"", file)))"
"Data/Scripts/System/Commands/StaticExport.cs","77","System:Commands",".\Export\{0}.cfg","using (StreamWriter op = new StreamWriter(String.Format(@"".\Export\{0}.cfg"", file)))"
"Data/Scripts/System/Commands/TargetLog.cs","96","System:Commands","targets.txt","StreamWriter w = File.AppendText(""targets.txt"");"
"Data/Scripts/System/Gumps/CategorizedAddGump.cs","156","System:Gumps","Data/System/XML/objects.xml","m_Root = Load(""Data/System/XML/objects.xml"");"
"Data/Scripts/System/Gumps/Go/GoGump.cs","10","System:Gumps","System/XML/go.xml","public static readonly LocationTree Listing = new LocationTree(""System/XML/go.xml"");"
"Data/Scripts/System/Help/Gumps/PageQueueGump.cs","211","System:Help","Data/System/CFG/pageresponse.cfg","string path = Path.Combine(Core.BaseDirectory, ""Data/System/CFG/pageresponse.cfg"");"
"Data/Scripts/System/Help/Gumps/PageQueueGump.cs","233","System:Help","Data/System/CFG/pageresponse.cfg","string path = Path.Combine(Core.BaseDirectory, ""Data/System/CFG/pageresponse.cfg"");"
"Data/Scripts/System/Misc/Accounts.cs","751","System:Misc","accounts.xml","string filePath = Path.Combine(""Saves/Accounts"", ""accounts.xml"");"
"Data/Scripts/System/Misc/Accounts.cs","779","System:Misc","accounts.xml","string filePath = Path.Combine(""Saves/Accounts"", ""accounts.xml"");"
"Data/Scripts/System/Misc/Accounts.cs","2227","System:Misc","firewall.cfg","string path = ""firewall.cfg"";"
"Data/Scripts/System/Misc/Accounts.cs","2360","System:Misc","firewall.cfg","string path = ""firewall.cfg"";"
"Data/Scripts/System/Misc/Build.cs","36073","System:Misc","Sosaria.cfg","GenerateFile(""Info/Custom"", ""Sosaria.cfg"", Map.Sosaria);"
"Data/Scripts/System/Misc/Build.cs","36074","System:Misc","Lodor.cfg","GenerateFile(""Info/Custom"", ""Lodor.cfg"", Map.Lodor);"
"Data/Scripts/System/Misc/Build.cs","36075","System:Misc","Underworld.cfg","GenerateFile(""Info/Custom"", ""Underworld.cfg"", Map.Underworld);"
"Data/Scripts/System/Misc/Build.cs","36076","System:Misc","SerpentIsland.cfg","GenerateFile(""Info/Custom"", ""SerpentIsland.cfg"", Map.SerpentIsland);"
"Data/Scripts/System/Misc/Build.cs","36077","System:Misc","IslesOfDread.cfg","GenerateFile(""Info/Custom"", ""IslesOfDread.cfg"", Map.IslesDread);"
"Data/Scripts/System/Misc/Build.cs","36078","System:Misc","SavagedEmpire.cfg","GenerateFile(""Info/Custom"", ""SavagedEmpire.cfg"", Map.SavagedEmpire);"
"Data/Scripts/System/Misc/Build.cs","36079","System:Misc","Atlantis.cfg","GenerateFile(""Info/Custom"", ""Atlantis.cfg"", Map.Atlantis);"
"Data/Scripts/System/Misc/Build.cs","36101","System:Misc","*.cfg","string[] files = Directory.GetFiles(folder, ""*.cfg"");"
"Data/Scripts/System/Misc/CrashGuard.cs","178","System:Misc","Accounts/Accounts.xml","CopyFile(rootOrigin, rootBackup, ""Accounts/Accounts.xml"");"
"Data/Scripts/System/Misc/LanguageStatistics.cs","357","System:Misc","languages.txt","using (StreamWriter writer = new StreamWriter(""languages.txt""))"
"Data/Scripts/System/Misc/Logs.cs","100","System:Misc","Info/adventures.txt","string sPath = ""Info/adventures.txt"";"
"Data/Scripts/System/Misc/Logs.cs","104","System:Misc","Info/adventures.txt","sPath = ""Info/adventures.txt"";"
"Data/Scripts/System/Misc/Logs.cs","108","System:Misc","Info/quests.txt","sPath = ""Info/quests.txt"";"
"Data/Scripts/System/Misc/Logs.cs","112","System:Misc","Info/battles.txt","sPath = ""Info/battles.txt"";"
"Data/Scripts/System/Misc/Logs.cs","116","System:Misc","Info/deaths.txt","sPath = ""Info/deaths.txt"";"
"Data/Scripts/System/Misc/Logs.cs","120","System:Misc","Info/murderers.txt","sPath = ""Info/murderers.txt"";"
"Data/Scripts/System/Misc/Logs.cs","124","System:Misc","Info/journies.txt","sPath = ""Info/journies.txt"";"
"Data/Scripts/System/Misc/Logs.cs","128","System:Misc","Info/server.txt","sPath = ""Info/server.txt"";"
"Data/Scripts/System/Misc/Logs.cs","155","System:Misc","Info/adventures.txt","string sPath = ""Info/adventures.txt"";"
"Data/Scripts/System/Misc/Logs.cs","159","System:Misc","Info/adventures.txt","sPath = ""Info/adventures.txt"";"
"Data/Scripts/System/Misc/Logs.cs","163","System:Misc","Info/quests.txt","sPath = ""Info/quests.txt"";"
"Data/Scripts/System/Misc/Logs.cs","167","System:Misc","Info/battles.txt","sPath = ""Info/battles.txt"";"
"Data/Scripts/System/Misc/Logs.cs","171","System:Misc","Info/deaths.txt","sPath = ""Info/deaths.txt"";"
"Data/Scripts/System/Misc/Logs.cs","175","System:Misc","Info/murderers.txt","sPath = ""Info/murderers.txt"";"
"Data/Scripts/System/Misc/Logs.cs","179","System:Misc","Info/journies.txt","sPath = ""Info/journies.txt"";"
"Data/Scripts/System/Misc/Logs.cs","432","System:Misc","Info/adventures.txt","string sPath = ""Info/adventures.txt"";"
"Data/Scripts/System/Misc/Logs.cs","436","System:Misc","Info/adventures.txt","sPath = ""Info/adventures.txt"";"
"Data/Scripts/System/Misc/Logs.cs","440","System:Misc","Info/quests.txt","sPath = ""Info/quests.txt"";"
"Data/Scripts/System/Misc/Logs.cs","444","System:Misc","Info/battles.txt","sPath = ""Info/battles.txt"";"
"Data/Scripts/System/Misc/Logs.cs","448","System:Misc","Info/deaths.txt","sPath = ""Info/deaths.txt"";"
"Data/Scripts/System/Misc/Logs.cs","452","System:Misc","Info/murderers.txt","sPath = ""Info/murderers.txt"";"
"Data/Scripts/System/Misc/Logs.cs","456","System:Misc","Info/journies.txt","sPath = ""Info/journies.txt"";"
"Data/Scripts/System/Misc/Logs.cs","609","System:Misc","Info/murderers.txt","string sPath = ""Info/murderers.txt"";"
"Data/Scripts/System/Misc/Logs.cs","613","System:Misc","Info/battles.txt","sPath = ""Info/battles.txt"";"
"Data/Scripts/System/Misc/Logs.cs","617","System:Misc","Info/deaths.txt","sPath = ""Info/deaths.txt"";"
