"HookType","File","Line","LikelySystem","Evidence"
"EventSink","Data/Scripts/Custom/NPC Control/StaffCommands/HearAll.cs","20","Custom:NPC Control","EventSink.Speech += new SpeechEventHandler(HearAllOnSpeech);"
"EventSink","Data/Scripts/Custom/Offline Skill Training/Items/StudyBook.cs","74","Custom:Offline Skill Training","//EventSink.Login += OnLogin;"
"EventSink","Data/Scripts/Custom/Offline Skill Training/Items/StudyBook.cs","75","Custom:Offline Skill Training","//EventSink.Logout += OnLogout;"
"EventSink","Data/Scripts/Custom/Offline Skill Training/Items/StudyBook.cs","393","Custom:Offline Skill Training","EventSink.Login += new LoginEventHandler(StudyBook.OnLogin);"
"EventSink","Data/Scripts/Custom/Offline Skill Training/Items/StudyBook.cs","394","Custom:Offline Skill Training","EventSink.Logout += new LogoutEventHandler(StudyBook.OnLogout);"
"EventSink","Data/Scripts/Custom/PandorasGiftBox/PandorasGiftBox.cs","151","Custom:PandorasGiftBox","EventSink.CharacterCreated += EventSink_CharacterCreated;"
"EventSink","Data/Scripts/Custom/PandorasGiftBox/PandorasGiftBox.cs","152","Custom:PandorasGiftBox","EventSink.Login += EventSink_Login;"
"EventSink","Data/Scripts/Custom/PvE/CloneOfflinePlayerCharacters/CloneOfflinePlayerCharacters.cs","21","Custom:PvE","EventSink.Logout += OnLogout;"
"EventSink","Data/Scripts/Custom/PvE/CloneOfflinePlayerCharacters/CloneOfflinePlayerCharacters.cs","22","Custom:PvE","EventSink.Login += OnLogin;"
"EventSink","Data/Scripts/Custom/TellAFriend/TellAFriend.cs","54","Custom:TellAFriend","EventSink.Login += new LoginEventHandler(TAFLogin);"
"EventSink","Data/Scripts/Custom/ThirdParty/OmniAI/OmniAI Shared.cs","227","Custom:ThirdParty","EventSink.InvokeStunRequest(new StunRequestEventArgs(m_Mobile));"
"EventSink","Data/Scripts/Custom/ThirdParty/Staff Toolbar [2.0]/Toolbar.cs","38","Custom:ThirdParty","EventSink.Login += new LoginEventHandler(OnLogin);"
"EventSink","Data/Scripts/Custom/Voting/VoteConfig.cs","45","Custom:Voting","EventSink.WorldSave += new WorldSaveEventHandler(EventSink_WorldSave);"
"EventSink","Data/Scripts/Custom/Voting/VoteConfig.cs","46","Custom:Voting","EventSink.ServerStarted += new ServerStartedEventHandler(EventSink_ServerStarted);"
"EventSink","Data/Scripts/Custom/XMLSpawner/PacketHandlerOverrides.cs","38","Custom:XMLSpawner","// *AGETIAN-commented*: EventSink.QuestGumpRequest += new QuestGumpRequestHandler(XmlQuest.QuestButton);"
"EventSink","Data/Scripts/Custom/XMLSpawner/XmlAttach/XmlAttach.cs","167","Custom:XMLSpawner","EventSink.WorldLoad += new WorldLoadEventHandler(Load);"
"EventSink","Data/Scripts/Custom/XMLSpawner/XmlAttach/XmlAttach.cs","168","Custom:XMLSpawner","EventSink.WorldSave += new WorldSaveEventHandler(Save);"
"EventSink","Data/Scripts/Custom/XMLSpawner/XmlAttach/XmlAttach.cs","187","Custom:XMLSpawner","EventSink.Speech += new SpeechEventHandler(EventSink_Speech);"
"EventSink","Data/Scripts/Custom/XMLSpawner/XmlAttach/XmlAttach.cs","190","Custom:XMLSpawner","EventSink.Movement += new MovementEventHandler(EventSink_Movement);"
"EventSink","Data/Scripts/Custom/XMLSpawner/XmlAttachments/XmlPoints.cs","782","Custom:XMLSpawner","EventSink.Speech += new SpeechEventHandler(EventSink_Speech);"
"EventSink","Data/Scripts/Items/Boats/BaseBoat.cs","2909","Items:Boats","EventSink.WorldSave += new WorldSaveEventHandler(EventSink_WorldSave);"
"EventSink","Data/Scripts/Items/Boats/Strandedness.cs","105","Items:Boats","EventSink.Login += new LoginEventHandler(EventSink_Login);"
"EventSink","Data/Scripts/Items/Doors/BaseDoor.cs","124","Items:Doors","EventSink.OpenDoorMacroUsed += new OpenDoorMacroEventHandler("
"EventSink","Data/Scripts/Items/Food/Beverage.cs","1022","Items:Food","EventSink.Login += new LoginEventHandler(EventSink_Login);"
"EventSink","Data/Scripts/Items/Gifts/Holiday/Christmas/Commands/Merry Christmas.cs","16","Items:Gifts","EventSink.Speech += new SpeechEventHandler(EventSink_Speech);"
"EventSink","Data/Scripts/Items/Gifts/Holiday/Halloween/TrickOrTreat.cs","15","Items:Gifts","EventSink.Speech += new SpeechEventHandler(EventSink_Speech);"
"EventSink","Data/Scripts/Items/Houses/HouseFoundation.cs","980","Items:Houses","EventSink.Speech += new SpeechEventHandler(EventSink_Speech);"
"EventSink","Data/Scripts/Items/Houses/Monopoly/Gumps/Error Reporting/Errors.cs","35","Items:Houses","EventSink.Login += new LoginEventHandler(OnLogin);"
"EventSink","Data/Scripts/Items/Houses/Monopoly/Misc/General.cs","32","Items:Houses","EventSink.WorldSave += new WorldSaveEventHandler(OnSave);"
"EventSink","Data/Scripts/Items/Houses/Monopoly/Misc/General.cs","33","Items:Houses","EventSink.ServerStarted += new ServerStartedEventHandler(OnStarted);"
"EventSink","Data/Scripts/Items/Houses/Monopoly/Misc/General.cs","35","Items:Houses","EventSink.Login += new LoginEventHandler(OnLogin);"
"EventSink","Data/Scripts/Items/Houses/Monopoly/Misc/General.cs","36","Items:Houses","EventSink.Speech += new SpeechEventHandler(HandleSpeech);"
"EventSink","Data/Scripts/Items/Magical/SoulOrb.cs","41","Items:Magical","EventSink.PlayerDeath += new PlayerDeathEventHandler(EventSink_Death);"
"EventSink","Data/Scripts/Items/Misc/Games/LiarsDice/DiceChannel.cs","229","Items:Misc","EventSink.Disconnected += new DisconnectedEventHandler(EventSink_Disconnected);"
"EventSink","Data/Scripts/Items/Misc/Games/LiarsDice/DiceChannel.cs","231","Items:Misc","EventSink.Crashed += new CrashedEventHandler(EventSink_ServerCrashed);"
"EventSink","Data/Scripts/Items/Potions/Special/AutoResPotion.cs","41","Items:Potions","EventSink.PlayerDeath += new PlayerDeathEventHandler(EventSink_Death);"
"EventSink","Data/Scripts/Items/Weapons/Hands/Fists.cs","13","Items:Weapons","EventSink.DisarmRequest += new DisarmRequestEventHandler(EventSink_DisarmRequest);"
"EventSink","Data/Scripts/Items/Weapons/Hands/Fists.cs","14","Items:Weapons","EventSink.StunRequest += new StunRequestEventHandler(EventSink_StunRequest);"
"EventSink","Data/Scripts/Magic/Magery/Spellbook.cs","35","Magic:Magery","EventSink.OpenSpellbookRequest += new OpenSpellbookRequestEventHandler("
"EventSink","Data/Scripts/Magic/Magery/Spellbook.cs","38","Magic:Magery","EventSink.CastSpellRequest += new CastSpellRequestEventHandler("
"EventSink","Data/Scripts/Magic/Ninjitsu/AnimalForm.cs","17","Magic:Ninjitsu","EventSink.Login += new LoginEventHandler(OnLogin);"
"EventSink","Data/Scripts/Magic/Research/Spells/Enchanting/ResearchEnchant.cs","57","Magic:Research","EventSink.Logout += OnLogout;"
