"Path","Namespace","Types","LikelySystem"
"Data/Scripts/Custom/Access Level Stone [2.0]/AccessLevelStone.cs","Server.Items","class:AccessLevelStone","Custom:Access Level Stone [2.0]"
"Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/DragonShapeChangeStone-body.cs","Server.Items","class:DragonShapeShiftStone;class:BodyValueGump;class:ChangeBodyValue","Custom:AnimalSystem"
"Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/FaeryShapeChangeStone.cs","Server.Items","class:FaerieShapeShiftStone","Custom:AnimalSystem"
"Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/FelinusShapeChangeStone.cs","Server.Items","class:FelinusShapeShiftStone;class:HueGump;class:ChangeHue","Custom:AnimalSystem"
"Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/RatShapeChangeStone.cs","Server.Items","class:RatShapeShiftStone;class:HueGump;class:ChangeHue","Custom:AnimalSystem"
"Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/WolvenShapeChangeStone.cs","Server.Items","class:WolvenShapeShiftStone;class:HueGump;class:ChangeHue","Custom:AnimalSystem"
"Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs","Server.Gumps","class:BoatNavigationControl;enum:BackgroundType;enum:Buttons","Custom:BoatNavigationTotem"
"Data/Scripts/Custom/BondInfo/BondInfo.cs","Server.Commands","class:BondInfoCommand","Custom:BondInfo"
"Data/Scripts/Custom/Book Publisher [2.0]/BookBuyInfo.cs","Server.Mobiles","class:BookBuyInfo","Custom:Book Publisher [2.0]"
"Data/Scripts/Custom/Book Publisher [2.0]/PublishedBook.cs","Server.Items","class:PublishedBook","Custom:Book Publisher [2.0]"
"Data/Scripts/Custom/Book Publisher [2.0]/Publisher.cs","Server.Mobiles","class:Publisher","Custom:Book Publisher [2.0]"
"Data/Scripts/Custom/Book Publisher [2.0]/SBPublisher.cs","Server.Mobiles","class:SBPublisher;class:InternalBuyInfo;class:InternalSellInfo","Custom:Book Publisher [2.0]"
"Data/Scripts/Custom/Book Publisher [2.0]/XmlBook.cs","Server.Engines.Publisher","class:XmlBook;class:Content;class:Contributor","Custom:Book Publisher [2.0]"
"Data/Scripts/Custom/CEO's GM Hiding Stone [2.0]/gmhidingstone.cs","Server.Items","enum:StoneEffect;class:GMHidingStone;class:FireStormTimer","Custom:CEO's GM Hiding Stone [2.0]"
"Data/Scripts/Custom/Champions/Items/PlagueBeastBackpack.cs","Server.Items","class:PlagueBeastBackpack","Custom:Champions"
"Data/Scripts/Custom/Champions/Items/PlagueBeastBlood.cs","Server.Items","class:PlagueBeastBlood","Custom:Champions"
"Data/Scripts/Custom/Champions/Items/PlagueBeastGland.cs","Server.Items","class:PlagueBeastGland","Custom:Champions"
"Data/Scripts/Custom/Champions/Items/PlagueBeastHeart.cs","Server.Items","class:PlagueBeastHeart;class:InternalTimer","Custom:Champions"
