"Marker","File","Line","LikelySystem","Notes"
"Initialize","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs","17","Custom:BoatNavigationTotem","public static void Initialize()"
"Initialize","Data/Scripts/Custom/BondInfo/BondInfo.cs","12","Custom:BondInfo","public static void Initialize()"
"Initialize","Data/Scripts/Custom/ChangeSeason/ChangeSeason.cs","10","Custom:ChangeSeason","public static void Initialize()"
"Initialize","Data/Scripts/Custom/Character Swap/CharacterSwap.cs","12","Custom:Character Swap","public static void Initialize()"
"Initialize","Data/Scripts/Custom/ClearDeckCommand/ClearDeckCommand.cs","13","Custom:ClearDeckCommand","public static void Initialize()"
"Initialize","Data/Scripts/Custom/CloneOfflinePlayerCharacters/CheckClonesCommand.cs","17","Custom:CloneOfflinePlayerCharacters","public static void Initialize()"
"Initialize","Data/Scripts/Custom/CloneOfflinePlayerCharacters/CloneOfflinePlayerCharacters.cs","19","Custom:CloneOfflinePlayerCharacters","public static void Initialize()"
"Initialize","Data/Scripts/Custom/Government System/CityUpgradeSystem.cs","15","Custom:Government System","public static void Initialize()"
"Initialize","Data/Scripts/Custom/Government System/PlayerGovernmentSystem.cs","120","Custom:Government System","public static void Initialize()"
"Initialize","Data/Scripts/Custom/Government System/Commands/AdminAdd.cs","14","Custom:Government System","public static void Initialize()"
"Initialize","Data/Scripts/Custom/Government System/Commands/FindCities.cs","14","Custom:Government System","public static void Initialize()"
"Initialize","Data/Scripts/Custom/Government System/Commands/GovernmentTestingCommand.cs","14","Custom:Government System","public static void Initialize()"
"Initialize","Data/Scripts/Custom/Government System/Commands/GovHelp.cs","14","Custom:Government System","public static void Initialize()"
"Initialize","Data/Scripts/Custom/Government System/Items/Stones/CityManagementStone.cs","463","Custom:Government System","public static void Initialize()"
"Initialize","Data/Scripts/Custom/Government System/NPC Vendor Mall 2.1/LandLord.cs","23","Custom:Government System","public static void Initialize()"
"Initialize","Data/Scripts/Custom/Government System/Vendor/CityPlayerVendor.cs","66","Custom:Government System","public static void Initialize()"
"Initialize","Data/Scripts/Custom/Invasion System/Gump/InvasionGump.cs","12","Custom:Invasion System","public static void Initialize()"
"Initialize","Data/Scripts/Custom/NPC Control/CloneCommands.cs","19","Custom:NPC Control","public static void Initialize()"
"Initialize","Data/Scripts/Custom/NPC Control/StaffCommands/CloneMe.cs","15","Custom:NPC Control","public static void Initialize()"
"Initialize","Data/Scripts/Custom/NPC Control/StaffCommands/GmMe.cs","12","Custom:NPC Control","public static void Initialize()"
"Initialize","Data/Scripts/Custom/NPC Control/StaffCommands/HearAll.cs","13","Custom:NPC Control","public static void Initialize()"
"Initialize","Data/Scripts/Custom/NPC Control/StaffCommands/Refresh.cs","12","Custom:NPC Control","public static void Initialize()"
"Initialize","Data/Scripts/Custom/NPC Control/StaffCommands/SayThis.cs","14","Custom:NPC Control","public static void Initialize()"
