"File","LikelySystem","SerializeLine","DeserializeLine","SerialConstructorLine","WriterWriteCount","ReaderReadCount","VersionWriteLine","VersionReadLine","VersionPattern"
"Data/Scripts/Custom/Access Level Stone [2.0]/AccessLevelStone.cs","Custom:Access Level Stone [2.0]","82","96","79","4","4","85","99","WriteReadVersion"
"Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/DragonShapeChangeStone-body.cs","Custom:AnimalSystem","134","145","25","5","5","137","148","WriteReadVersion"
"Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/FaeryShapeChangeStone.cs","Custom:AnimalSystem","119","129","21","4","4","122","132","WriteReadVersion"
"Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/FelinusShapeChangeStone.cs","Custom:AnimalSystem","126","137","25","5","5","129","140","WriteReadVersion"
"Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/RatShapeChangeStone.cs","Custom:AnimalSystem","126","137","25","5","5","129","140","WriteReadVersion"
"Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/WolvenShapeChangeStone.cs","Custom:AnimalSystem","126","137","25","5","5","129","140","WriteReadVersion"
"Data/Scripts/Custom/Book Publisher [2.0]/PublishedBook.cs","Custom:Book Publisher [2.0]","215","193","190","7","6","218","196","WriteReadVersion"
"Data/Scripts/Custom/Book Publisher [2.0]/Publisher.cs","Custom:Book Publisher [2.0]","32","39","29","1","1","36","43","WriteReadVersion"
"Data/Scripts/Custom/CEO's GM Hiding Stone [2.0]/gmhidingstone.cs","Custom:CEO's GM Hiding Stone [2.0]","748","758","745","5","7","751","762","WriteReadVersion"
"Data/Scripts/Custom/Champions/Items/PlagueBeastBackpack.cs","Custom:Champions","209","216","206","0","1","","","NoVersionMarker"
"Data/Scripts/Custom/Champions/Items/PlagueBeastBlood.cs","Custom:Champions","118","125","115","0","1","","","NoVersionMarker"
"Data/Scripts/Custom/Champions/Items/PlagueBeastGland.cs","Custom:Champions","20","27","17","0","1","","","NoVersionMarker"
"Data/Scripts/Custom/Champions/Items/PlagueBeastHeart.cs","Custom:Champions","26","33","23","0","1","","","NoVersionMarker"
"Data/Scripts/Custom/Champions/Items/PlagueBeastInnard.cs","Custom:Champions","59;176","66;185","56;173","0","2","","","NoVersionMarker"
"Data/Scripts/Custom/Champions/Items/PlagueBeastMutationCore.cs","Custom:Champions","64","73","61","1","2","","","NoVersionMarker"
"Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs","Custom:Champions","121;175;235;338;458;577","132;182;242;347;467;586","118;172;232;335;455;574","5","11","","","NoVersionMarker"
"Data/Scripts/Custom/Champions/Items/PlagueBeastVein.cs","Custom:Champions","73","82","70","1","2","","","NoVersionMarker"
"Data/Scripts/Custom/Champions/Items/UnholyBone.cs","Custom:Champions","59","66","56","1","1","63","70","WriteReadVersion"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Adimarchus.cs","Custom:Champions","50","56","47","1","1","53","59","WriteReadVersion"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Bahamut.cs","Custom:Champions","47","53","44","1","1","50","56","WriteReadVersion"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Balar.cs","Custom:Champions","47","53","44","1","1","50","56","WriteReadVersion"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Brona.cs","Custom:Champions","45","51","42","1","1","48","54","WriteReadVersion"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Conan.cs","Custom:Champions","49","55","46","1","1","52","58","WriteReadVersion"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Demogorgon.cs","Custom:Champions","50","56","47","1","1","53","59","WriteReadVersion"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Elric.cs","Custom:Champions","46","53","43","1","1","50","57","WriteReadVersion"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/GrimReaper.cs","Custom:Champions","44","50","41","1","1","47","53","WriteReadVersion"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Hercules.cs","Custom:Champions","46","52","43","1","1","49","55","WriteReadVersion"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/KingArthur.cs","Custom:Champions","49","55","46","1","1","52","58","WriteReadVersion"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Kronos.cs","Custom:Champions","47","53","44","1","1","50","56","WriteReadVersion"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Lolth.cs","Custom:Champions","43","49","40","1","1","46","52","WriteReadVersion"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/LordVerminaard.cs","Custom:Champions","49","55","46","1","1","52","58","WriteReadVersion"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Merlin.cs","Custom:Champions","45","51","42","1","1","48","54","WriteReadVersion"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Nosferatu.cs","Custom:Champions","46","53","43","2","2","49","56","WriteReadVersion"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Orcus.cs","Custom:Champions","50","56","47","1","1","53","59","WriteReadVersion"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/RedSonja.cs","Custom:Champions","49","55","46","1","1","52","58","WriteReadVersion"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Saruman.cs","Custom:Champions","45","51","42","1","1","48","54","WriteReadVersion"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Talos.cs","Custom:Champions","45","51","42","1","1","48","54","WriteReadVersion"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Thor.cs","Custom:Champions","49","55","46","1","1","52","58","WriteReadVersion"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Tiamat.cs","Custom:Champions","47","53","44","1","1","50","56","WriteReadVersion"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Treebeard.cs","Custom:Champions","43","49","40","1","1","46","52","WriteReadVersion"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Vecna.cs","Custom:Champions","47","53","44","1","1","50","56","WriteReadVersion"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Volturnus.cs","Custom:Champions","48","54","45","1","1","51","57","WriteReadVersion"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Zeus.cs","Custom:Champions","44","50","41","1","1","47","53","WriteReadVersion"
