"RecordType","Path","IncludePath","ExistsOnDisk","IncludedInScriptsProject","MissingCompileTarget","UnincludedSource","GeneratedOrOutput","DriftClass","LikelySystem","RuntimeMarkers","Types","Action"
"ProjectInclude","Data/Scripts/Custom/Access Level Stone [2.0]/AccessLevelStone.cs","Custom\Access Level Stone [2.0]\AccessLevelStone.cs","True","True","False","False","False","","Custom:Access Level Stone [2.0]","","class:AccessLevelStone","Keep"
"ProjectInclude","Data/Scripts/Custom/Combat/AIOverhaul/AITacticalTargeting.cs","Custom\Combat\AIOverhaul\AITacticalTargeting.cs","True","True","False","False","False","","Custom:Combat","","enum:AITacticalTargetProfile;enum:AITacticalReacquireReason;class:AITacticalTargeting","Keep"
"ProjectInclude","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/DragonShapeChangeStone-body.cs","Custom\AnimalSystem\ShapeShiftStones\DragonShapeChangeStone-body.cs","True","True","False","False","False","","Custom:AnimalSystem","OnResponse;OnSpeech;SendGump","class:DragonShapeShiftStone;class:BodyValueGump;class:ChangeBodyValue","Keep"
"ProjectInclude","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/FaeryShapeChangeStone.cs","Custom\AnimalSystem\ShapeShiftStones\FaeryShapeChangeStone.cs","True","True","False","False","False","","Custom:AnimalSystem","OnSpeech","class:FaerieShapeShiftStone","Keep"
"ProjectInclude","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/FelinusShapeChangeStone.cs","Custom\AnimalSystem\ShapeShiftStones\FelinusShapeChangeStone.cs","True","True","False","False","False","","Custom:AnimalSystem","OnResponse;OnSpeech;SendGump","class:FelinusShapeShiftStone;class:HueGump;class:ChangeHue","Keep"
"ProjectInclude","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/RatShapeChangeStone.cs","Custom\AnimalSystem\ShapeShiftStones\RatShapeChangeStone.cs","True","True","False","False","False","","Custom:AnimalSystem","OnResponse;OnSpeech;SendGump","class:RatShapeShiftStone;class:HueGump;class:ChangeHue","Keep"
"ProjectInclude","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/WolvenShapeChangeStone.cs","Custom\AnimalSystem\ShapeShiftStones\WolvenShapeChangeStone.cs","True","True","False","False","False","","Custom:AnimalSystem","OnResponse;OnSpeech;SendGump","class:WolvenShapeShiftStone;class:HueGump;class:ChangeHue","Keep"
"ProjectInclude","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs","Custom\BoatNavigationTotem\BoatNavigationTotam.cs","True","True","False","False","False","","Custom:BoatNavigationTotem","CommandSystem.Register;Initialize;OnResponse;SendGump","class:BoatNavigationControl;enum:BackgroundType;enum:Buttons","Keep"
"ProjectInclude","Data/Scripts/Custom/BondInfo/BondInfo.cs","Custom\BondInfo\BondInfo.cs","True","True","False","False","False","","Custom:BondInfo","CommandSystem.Register;Initialize","class:BondInfoCommand","Keep"
"ProjectInclude","Data/Scripts/Custom/Book Publisher [2.0]/BookBuyInfo.cs","Custom\Book Publisher [2.0]\BookBuyInfo.cs","True","True","False","False","False","","Custom:Book Publisher [2.0]","","class:BookBuyInfo","Keep"
"ProjectInclude","Data/Scripts/Custom/Book Publisher [2.0]/PublishedBook.cs","Custom\Book Publisher [2.0]\PublishedBook.cs","True","True","False","False","False","","Custom:Book Publisher [2.0]","","class:PublishedBook","Keep"
"ProjectInclude","Data/Scripts/Custom/Book Publisher [2.0]/Publisher.cs","Custom\Book Publisher [2.0]\Publisher.cs","True","True","False","False","False","","Custom:Book Publisher [2.0]","OnSpeech","class:Publisher","Keep"
"ProjectInclude","Data/Scripts/Custom/Book Publisher [2.0]/SBPublisher.cs","Custom\Book Publisher [2.0]\SBPublisher.cs","True","True","False","False","False","","Custom:Book Publisher [2.0]","","class:SBPublisher;class:InternalBuyInfo;class:InternalSellInfo","Keep"
"ProjectInclude","Data/Scripts/Custom/Book Publisher [2.0]/XmlBook.cs","Custom\Book Publisher [2.0]\XmlBook.cs","True","True","False","False","False","","Custom:Book Publisher [2.0]","","class:XmlBook;class:Content;class:Contributor","Keep"
"ProjectInclude","Data/Scripts/Custom/CEO's GM Hiding Stone [2.0]/gmhidingstone.cs","Custom\CEO%27s GM Hiding Stone [2.0]\gmhidingstone.cs","True","True","False","False","False","","Custom:CEO's GM Hiding Stone [2.0]","CustomTimerSubclass;Timer.DelayCall","enum:StoneEffect;class:GMHidingStone;class:FireStormTimer","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Barracoon.cs","Custom\Champions\Mobiles\Champs-UO\Barracoon.cs","True","True","False","False","False","","Custom:Champions","CustomTimerSubclass","class:Barracoon;class:ExpirePolymorphTimer","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Ilhenir.cs","Custom\Champions\Mobiles\Champs-UO\Ilhenir.cs","True","True","False","False","False","","Custom:Champions","Timer.DelayCall","class:Ilhenir;class:StainedOoze","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Items/PlagueBeastBackpack.cs","Custom\Champions\Items\PlagueBeastBackpack.cs","True","True","False","False","False","","Custom:Champions","","class:PlagueBeastBackpack","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Items/PlagueBeastBlood.cs","Custom\Champions\Items\PlagueBeastBlood.cs","True","True","False","False","False","","Custom:Champions","Timer.DelayCall","class:PlagueBeastBlood","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Items/PlagueBeastGland.cs","Custom\Champions\Items\PlagueBeastGland.cs","True","True","False","False","False","","Custom:Champions","","class:PlagueBeastGland","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Items/PlagueBeastHeart.cs","Custom\Champions\Items\PlagueBeastHeart.cs","True","True","False","False","False","","Custom:Champions","CustomTimerSubclass","class:PlagueBeastHeart;class:InternalTimer","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Items/PlagueBeastInnard.cs","Custom\Champions\Items\PlagueBeastInnard.cs","True","True","False","False","False","","Custom:Champions","","class:PlagueBeastInnard;class:PlagueBeastComponent","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Items/PlagueBeastMutationCore.cs","Custom\Champions\Items\PlagueBeastMutationCore.cs","True","True","False","False","False","","Custom:Champions","","class:PlagueBeastMutationCore","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs","Custom\Champions\Items\PlagueBeastOrgans.cs","True","True","False","False","False","","Custom:Champions","Timer.DelayCall","class:PlagueBeastOrgan;class:PlagueBeastMaidenOrgan;class:PlagueBeastRockOrgan;class:PlagueBeastRubbleOrgan;class:PlagueBeastBackupOrgan;class:PlagueBeastMainOrgan","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Items/PlagueBeastVein.cs","Custom\Champions\Items\PlagueBeastVein.cs","True","True","False","False","False","","Custom:Champions","","class:PlagueBeastVein","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Items/UnholyBone.cs","Custom\Champions\Items\UnholyBone.cs","True","True","False","False","False","","Custom:Champions","CustomTimerSubclass","class:UnholyBone;class:SpawnTimer","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-UO/LordOaks.cs","Custom\Champions\Mobiles\Champs-UO\LordOaks.cs","True","True","False","False","False","","Custom:Champions","","class:LordOaks","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Mephitis.cs","Custom\Champions\Mobiles\Champs-UO\Mephitis.cs","True","True","False","False","False","","Custom:Champions","","class:Mephitis","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Minions/Bogle.cs","Custom\Champions\Mobiles\Minions\Bogle.cs","True","True","False","False","False","","Custom:Champions","","class:Bogle","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Minions/FerelTreefellow.cs","Custom\Champions\Mobiles\Minions\FerelTreefellow.cs","True","True","False","False","False","","Custom:Champions","","class:FerelTreefellow","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Minions/FetidEssence.cs","Custom\Champions\Mobiles\Minions\FetidEssence.cs","True","True","False","False","False","","Custom:Champions","CustomTimerSubclass","class:FetidEssence","Keep"
