"System","Classification","CardPath","SourceFileCount","CommandCount","HookFileCount","SerializedFileCount","GumpFileCount","DocCount","VerificationStatus"
"Character Level","GameplayLayer","docs/codebase-audit/outputs/system-cards/character-level.md","2","2","1","0","0","1","NeedsRuntimeReview"
"Random Encounters","GameplayLayer","docs/codebase-audit/outputs/system-cards/random-encounters.md","11","1","4","2","0","1","NeedsSerializationReview"
"PvP Consent","GameplayLayer","docs/codebase-audit/outputs/system-cards/pvp-consent.md","6","1","4","5","4","4","NeedsSerializationReview"
"Government","GameplayLayer","docs/codebase-audit/outputs/system-cards/government.md","217","9","18","148","60","2","NeedsSerializationReview"
"Homestead","ImportedPackage","docs/codebase-audit/outputs/system-cards/homestead.md","402","6","104","372","62","2","NeedsSerializationReview"
"XMLSpawner","SharedService","docs/codebase-audit/outputs/system-cards/xmlspawner.md","133","75","59","84","59","1","NeedsSerializationReview"
"Invasion","StaffEventTool","docs/codebase-audit/outputs/system-cards/invasion.md","100","1","7","68","32","1","NeedsSerializationReview"
"Champions","GameplayLayer","docs/codebase-audit/outputs/system-cards/champions.md","73","0","16","67","1","2","NeedsSerializationReview"
"Monster Nests","GameplayLayer","docs/codebase-audit/outputs/system-cards/monster-nests.md","6","0","2","6","0","1","NeedsSerializationReview"
"Clone Offline Player Characters","GameplayLayer","docs/codebase-audit/outputs/system-cards/clone-offline-player-characters.md","13","4","5","7","0","1","NeedsSerializationReview"
"Offline Skill Training","GameplayLayer","docs/codebase-audit/outputs/system-cards/offline-skill-training.md","7","0","1","6","0","2","NeedsSerializationReview"
"OmniAI","ImportedPackage","docs/codebase-audit/outputs/system-cards/omniai.md","8","0","2","1","0","3","NeedsSerializationReview"
"AI Overhaul","GameplayLayer","docs/codebase-audit/outputs/system-cards/ai-overhaul.md","1","0","0","0","0","2","PartiallyVerified"
"Staff Toolbar","StaffEventTool","docs/codebase-audit/outputs/system-cards/staff-toolbar.md","1","0","1","1","1","1","NeedsSerializationReview"
"Static Gump Tool","StaffEventTool","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","21","23","21","0","21","1","NeedsRuntimeReview"
"Spell Framework","SharedService","docs/codebase-audit/outputs/system-cards/spell-framework.md","577","11","138","214","36","6","NeedsSerializationReview"
"Magic Schools","GameplayLayer","docs/codebase-audit/outputs/system-cards/magic-schools.md","267","8","70","89","22","4","NeedsSerializationReview"
"Crafting Core","SharedService","docs/codebase-audit/outputs/system-cards/crafting-core.md","21","2","3","0","7","2","NeedsRuntimeReview"
"Harvest System","SharedService","docs/codebase-audit/outputs/system-cards/harvest-system.md","21","0","4","9","0","1","NeedsSerializationReview"
"Bulk Orders","GameplayLayer","docs/codebase-audit/outputs/system-cards/bulk-orders.md","60","2","6","37","13","2","NeedsSerializationReview"
"Gardening","GameplayLayer","docs/codebase-audit/outputs/system-cards/gardening.md","63","1","6","52","9","2","NeedsSerializationReview"
"Housing","SharedService","docs/codebase-audit/outputs/system-cards/housing.md","94","4","24","49","33","1","NeedsSerializationReview"
"Boats","GameplayLayer","docs/codebase-audit/outputs/system-cards/boats.md","33","4","5","27","10","5","NeedsSerializationReview"
"Regions","SharedService","docs/codebase-audit/outputs/system-cards/regions.md","56","34","42","6","6","1","NeedsSerializationReview"
"PlayerMobile Core","SharedService","docs/codebase-audit/outputs/system-cards/playermobile-core.md","1","0","1","1","1","1","NeedsSerializationReview"
"Vendor Core","SharedService","docs/codebase-audit/outputs/system-cards/vendor-core.md","111","13","19","97","63","2","NeedsSerializationReview"
"Obsolete Scripts","LegacyCompatibility","docs/codebase-audit/outputs/system-cards/obsolete-scripts.md","324","11","7","323","4","1","NeedsSerializationReview"
