"System","Classification","File","PrimaryRole","SecondaryRoles","RuntimeHooks","SerializedState","Gumps","ConfigData","VerificationStatus"
"Character Level","GameplayLayer","Data/Scripts/Custom/Progression/CharacterLevel/CharacterLevelCommands.cs","CommandSurface","StartupWiring;PlayerProgression","Initialize","","","","PartiallyVerified"
"Character Level","GameplayLayer","Data/Scripts/Custom/Progression/CharacterLevel/CharacterLevelService.cs","PlayerProgression","","","","","","PartiallyVerified"
"Random Encounters","GameplayLayer","Data/Scripts/Custom/RandomEncounters/Commands.cs","CommandSurface","StartupWiring;WorldState","Initialize","","","","PartiallyVerified"
"Random Encounters","GameplayLayer","Data/Scripts/Custom/RandomEncounters/Definitions.cs","WorldState","","","","","","PartiallyVerified"
"Random Encounters","GameplayLayer","Data/Scripts/Custom/RandomEncounters/EncounterEngine.cs","StartupWiring","WorldState","Initialize","","","./Data/Scripts/Custom/RandomEncounters/RandomEncounters.xml","PartiallyVerified"
"Random Encounters","GameplayLayer","Data/Scripts/Custom/RandomEncounters/Helpers.cs","StartupWiring","WorldState","Initialize","","","","PartiallyVerified"
"Random Encounters","GameplayLayer","Data/Scripts/Custom/RandomEncounters/Import.cs","Persistence","WorldState","","class:ImportRecord;class:ImportHelper;class:ProbabilityComparer;class:PSort","","Data/Import/Premiums/RandomEncounters.xml","PartiallyVerified"
"Random Encounters","GameplayLayer","Data/Scripts/Custom/RandomEncounters/Records.cs","WorldState","","","","","","PartiallyVerified"
"Random Encounters","GameplayLayer","Data/Scripts/Custom/RandomEncounters/RedBlackTree.cs","WorldState","","","","","","PartiallyVerified"
"Random Encounters","GameplayLayer","Data/Scripts/Custom/RandomEncounters/SpawnFinder.cs","WorldState","","","","","","PartiallyVerified"
"Random Encounters","GameplayLayer","Data/Scripts/Custom/RandomEncounters/Timers.cs","StartupWiring","WorldState","CustomTimerSubclass","","","","PartiallyVerified"
"Random Encounters","GameplayLayer","Data/Scripts/Custom/RandomEncounters/XmlDateCount.cs","Persistence","WorldState","","class:XmlDateCount","","","PartiallyVerified"
"Random Encounters","GameplayLayer","Data/Scripts/Custom/RandomEncounters/XmlLinePreservingDoc.cs","WorldState","","","","","","PartiallyVerified"
"PvP Consent","GameplayLayer","Data/Scripts/Custom/PvPConsent/GoddessOfProtection.cs","StartupWiring","GumpUI;Persistence;CombatPolicy","CustomTimerSubclass;OnMovement;OnSpeech","class:GoddessOfProtection;class:SpeechTimer;class:SpamTimer","SendGump","","PartiallyVerified"
"PvP Consent","GameplayLayer","Data/Scripts/Custom/PvPConsent/NONPKEventMoongate.cs","StartupWiring","GumpUI;Persistence;CombatPolicy;StaffTooling","CustomTimerSubclass","class:NONPKEventMoongate;class:DelayTimer;class:NONPKEventConfirmationMoongate;class:NONPKEventMoongateConfirmGump","OnResponse;SendGump","","PartiallyVerified"
"PvP Consent","GameplayLayer","Data/Scripts/Custom/PvPConsent/NONPKSword.cs","Persistence","CombatPolicy","","class:NONPKSword","","","PartiallyVerified"
