"Command","AccessLevel","Handler","File","Line","System","Guards","Risk","DuplicateCommandCount","RegistrationLine"
"","","","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs","19","Boats","AccessGuard;BoundsGuard;MapGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs","24","Boats","AccessGuard;BoundsGuard;MapGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs","29","Boats","AccessGuard;BoundsGuard;MapGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/Custom/BondInfo/BondInfo.cs","14","Custom:BondInfo","AccessGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/Custom/ChangeSeason/ChangeSeason.cs","12","Custom:ChangeSeason","AccessGuard;BoundsGuard;MapGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/Custom/Character Swap/CharacterSwap.cs","14","Custom:Character Swap","AccessGuard;BoundsGuard;DeletedGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/Custom/ClearDeckCommand/ClearDeckCommand.cs","15","Custom:ClearDeckCommand","AccessGuard;BoundsGuard;MapGuard;NullGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/Custom/CloneOfflinePlayerCharacters/CheckClonesCommand.cs","19","Clone Offline Player Characters","AccessGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/Custom/Government System/CityUpgradeSystem.cs","17","Government","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/Custom/Government System/Commands/AdminAdd.cs","16","Government","AccessGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/Custom/Government System/Commands/FindCities.cs","16","Government","AccessGuard;NullGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/Custom/Government System/Commands/GovernmentTestingCommand.cs","16","Government","AccessGuard;BoundsGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/Custom/Government System/Commands/GovHelp.cs","16","Government","AccessGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/Custom/Government System/Items/Stones/CityManagementStone.cs","465","Government","AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/Custom/Government System/Vendor/CityPlayerVendor.cs","68","Government","AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/Custom/Government System/Vendor/CityPlayerVendor.cs","73","Government","AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/Custom/Invasion System/Gump/InvasionGump.cs","14","Government","AccessGuard;BoundsGuard;MapGuard;StateGuard","Medium","0","CommandSystem.Register("
"Clone","","Clone_OnCommand","Data/Scripts/Custom/NPC Control/CloneCommands.cs","21","Clone Offline Player Characters","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;StateGuard","Medium","1","CommandSystem.Register(""Clone"", accessLevel, new CommandEventHandler(Clone_OnCommand));"
"","","","Data/Scripts/Custom/NPC Control/CloneCommands.cs","22","Clone Offline Player Characters","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/Custom/NPC Control/StaffCommands/CloneMe.cs","17","Clone Offline Player Characters","AccessGuard;DeletedGuard;NullGuard","Medium","0","CommandSystem.Register("
"GmMe","","GmMe_OnCommand","Data/Scripts/Custom/NPC Control/StaffCommands/GmMe.cs","14","Custom:NPC Control","AccessGuard;BoundsGuard;DeletedGuard;NullGuard;StateGuard","Medium","1","CommandSystem.Register(""GmMe"", accessLevel, new CommandEventHandler(GmMe_OnCommand));"
"","","","Data/Scripts/Custom/NPC Control/StaffCommands/HearAll.cs","15","Custom:NPC Control","AccessGuard;BoundsGuard;DeletedGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/Custom/NPC Control/StaffCommands/Refresh.cs","14","Custom:NPC Control","AccessGuard;DeletedGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/Custom/NPC Control/StaffCommands/SayThis.cs","16","Custom:NPC Control","AccessGuard;BoundsGuard;DeletedGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"NudgeSelfDown","GameMaster","NudgeSelfDown_OnCommand","Data/Scripts/Custom/OrbRemoteServer/UOArchitect/ClientCommands.cs","15","Custom:OrbRemoteServer","AccessGuard;BoundsGuard;DeletedGuard;NullGuard","High","1","CommandSystem.Register(""NudgeSelfDown"", AccessLevel.GameMaster, new CommandEventHandler(NudgeSelfDown_OnCommand));"
"NudgeSelfUp","GameMaster","NudgeSelfUp_OnCommand","Data/Scripts/Custom/OrbRemoteServer/UOArchitect/ClientCommands.cs","16","Custom:OrbRemoteServer","AccessGuard;BoundsGuard;DeletedGuard;NullGuard","High","1","CommandSystem.Register(""NudgeSelfUp"", AccessLevel.GameMaster, new CommandEventHandler(NudgeSelfUp_OnCommand));"
"MRemove","GameMaster","MultiRemove_OnCommand","Data/Scripts/Custom/OrbRemoteServer/UOArchitect/ClientCommands.cs","55","Custom:OrbRemoteServer","AccessGuard;BoundsGuard;DeletedGuard;NullGuard","High","1","CommandSystem.Register(""MRemove"", AccessLevel.GameMaster, new CommandEventHandler(MultiRemove_OnCommand));"
"","","","Data/Scripts/Custom/Player Range Sensitive Mod/setdeactivation.cs","15","Custom:Player Range Sensitive Mod","AccessGuard;BoundsGuard;RangeGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/Custom/Point Command [2.0]/Point.cs","15","Custom:Point Command [2.0]","AccessGuard;MapGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/Custom/Progression/CharacterLevel/CharacterLevelCommands.cs","14","Character Level","AccessGuard;BoundsGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/Custom/Progression/CharacterLevel/CharacterLevelCommands.cs","20","Character Level","AccessGuard;BoundsGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/Custom/PvE/RandomEncounters/Commands.cs","23","Custom:PvE","AccessGuard;BoundsGuard","Medium","0","Server.Commands.CommandSystem.Register("
"","","","Data/Scripts/Custom/PvPConsent/Gumps/PKNONPKGUMP.cs","89","PvP Consent","AccessGuard;BoundsGuard;NullGuard;StateGuard","Medium","0","CommandSystem.Register("
"","","","Data/Scripts/Custom/Searches/Commands.cs","23","Custom:Searches","AccessGuard;BoundsGuard;MapGuard","Medium","0","Server.Commands.CommandSystem.Register("
"","","","Data/Scripts/Custom/StaffTools/StaticGumpTool/StaticGump(Alternative).cs","13","Static Gump Tool","AccessGuard;BoundsGuard;StateGuard","Medium","0","CommandSystem.Register("
