"System","File","Line","PacketId","Length","Handler","Guards","Risk","Evidence"
"XMLSpawner","Data/Scripts/Custom/XMLSpawner/PacketHandlerOverrides.cs","43","","","","BoundsGuard","Critical","PacketHandlers.Register("
"XMLSpawner","Data/Scripts/Custom/XMLSpawner/PacketHandlerOverrides.cs","61","0x06","5","XmlAttach.UseReq","BoundsGuard","Critical","PacketHandlers.Register(0x06, 5, true, new OnPacketReceive(XmlAttach.UseReq));"
"XMLSpawner","Data/Scripts/Custom/XMLSpawner/XmlTextEntryBook.cs","191","0x66","0","ContentChange","AccessGuard;BoundsGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Critical","//PacketHandlers.Register( 0x66, 0, true, new OnPacketReceive( ContentChange ) );"
"Items:Books","Data/Scripts/Items/Books/BaseBook.cs","339","0xD4","0","HeaderChange","AccessGuard;BoundsGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Critical","PacketHandlers.Register(0xD4, 0, true, new OnPacketReceive(HeaderChange));"
"Items:Books","Data/Scripts/Items/Books/BaseBook.cs","340","0x66","0","ContentChange","AccessGuard;BoundsGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Critical","PacketHandlers.Register(0x66, 0, true, new OnPacketReceive(ContentChange));"
"Items:Books","Data/Scripts/Items/Books/BaseBook.cs","341","0x93","99","OldHeaderChange","AccessGuard;BoundsGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Critical","PacketHandlers.Register(0x93, 99, true, new OnPacketReceive(OldHeaderChange));"
"Housing","Data/Scripts/Items/Houses/Monopoly/Misc/GumpResponse.cs","23","0xB1","0","DisplayGumpResponse","BoundsGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Critical","PacketHandlers.Register(0xB1, 0, true, new OnPacketReceive(DisplayGumpResponse));"
"Items:Misc","Data/Scripts/Items/Misc/BulletinBoards.cs","230","0x71","0","BBClientRequest","AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Critical","PacketHandlers.Register(0x71, 0, true, new OnPacketReceive(BBClientRequest));"
"Items:Misc","Data/Scripts/Items/Misc/Games/Mahjong/MahjongPacketHandlers.cs","38","0xDA","0","OnPacket","BoundsGuard;NullGuard;PacketReadGuard;StateGuard","Critical","PacketHandlers.Register(0xDA, 0, true, new OnPacketReceive(OnPacket));"
"Items:Trades","Data/Scripts/Items/Trades/Maps/MapItem.cs","547","0x56","11","OnMapCommand","AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Critical","PacketHandlers.Register(0x56, 11, true, new OnPacketReceive(OnMapCommand));"
"System:Chat","Data/Scripts/System/Chat/General/Chat3Guild.cs","17","0x03","0","AsciiSpeechChat3","BoundsGuard;NullGuard;PacketReadGuard;StateGuard","Critical","PacketHandlers.Register(0x03, 0, true, new OnPacketReceive(AsciiSpeechChat3));"
"System:Chat","Data/Scripts/System/Chat/General/Chat3Guild.cs","18","0xAD","0","UnicodeSpeechChat3","BoundsGuard;NullGuard;PacketReadGuard;StateGuard","Critical","PacketHandlers.Register(0xAD, 0, true, new OnPacketReceive(UnicodeSpeechChat3));"
"System:Misc","Data/Scripts/System/Misc/HardwareInfo.cs","197","0xD9","0x10C","OnReceive","AccessGuard;BoundsGuard;NullGuard;PacketReadGuard;StateGuard","Critical","PacketHandlers.Register(0xD9, 0x10C, false, new OnPacketReceive(OnReceive));"
"System:Misc","Data/Scripts/System/Misc/ProtocolExtensions.cs","15","0xF0","0","DecodeBundledPacket","BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Critical","PacketHandlers.Register(0xF0, 0, false, new OnPacketReceive(DecodeBundledPacket));"
"System:Misc","Data/Scripts/System/Misc/Remote.cs","23","0xF1","0","OnReceive","AccessGuard;BoundsGuard;DeletedGuard;NullGuard;PacketReadGuard;StateGuard","Critical","PacketHandlers.Register(0xF1, 0, false, new OnPacketReceive(OnReceive));"
"Regions","Data/Scripts/System/Obsolete/Obsolete.cs","6009","0xB5","0x40","OpenChatWindowRequest","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Critical","PacketHandlers.Register(0xB5, 0x40, true, new OnPacketReceive(OpenChatWindowRequest));"
"Regions","Data/Scripts/System/Obsolete/Obsolete.cs","6010","0xB3","0","ChatAction","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Critical","PacketHandlers.Register(0xB3, 0, true, new OnPacketReceive(ChatAction));"
