"System","File","HookType","Marker","Line","Registration","Handler","Access","Trigger","Guards","Risk","Docs","CommentNeeded"
"Boats","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs","Initialize","Initialize","17","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;MapGuard;NullGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/boats.md","ReviewLater"
"Custom:BondInfo","Data/Scripts/Custom/BondInfo/BondInfo.cs","Initialize","Initialize","12","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-bondinfo.md","ReviewLater"
"Custom:ChangeSeason","Data/Scripts/Custom/ChangeSeason/ChangeSeason.cs","Initialize","Initialize","10","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;MapGuard;NullGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-changeseason.md","ReviewLater"
"Custom:Character Swap","Data/Scripts/Custom/Character Swap/CharacterSwap.cs","Initialize","Initialize","12","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;DeletedGuard;NullGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-character-swap.md","ReviewLater"
"Custom:ClearDeckCommand","Data/Scripts/Custom/ClearDeckCommand/ClearDeckCommand.cs","Initialize","Initialize","13","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;MapGuard;NullGuard;RangeGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-cleardeckcommand.md","ReviewLater"
"Clone Offline Player Characters","Data/Scripts/Custom/CloneOfflinePlayerCharacters/CheckClonesCommand.cs","Initialize","Initialize","17","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard","Medium","docs/codebase-audit/outputs/system-cards/clone-offline-player-characters.md","ReviewLater"
"Clone Offline Player Characters","Data/Scripts/Custom/CloneOfflinePlayerCharacters/CloneOfflinePlayerCharacters.cs","Initialize","Initialize","19","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;DeletedGuard;MapGuard;NullGuard","Medium","docs/codebase-audit/outputs/system-cards/clone-offline-player-characters.md","ReviewLater"
"Government","Data/Scripts/Custom/Government System/CityUpgradeSystem.cs","Initialize","Initialize","15","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/government.md","ReviewLater"
"Government","Data/Scripts/Custom/Government System/PlayerGovernmentSystem.cs","Initialize","Initialize","120","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;MapGuard;NullGuard;RangeGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/government.md","ReviewLater"
"Government","Data/Scripts/Custom/Government System/Commands/AdminAdd.cs","Initialize","Initialize","14","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard","Medium","docs/codebase-audit/outputs/system-cards/government.md","ReviewLater"
