"System","File","HookType","Marker","Line","Registration","Handler","Access","Trigger","Guards","Risk","Docs","CommentNeeded"
"Custom:CEO's GM Hiding Stone [2.0]","Data/Scripts/Custom/CEO's GM Hiding Stone [2.0]/gmhidingstone.cs","Timer","Timer.DelayCall","144","Timer.DelayCall(","","GlobalOrInternal","Timer tick or delayed callback","AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-ceo-s-gm-hiding-stone-2-0.md","ReviewLater"
"Custom:CEO's GM Hiding Stone [2.0]","Data/Scripts/Custom/CEO's GM Hiding Stone [2.0]/gmhidingstone.cs","Timer","Timer.DelayCall","149","Timer.DelayCall(","","GlobalOrInternal","Timer tick or delayed callback","AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-ceo-s-gm-hiding-stone-2-0.md","ReviewLater"
"Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastBlood.cs","Timer","Timer.DelayCall","24","m_Timer = Timer.DelayCall(","","GlobalOrInternal","Timer tick or delayed callback","BoundsGuard;NullGuard;PacketReadGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/champions.md","ReviewLater"
"Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs","Timer","Timer.DelayCall","54","Timer.DelayCall(TimeSpan.Zero, new TimerCallback(Initialize));","Initialize","GlobalOrInternal","Timer tick or delayed callback","BoundsGuard;MapGuard;NullGuard;PacketReadGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/champions.md","ReviewLater"
"Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs","Timer","Timer.DelayCall","408","m_Timer = Timer.DelayCall(","","GlobalOrInternal","Timer tick or delayed callback","BoundsGuard;MapGuard;NullGuard;PacketReadGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/champions.md","ReviewLater"
"Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs","Timer","Timer.DelayCall","443","m_Timer = Timer.DelayCall(TimeSpan.FromSeconds(2), new TimerCallback(OpenOrgan));","OpenOrgan","GlobalOrInternal","Timer tick or delayed callback","BoundsGuard;MapGuard;NullGuard;PacketReadGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/champions.md","ReviewLater"
"Champions","Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Ilhenir.cs","Timer","Timer.DelayCall","271","m_Table[to] = Timer.DelayCall(","","GlobalOrInternal","Timer tick or delayed callback","AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/champions.md","ReviewLater"
"Champions","Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Ilhenir.cs","Timer","Timer.DelayCall","391","m_Timer = Timer.DelayCall(TimeSpan.Zero, TimeSpan.FromSeconds(1), OnTick);","","GlobalOrInternal","Timer tick or delayed callback","AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/champions.md","ReviewLater"
"Champions","Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Ilhenir.cs","Timer","Timer.DelayCall","490","m_Timer = Timer.DelayCall(TimeSpan.Zero, TimeSpan.FromSeconds(1), OnTick);","","GlobalOrInternal","Timer tick or delayed callback","AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/champions.md","ReviewLater"
"Champions","Data/Scripts/Custom/Champions/Mobiles/Minions/Hiryu.cs","Timer","Timer.DelayCall","257","Timer.DelayCall(","","GlobalOrInternal","Timer tick or delayed callback","BoundsGuard;NullGuard;PacketReadGuard","Medium","docs/codebase-audit/outputs/system-cards/champions.md","ReviewLater"
