"System","CardSystems","File","Namespace","Class","TypeName","BaseType","Kind","IncludedInScriptsProject","MissingCompileTarget","UnincludedSource","HasSerialConstructor","SerializeLine","DeserializeLine","BaseSerializeLine","BaseDeserializeLine","BaseCallStatus","CurrentVersion","VersionWriteLine","VersionReadLine","VersionHandling","OlderVersions","WriteCount","ReadCount","Writes","Reads","FieldAlignment","DeletedFields","MoveRenameRisk","MoveRenameRiskReason","CommentNeeded","CommentReason","ReviewStatus","ReviewReasons","Evidence"
"Custom:AnimalSystem","Bulk Orders","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/DragonShapeChangeStone-body.cs","Server.Items","Server.Items.DragonShapeShiftStone","DragonShapeShiftStone","Item","Controller","True","False","False","True","120","131","122","133","BaseCallsFirst","1","123","134","SwitchGotoCase","0;1","5","5","L123:Write[int]:(int)1; L124:Write[int]:(int)s_BodyValue; L125:Write[int]:(int)m_Transformed; L126:Write[int]:(int)m_SkinBodyValue; L127:Write[int]:(int)m_BodyValue","L134:ReadInt[Int]:; L139:ReadInt[Int]:; L144:ReadInt[Int]:; L145:ReadInt[Int]:; L146:ReadInt[Int]:","AlignedByCountAndKnownTypes","","NamespaceOrTypeRenameDanger","World saves bind serialized namespace and type name; do not rename without a migration plan.","Yes","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","MachineMapped","","Serialize:L120;Deserialize:L131;SerialCtor:L25;VersionWrite:L123;VersionRead:L134"
"Custom:Book Publisher [2.0]","","Data/Scripts/Custom/Book Publisher [2.0]/PublishedBook.cs","Server.Items","Server.Items.PublishedBook","PublishedBook","BaseBook","Other","True","False","False","True","215","193","217","195","BaseCallsFirst","0","218","196","Switch","0","7","6","L218:Write[int]:(int)0; L220:Write[Unknown]:string.Empty; L222:Write[Unknown]:string.Join("""", m_Contributors); L223:Write[Unknown]:m_FirstPublished; L224:Write[Unknown]:m_LastPublished; L225:Write[Unknown]:m_OriginalHash; L226:Write[Unknown]:m_PublishID","L196:ReadInt[Int]:; L201:ReadString[String]:; L206:ReadDateTime[DateTime]:; L207:ReadDateTime[DateTime]:; L208:ReadString[String]:; L209:ReadString[String]:","CountMismatch:Writes=6;Reads=5","","NamespaceOrTypeRenameDanger","World saves bind serialized namespace and type name; do not rename without a migration plan.","Yes","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","NeedsSourceReview","CountMismatch:Writes=6;Reads=5","Serialize:L215;Deserialize:L193;SerialCtor:L190;VersionWrite:L218;VersionRead:L196"
"Custom:CEO's GM Hiding Stone [2.0]","","Data/Scripts/Custom/CEO's GM Hiding Stone [2.0]/gmhidingstone.cs","Server.Items","Server.Items.GMHidingStone","GMHidingStone","Item","Item","True","False","False","True","748","758","750","760","BaseCallsFirst","2","751","762","Switch","1;2","5","7","L751:Write[int]:(int)2; L752:Write[int]:(int)mAppearEffect; L753:Write[int]:(int)mHideEffect; L754:Write[Unknown]:mAppearEffectHue; L755:Write[Unknown]:mHideEffectHue","L762:ReadInt[Int]:; L768:ReadInt[Int]:; L769:ReadInt[Int]:; L774:ReadInt[Int]:; L775:ReadInt[Int]:; L776:ReadInt[Int]:; L777:ReadInt[Int]:","CountMismatch:Writes=4;Reads=6","","NamespaceOrTypeRenameDanger","World saves bind serialized namespace and type name; do not rename without a migration plan.","Yes","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","NeedsSourceReview","CountMismatch:Writes=4;Reads=6","Serialize:L748;Deserialize:L758;SerialCtor:L745;VersionWrite:L751;VersionRead:L762"
"Custom:Champions","Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastBackpack.cs","Server.Items","Server.Items.PlagueBeastBackpack","PlagueBeastBackpack","BaseContainer","Item","True","False","False","True","209","216","211","218","BaseCallsFirst","Unknown","","","NoVersionFound","","1","1","L213:WriteEncodedInt[EncodedInt]:0","L220:ReadEncodedInt[EncodedInt]:","AlignedByCountAndKnownTypes","","NamespaceOrTypeRenameDanger","World saves bind serialized namespace and type name; do not rename without a migration plan.","No","","NeedsSourceReview","NoVersionFound","Serialize:L209;Deserialize:L216;SerialCtor:L206"
"Custom:Champions","Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastBlood.cs","Server.Items","Server.Items.PlagueBeastBlood","PlagueBeastBlood","PlagueBeastComponent","Item","True","False","False","True","118","125","120","127","BaseCallsFirst","Unknown","","","NoVersionFound","","1","1","L122:WriteEncodedInt[EncodedInt]:0","L129:ReadEncodedInt[EncodedInt]:","AlignedByCountAndKnownTypes","","NamespaceOrTypeRenameDanger","World saves bind serialized namespace and type name; do not rename without a migration plan.","No","","NeedsSourceReview","NoVersionFound","Serialize:L118;Deserialize:L125;SerialCtor:L115"
"Custom:Champions","Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastGland.cs","Server.Items","Server.Items.PlagueBeastGland","PlagueBeastGland","Item","Item","True","False","False","True","20","27","22","29","BaseCallsFirst","Unknown","","","NoVersionFound","","1","1","L24:WriteEncodedInt[EncodedInt]:0","L31:ReadEncodedInt[EncodedInt]:","AlignedByCountAndKnownTypes","","NamespaceOrTypeRenameDanger","World saves bind serialized namespace and type name; do not rename without a migration plan.","No","","NeedsSourceReview","NoVersionFound","Serialize:L20;Deserialize:L27;SerialCtor:L17"
"Custom:Champions","Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastHeart.cs","Server.Items","Server.Items.PlagueBeastHeart","PlagueBeastHeart","PlagueBeastInnard","Item","True","False","False","True","26","33","28","35","BaseCallsFirst","Unknown","","","NoVersionFound","","1","1","L30:WriteEncodedInt[EncodedInt]:0","L37:ReadEncodedInt[EncodedInt]:","AlignedByCountAndKnownTypes","","NamespaceOrTypeRenameDanger","World saves bind serialized namespace and type name; do not rename without a migration plan.","No","","NeedsSourceReview","NoVersionFound","Serialize:L26;Deserialize:L33;SerialCtor:L23"
"Custom:Champions","Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastInnard.cs","Server.Items","Server.Items.PlagueBeastComponent","PlagueBeastComponent","PlagueBeastInnard","Item","True","False","False","True","176","185","178","187","BaseCallsFirst","Unknown","","","NoVersionFound","","1","1","L180:WriteEncodedInt[EncodedInt]:0","L189:ReadEncodedInt[EncodedInt]:","AlignedByCountAndKnownTypes","","NamespaceOrTypeRenameDanger","World saves bind serialized namespace and type name; do not rename without a migration plan.","No","","NeedsSourceReview","NoVersionFound","Serialize:L176;Deserialize:L185;SerialCtor:L173"
"Custom:Champions","Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastInnard.cs","Server.Items","Server.Items.PlagueBeastInnard","PlagueBeastInnard","Item","Item","True","False","False","True","59","66","61","68","BaseCallsFirst","Unknown","","","NoVersionFound","","1","1","L63:WriteEncodedInt[EncodedInt]:0","L70:ReadEncodedInt[EncodedInt]:","AlignedByCountAndKnownTypes","","NamespaceOrTypeRenameDanger","World saves bind serialized namespace and type name; do not rename without a migration plan.","No","","NeedsSourceReview","NoVersionFound","Serialize:L59;Deserialize:L66;SerialCtor:L56"
"Custom:Champions","Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastMutationCore.cs","Server.Items","Server.Items.PlagueBeastMutationCore","PlagueBeastMutationCore","Item","Item","True","False","False","True","64","73","66","75","BaseCallsFirst","Unknown","","","NoVersionFound","","2","2","L68:WriteEncodedInt[EncodedInt]:0; L70:Write[bool]:(bool)m_Cut","L77:ReadEncodedInt[EncodedInt]:; L79:ReadBool[Bool]:","AlignedByCountAndKnownTypes","","NamespaceOrTypeRenameDanger","World saves bind serialized namespace and type name; do not rename without a migration plan.","No","","NeedsSourceReview","NoVersionFound","Serialize:L64;Deserialize:L73;SerialCtor:L61"
