"SourceSystem","TargetSystem","EdgeType","Evidence","Strength","Impact","Notes","EvidenceSource"
"Custom:Book Publisher [2.0]","World Save Loader","SerializationConflict","Data/Scripts/Custom/Book Publisher [2.0]/PublishedBook.cs:Server.Items.PublishedBook:Switch:CountMismatch:Writes=6;Reads=5","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:CEO's GM Hiding Stone [2.0]","World Save Loader","SerializationConflict","Data/Scripts/Custom/CEO's GM Hiding Stone [2.0]/gmhidingstone.cs:Server.Items.GMHidingStone:Switch:CountMismatch:Writes=4;Reads=6","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Champions","World Save Loader","SerializationConflict","Data/Scripts/Custom/Champions/Items/PlagueBeastBackpack.cs:Server.Items.PlagueBeastBackpack:NoVersionFound:AlignedByCountAndKnownTypes","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Champions","World Save Loader","SerializationConflict","Data/Scripts/Custom/Champions/Items/PlagueBeastBlood.cs:Server.Items.PlagueBeastBlood:NoVersionFound:AlignedByCountAndKnownTypes","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Champions","World Save Loader","SerializationConflict","Data/Scripts/Custom/Champions/Items/PlagueBeastGland.cs:Server.Items.PlagueBeastGland:NoVersionFound:AlignedByCountAndKnownTypes","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Champions","World Save Loader","SerializationConflict","Data/Scripts/Custom/Champions/Items/PlagueBeastHeart.cs:Server.Items.PlagueBeastHeart:NoVersionFound:AlignedByCountAndKnownTypes","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Champions","World Save Loader","SerializationConflict","Data/Scripts/Custom/Champions/Items/PlagueBeastInnard.cs:Server.Items.PlagueBeastComponent:NoVersionFound:AlignedByCountAndKnownTypes","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Champions","World Save Loader","SerializationConflict","Data/Scripts/Custom/Champions/Items/PlagueBeastInnard.cs:Server.Items.PlagueBeastInnard:NoVersionFound:AlignedByCountAndKnownTypes","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Champions","World Save Loader","SerializationConflict","Data/Scripts/Custom/Champions/Items/PlagueBeastMutationCore.cs:Server.Items.PlagueBeastMutationCore:NoVersionFound:AlignedByCountAndKnownTypes","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Champions","World Save Loader","SerializationConflict","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs:Server.Items.PlagueBeastBackupOrgan:NoVersionFound:AlignedByCountAndKnownTypes","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Champions","World Save Loader","SerializationConflict","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs:Server.Items.PlagueBeastMaidenOrgan:NoVersionFound:AlignedByCountAndKnownTypes","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Champions","World Save Loader","SerializationConflict","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs:Server.Items.PlagueBeastMainOrgan:NoVersionFound:AlignedByCountAndKnownTypes","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Champions","World Save Loader","SerializationConflict","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs:Server.Items.PlagueBeastOrgan:NoVersionFound:AlignedByCountAndKnownTypes","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Champions","World Save Loader","SerializationConflict","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs:Server.Items.PlagueBeastRockOrgan:NoVersionFound:AlignedByCountAndKnownTypes","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Champions","World Save Loader","SerializationConflict","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs:Server.Items.PlagueBeastRubbleOrgan:NoVersionFound:AlignedByCountAndKnownTypes","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Champions","World Save Loader","SerializationConflict","Data/Scripts/Custom/Champions/Items/PlagueBeastVein.cs:Server.Items.PlagueBeastVein:NoVersionFound:AlignedByCountAndKnownTypes","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Champions","World Save Loader","SerializationConflict","Data/Scripts/Custom/Champions/Mobiles/Minions/PlagueBeastLord.cs:Server.Mobiles.PlagueBeastLord:NoVersionFound:CountMismatch:Writes=6;Reads=5","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Champions","World Save Loader","SerializationConflict","Data/Scripts/Custom/Champions/System/CannedEvil/ChampionSpawn.cs:Server.Engines.CannedEvil.ChampionSpawn:SwitchGotoCase:CountMismatch:Writes=19;Reads=20","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:CloneOfflinePlayerCharacters","World Save Loader","SerializationConflict","Data/Scripts/Custom/CloneOfflinePlayerCharacters/BackpackClone.cs:Server.Custom.Confictura.CloneOfflinePlayerCharacters.BackpackClone:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:CloneOfflinePlayerCharacters","World Save Loader","SerializationConflict","Data/Scripts/Custom/CloneOfflinePlayerCharacters/CharacterClone.cs:Server.Custom.Confictura.CloneOfflinePlayerCharacters.CharacterClone:WriteVersionOnly:CountMismatch:Writes=1;Reads=2","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:CloneOfflinePlayerCharacters","World Save Loader","SerializationConflict","Data/Scripts/Custom/CloneOfflinePlayerCharacters/EtherealMountClone.cs:Server.Custom.Confictura.CloneOfflinePlayerCharacters.EtherealMountClone:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:CloneOfflinePlayerCharacters","World Save Loader","SerializationConflict","Data/Scripts/Custom/CloneOfflinePlayerCharacters/MountClone.cs:Server.Custom.Confictura.CloneOfflinePlayerCharacters.MountClone:WriteVersionOnly:CountMismatch:Writes=0;Reads=1","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
"Custom:Government System","World Save Loader","SerializationConflict","Data/Scripts/Custom/Government System/Items/Stones/CityResurrectionStone.cs:Server.Items.CityResurrectionStone:SwitchGotoCase:CountMismatch:Writes=4;Reads=5","Hard","Save","Serialization register marked this save surface for manual review.","SerializationRegister"
