"SourceSystem","TargetSystem","EdgeType","Evidence","Strength","Impact","Notes","EvidenceSource"
"Boats","Champions","DirectReference","Data/Scripts/Items/Boats/BaseBoatDeed.cs:L281:ChampionSpawn","Hard","Build;Runtime","Source file owned by source system contains a target-system symbol or package marker.","Source"
"Boats","Champions","DirectReference","Data/Scripts/Items/Boats/BaseDockedBoat.cs:L322:ChampionSpawn","Hard","Build;Runtime","Source file owned by source system contains a target-system symbol or package marker.","Source"
"Boats","EventSink","GlobalHook","Data/Scripts/Items/Boats/BaseBoat.cs:L2909:Event","Hard","Runtime","Runtime hook map row; trigger: EventSink dispatch.","RuntimeHookMap"
"Boats","EventSink","GlobalHook","Data/Scripts/Items/Boats/Strandedness.cs:L105:Event","Hard","Runtime","Runtime hook map row; trigger: EventSink dispatch.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L197:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L219:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L227:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L300:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L373:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L43:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L446:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L519:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L53:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L572:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L625:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L63:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L678:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L731:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L740:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L749:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L757:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L791:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L817:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L843:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L869:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L895:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
"Boats","Gump Framework","RuntimeHook","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs:L924:Gump","Hard","Runtime;Player;Staff","Runtime hook map row; trigger: Gump send or response.","RuntimeHookMap"
