"SourceSystem","TargetSystem","EdgeType","Evidence","Strength","Impact","Notes","EvidenceSource"
"Custom:Book Publisher [2.0]","DataFile:*.xml","XMLConfig","Data/Scripts/Custom/Book Publisher [2.0]/XmlBook.cs:L170:string[] files = Directory.GetFiles(DataPath, ""*.xml"");","Soft","Runtime;Data","Source string references checked-in data/config path or wildcard.","ConfigReferenceInventory"
"Doc:AI Overhaul Audit","Bulk Orders","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Mobiles/Base/BaseVendor.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Clone Offline Player Characters","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Custom/CloneOfflinePlayerCharacters/CharacterClone.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Clone Offline Player Characters","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Magic/Ninjitsu/MirrorImage.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Magic Schools","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Magic/Death Knight/DevilPact.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Magic Schools","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Magic/Elementalism/Mobiles/ElementalFiendAir.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Magic Schools","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Magic/Elementalism/Mobiles/ElementalFiendEarth.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Magic Schools","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Magic/Elementalism/Mobiles/ElementalFiendFire.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Magic Schools","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Magic/Elementalism/Mobiles/ElementalFiendWater.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Magic Schools","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Magic/Elementalism/Mobiles/ElementalSpiritAir.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Magic Schools","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Magic/Elementalism/Mobiles/ElementalSpiritEarth.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Magic Schools","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Magic/Elementalism/Mobiles/ElementalSpiritFire.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Magic Schools","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Magic/Elementalism/Mobiles/ElementalSpiritWater.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Mobiles:Base","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Mobiles/Base/BaseCreature.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Mobiles:Base","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Mobiles/Base/BaseHealer.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Mobiles:Base","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Mobiles/Base/BaseNPC.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Mobiles:Base","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Mobiles/Base/BasePerson.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Mobiles:Civilized","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Mobiles/Civilized/Citizens/Citizens.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Mobiles:Humanoids","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Mobiles/Humanoids/Aliens/Jedi.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Mobiles:Humanoids","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Mobiles/Humanoids/Aliens/Syth.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
"Doc:AI Overhaul Audit","Mobiles:Humanoids","DocsSourceTrace","docs/wiki/AI_OVERHAUL_AUDIT.md -> Data/Scripts/Mobiles/Humanoids/Humans/Adventurers.cs","Soft","Docs","Documentation page source trace points at files owned by the target system.","DocumentationTruthTable"
