"System","Classification","StandaloneStatus","OutgoingEdgeCount","IncomingEdgeCount","DirectReferenceEdgeCount","RuntimeHookCount","GlobalHookCount","PacketHandlerCount","SerializedRowCount","ConfigReferenceCount","DocsOnlyEdgeCount","NegativeEvidence"
"AI Overhaul","GameplayLayer","NotStandalone","0","1","1","0","0","0","0","0","0","Generated evidence found; standalone claim not supported."
"Boats","GameplayLayer","NotStandalone","209","26","45","61","4","0","68","0","0","Generated evidence found; standalone claim not supported."
"Bulk Orders","GameplayLayer","NotStandalone","222","21","51","60","3","0","65","4","3","Generated evidence found; standalone claim not supported."
"Champions","GameplayLayer","NotStandalone","187","22","28","28","2","0","75","0","0","Generated evidence found; standalone claim not supported."
"Character Level","GameplayLayer","NotStandalone","5","1","3","3","0","0","0","0","0","Generated evidence found; standalone claim not supported."
"Clone Offline Player Characters","GameplayLayer","NotStandalone","42","3","14","13","4","0","8","0","2","Generated evidence found; standalone claim not supported."
"Crafting Core","SharedService","NotStandalone","59","30","39","50","0","0","0","0","0","Generated evidence found; standalone claim not supported."
"Gardening","GameplayLayer","NotStandalone","285","22","9","45","5","0","117","0","18","Generated evidence found; standalone claim not supported."
"Government","GameplayLayer","NotStandalone","789","6","160","273","16","0","173","2","0","Generated evidence found; standalone claim not supported."
"Harvest System","SharedService","NotStandalone","35","2","14","4","0","0","9","0","0","Generated evidence found; standalone claim not supported."
"Homestead","ImportedPackage","NotStandalone","2841","3","105","286","9","0","1172","0","1","Generated evidence found; standalone claim not supported."
"Housing","SharedService","NotStandalone","694","36","105","268","24","1","175","10","2","Generated evidence found; standalone claim not supported."
"Invasion","StaffEventTool","NotStandalone","312","3","30","134","3","0","76","1","0","Generated evidence found; standalone claim not supported."
"Magic Schools","GameplayLayer","NotStandalone","645","245","523","0","0","0","164","0","9","Generated evidence found; standalone claim not supported."
"Monster Nests","GameplayLayer","NotStandalone","17","0","1","4","0","0","6","0","0","Generated evidence found; standalone claim not supported."
"Obsolete Scripts","LegacyCompatibility","NotStandalone","1114","2","20","11","0","0","505","2","0","Generated evidence found; standalone claim not supported."
"Offline Skill Training","GameplayLayer","NotStandalone","360","0","11","8","6","0","170","0","0","Generated evidence found; standalone claim not supported."
"OmniAI","ImportedPackage","NotStandalone","21","4","18","2","1","0","1","0","3","Generated evidence found; standalone claim not supported."
"PlayerMobile Core","SharedService","NotStandalone","11","352","358","0","0","0","1","0","2","Generated evidence found; standalone claim not supported."
"PvP Consent","GameplayLayer","NotStandalone","61","9","17","32","9","0","6","0","7","Generated evidence found; standalone claim not supported."
"Random Encounters","GameplayLayer","NotStandalone","30","3","19","8","0","0","2","2","2","Generated evidence found; standalone claim not supported."
"Regions","SharedService","NotStandalone","811","425","481","306","94","2","178","10","4","Generated evidence found; standalone claim not supported."
"Spell Framework","SharedService","NotStandalone","1490","244","613","351","14","0","359","0","16","Generated evidence found; standalone claim not supported."
"Staff Toolbar","StaffEventTool","NotStandalone","1","0","1","0","0","0","0","0","0","Generated evidence found; standalone claim not supported."
"Static Gump Tool","StaffEventTool","NotStandalone","213","18","38","193","0","0","0","0","0","Generated evidence found; standalone claim not supported."
"Vendor Core","SharedService","NotStandalone","921","93","229","148","22","0","271","2","8","Generated evidence found; standalone claim not supported."
"XMLSpawner","SharedService","NotStandalone","861","14","83","589","62","3","100","4","0","Generated evidence found; standalone claim not supported."
