"System","File","Line","UsageKind","FreeCallPresentInFile","Evidence"
"Custom:Champions","Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Barracoon.cs","201","DirectForeachRangeScan","No","foreach (Mobile m in this.GetMobilesInRange(10))"
"Custom:Champions","Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Ilhenir.cs","320","DirectForeachRangeScan","No","foreach (Item item in Map.GetItemsInRange(p, 0))"
"Custom:Champions","Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Ilhenir.cs","408","DirectForeachRangeScan","No","foreach (Mobile m in GetMobilesInRange(0))"
"Custom:Champions","Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Rikktor.cs","129","DirectForeachRangeScan","No","foreach (Mobile m in this.GetMobilesInRange(8))"
"Custom:Champions","Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Semidar.cs","114","DirectForeachRangeScan","No","foreach (Mobile m in this.GetMobilesInRange(2))"
"Custom:Champions","Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Serado.cs","190","DirectForeachRangeScan","No","foreach (Mobile m in target.GetMobilesInRange(8))"
"Custom:Champions","Data/Scripts/Custom/Champions/Mobiles/Minions/InterredGrizzle .cs","132","DirectForeachRangeScan","No","foreach (Item item in Map.GetItemsInRange(p, 0))"
"Custom:Champions","Data/Scripts/Custom/Champions/Mobiles/Minions/PlagueBeast.cs","191","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = GetItemsInRange(3); // Get all corpses in range"
"Custom:Champions","Data/Scripts/Custom/Champions/Mobiles/Minions/PlagueBeastLord.cs","232","DirectForeachRangeScan","No","foreach (NetState state in GetClientsInRange(12))"
"Custom:ClearDeckCommand","Data/Scripts/Custom/ClearDeckCommand/ClearDeckCommand.cs","38","DirectForeachRangeScan","No","foreach (Item item in playerBoat.GetItemsInRange(18)) // Assuming 18 is the max range of a boat"
"Custom:Government System","Data/Scripts/Custom/Government System/Items/Deeds/CityDeed.cs","3129","DirectForeachRangeScan","No","foreach (Mobile m in spwn.GetMobilesInRange(0))"
"Custom:Government System","Data/Scripts/Custom/Government System/Items/Deeds/CityDeed.cs","3184","DirectForeachRangeScan","No","foreach (Mobile m in spwn.GetMobilesInRange(0))"
"Custom:Government System","Data/Scripts/Custom/Government System/Items/Deeds/CityDeed.cs","3239","DirectForeachRangeScan","No","foreach (Mobile m in spwn.GetMobilesInRange(0))"
"Custom:Government System","Data/Scripts/Custom/Government System/Items/Deeds/CityDeed.cs","3294","DirectForeachRangeScan","No","foreach (Mobile m in spwn.GetMobilesInRange(0))"
"Custom:Government System","Data/Scripts/Custom/Government System/Items/Deeds/CityDeed.cs","3349","DirectForeachRangeScan","No","foreach (Mobile m in spwn.GetMobilesInRange(0))"
"Custom:Government System","Data/Scripts/Custom/Government System/Items/Deeds/CityDeed.cs","3404","DirectForeachRangeScan","No","foreach (Mobile m in spwn.GetMobilesInRange(0))"
"Custom:Government System","Data/Scripts/Custom/Government System/Items/Deeds/CityDeed.cs","3459","DirectForeachRangeScan","No","foreach (Mobile m in spwn.GetMobilesInRange(0))"
"Custom:Government System","Data/Scripts/Custom/Government System/Items/Deeds/CityDeed.cs","3514","DirectForeachRangeScan","No","foreach (Mobile m in spwn.GetMobilesInRange(0))"
"Custom:Government System","Data/Scripts/Custom/Government System/Vendor/CityLandLord.cs","237","DirectForeachRangeScan","No","foreach (Mobile m in sp1.GetMobilesInRange(0))"
"Custom:Government System","Data/Scripts/Custom/Government System/Vendor/CityLandLord.cs","243","DirectForeachRangeScan","No","foreach (Mobile m in sp2.GetMobilesInRange(0))"
"Custom:Government System","Data/Scripts/Custom/Government System/Vendor/CityLandLord.cs","297","DirectForeachRangeScan","No","foreach (Mobile m in sp.GetMobilesInRange(0))"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/BaseSpecialCreature.cs","607","DirectForeachRangeScan","No","foreach (Mobile m in this.GetMobilesInRange(6))"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/BaseSpecialCreature.cs","660","DirectForeachRangeScan","No","foreach (Mobile m in target.Map.GetMobilesInRange(target.Location, BreathMaxRange))"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/BaseSpecialCreature.cs","924","DirectForeachRangeScan","No","foreach (Mobile m in target.GetMobilesInRange(8))"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/Lord BlackThorn Clone.cs","126","DirectForeachRangeScan","No","foreach (Mobile m in this.GetMobilesInRange(10))"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/MobileFeatures.cs","212","DirectForeachRangeScan","No","foreach (Mobile m in mobile.GetMobilesInRange(15))"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/MobileFeatures.cs","247","DirectForeachRangeScan","No","foreach (Mobile m in mobile.GetMobilesInRange(15))"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/MobileFeatures.cs","283","DirectForeachRangeScan","No","foreach (Mobile m in mobile.GetMobilesInRange(10))"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/MobileFeatures.cs","330","DirectForeachRangeScan","No","foreach (Mobile m in mobile.GetMobilesInRange(10))"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/MobileFeatures.cs","370","DirectForeachRangeScan","No","foreach (Mobile m in mobile.GetMobilesInRange(10))"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/MobileFeatures.cs","420","DirectForeachRangeScan","No","foreach (Mobile m in mobile.GetMobilesInRange(10))"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/MobileFeatures.cs","463","DirectForeachRangeScan","No","foreach (Mobile m in mobile.GetMobilesInRange(10))"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/MobileFeatures.cs","502","DirectForeachRangeScan","No","foreach (Mobile m in mobile.GetMobilesInRange(3))"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/MobileFeatures.cs","513","DirectForeachRangeScan","No","foreach (Mobile m in mobile.GetMobilesInRange(3))"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/MobileFeatures.cs","524","DirectForeachRangeScan","No","foreach (Mobile m in mobile.GetMobilesInRange(3))"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/Pirates/Chasing Pirates/PirateCaptain.cs","344","DirectForeachRangeScan","Yes","foreach (Item enemy in this.GetItemsInRange(200))"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/Pirates/Chasing Pirates/PirateCaptain.cs","349","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = enemy.GetMobilesInRange(16);"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/Pirates/Chasing Pirates/PirateCaptain.cs","465","DirectForeachRangeScan","Yes","foreach (Mobile m in this.GetMobilesInRange(10))"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/Pirates/Chasing Pirates/PirateCaptain.cs","525","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = m_Boat.GetMobilesInRange(16);"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/Pirates/Morgan/Morgan2.cs","211","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = map.GetMobilesInRange(this.Location, 2);"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/SubChamps/LordBlackThornBot.cs","137","DirectForeachRangeScan","No","foreach (Mobile m in this.GetMobilesInRange(10))"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/SubChamps/LordOrcalis.cs","141","DirectForeachRangeScan","No","foreach (Mobile m in this.GetMobilesInRange(10))"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/SubChamps/LordOrcalis.cs","183","DirectForeachRangeScan","No","foreach (Mobile m in this.GetMobilesInRange(10))"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/SubChamps/OgreChieftan.cs","93","DirectForeachRangeScan","No","foreach (Mobile m in this.GetMobilesInRange(10))"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/SubChamps/OrcKing.cs","136","DirectForeachRangeScan","No","foreach (Mobile m in this.GetMobilesInRange(10))"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/SubChamps/Ssslither.cs","94","DirectForeachRangeScan","No","foreach (Mobile m in this.GetMobilesInRange(10))"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/SubChamps/TheSavageGeneral.cs","124","DirectForeachRangeScan","No","foreach (Mobile m in this.GetMobilesInRange(10))"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/SubChamps/TheSavageGeneral.cs","166","DirectForeachRangeScan","No","foreach (Mobile m in this.GetMobilesInRange(10))"
"Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/SubChamps/WidowQueen.cs","95","DirectForeachRangeScan","No","foreach (Mobile m in this.GetMobilesInRange(10))"
"Custom:MonsterNest","Data/Scripts/Custom/MonsterNest/MonsterNestLoot.cs","28","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = this.Map.GetMobilesInRange(this.Location, 20);"
"Custom:OmniAI","Data/Scripts/Custom/OmniAI/OmniAI Core.cs","564","DirectForeachRangeScan","No","foreach (Mobile m in m_Mobile.GetMobilesInRange(12))"
"Custom:OmniAI","Data/Scripts/Custom/OmniAI/OmniAI Core.cs","675","DirectForeachRangeScan","No","foreach (Item itemstofind in m_Mobile.GetItemsInRange(5))"
"Custom:OmniAI","Data/Scripts/Custom/OmniAI/OmniAI Core.cs","749","DirectForeachRangeScan","No","foreach (Mobile m in from.GetMobilesInRange(12))"
"Custom:OmniAI","Data/Scripts/Custom/OmniAI/OmniAI Knightship.cs","139","DirectForeachRangeScan","No","foreach (Mobile m in m_Mobile.GetMobilesInRange(4))"
"Custom:OmniAI","Data/Scripts/Custom/OmniAI/OmniAI Shared.cs","234","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = m_Mobile.Map.GetItemsInRange(m_Mobile.Location, 0);"
"Custom:RandomEncounters","Data/Scripts/Custom/RandomEncounters/Timers.cs","260","ExplicitIPooledEnumerable","No","IPooledEnumerable eable = null;"
"Custom:RandomEncounters","Data/Scripts/Custom/RandomEncounters/Timers.cs","269","RangeScan","No","eable = m.Map.GetClientsInRange(loc, 18);"
