"FindingId","Track","System","File","Evidence","Impact","Severity","Recommendation","Verification","SourceRegister","ReviewStatus","Notes"
"P10-F00001","10.1 Build Inclusion Drift","Custom:XMLSpawner","","MovedGumpFolder; count=20; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00002","10.1 Build Inclusion Drift","Trades:Bulk Orders","","MovedGumpFolder; count=7; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00003","10.1 Build Inclusion Drift","Items:Houses","","MovedGumpFolder; count=7; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00004","10.1 Build Inclusion Drift","Items:Misc","","MovedGumpFolder; count=5; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00005","10.1 Build Inclusion Drift","System:Help","","MovedGumpFolder; count=5; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00006","10.1 Build Inclusion Drift","System:Commands","","MovedGumpFolder; count=5; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00007","10.1 Build Inclusion Drift","Trades:Gardening","","MovedGumpFolder; count=4; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00008","10.1 Build Inclusion Drift","Trades:Core","","MovedGumpFolder; count=3; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00009","10.1 Build Inclusion Drift","Items:Boats","","MovedGumpFolder; count=3; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
"P10-F00010","10.1 Build Inclusion Drift","Items:Gifts","","MovedGumpFolder; count=3; evidence=phase-02-missing-compile-targets-classified.csv","Build","P0","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","project-cleanup-backlog.csv","NeedsManualReview",""
