"BatchId","ReviewRowId","BacklogId","SourceId","Category","System","Files","Evidence","ReviewStatus","Decision","Action","SourceEvidence","RuntimeRisk","SerializationContext","Verification","Notes"
"POST-BATCH-C-01A","PHC-001","RB-01877","P10-F01877","Runtime hooks","XMLSpawner","Data/Scripts/Custom/XMLSpawner/PacketHandlerOverrides.cs","Packet:L43:PacketHandlers.Register(; guards=BoundsGuard","Fixed","PriorSourceFixVerified","No new source change; prior POST-BATCH-A source fix already addressed this runtime hook row: Patched XmlTextEntryBook.ContentChange and BaseContentChange to enforce writable/range/accessibility before accepting client page edits.","PacketHandlerOverrides.cs:41-57; XmlTextEntryBook.cs:194-317; BaseBook.cs:399-447","Packet/global hook registration already reviewed in POST-BATCH-A with trust-boundary, state, packet read, access, null/deleted, range/map, and override-conflict fields.","No serializer layout touched.","Review-only reconciliation against post-batch-a-packet-handler-review.csv; no source files changed.","Mapped to PHA-001 in POST-BATCH-A."
"POST-BATCH-C-01A","PHC-002","RB-01878","P10-F01878","Runtime hooks","XMLSpawner","Data/Scripts/Custom/XMLSpawner/PacketHandlerOverrides.cs","Packet:L61:PacketHandlers.Register(0x06, 5, true, new OnPacketReceive(XmlAttach.UseReq));; guards=BoundsGuard","Fixed","PriorSourceFixVerified","No new source change; prior POST-BATCH-A source fix already addressed this runtime hook row: Patched XmlAttach.UseReq to restore core NextActionTime update after accepted use requests and core Counselor bypass threshold.","PacketHandlerOverrides.cs:59-64; XmlAttach.cs:2463-2567; PacketHandlers.cs:1487-1525","Packet/global hook registration already reviewed in POST-BATCH-A with trust-boundary, state, packet read, access, null/deleted, range/map, and override-conflict fields.","No serializer layout touched.","Review-only reconciliation against post-batch-a-packet-handler-review.csv; no source files changed.","Mapped to PHA-002 in POST-BATCH-A."
"POST-BATCH-C-01A","PHC-003","RB-01879","P10-F01879","Runtime hooks","XMLSpawner","Data/Scripts/Custom/XMLSpawner/XmlTextEntryBook.cs","Packet:L191://PacketHandlers.Register( 0x66, 0, true, new OnPacketReceive( ContentChange ) );; guards=AccessGuard;BoundsGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","ReviewedNoChange","PriorReviewNoChange","No source change; prior POST-BATCH-A packet-handler review found existing guards acceptable for this runtime hook row: Kept commented registration unchanged; active 0x66 review and fixes are recorded in PHA-001.","XmlTextEntryBook.cs:186-194; PacketHandlerOverrides.cs:41-57","Packet/global hook registration already reviewed in POST-BATCH-A with trust-boundary, state, packet read, access, null/deleted, range/map, and override-conflict fields.","No serializer layout touched.","Review-only reconciliation against post-batch-a-packet-handler-review.csv; no source files changed.","Mapped to PHA-003 in POST-BATCH-A."
"POST-BATCH-C-01A","PHC-004","RB-01880","P10-F01880","Runtime hooks","Items:Books","Data/Scripts/Items/Books/BaseBook.cs","Packet:L339:PacketHandlers.Register(0xD4, 0, true, new OnPacketReceive(HeaderChange));; guards=AccessGuard;BoundsGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","ReviewedNoChange","PriorReviewNoChange","No source change; prior POST-BATCH-A packet-handler review found existing guards acceptable for this runtime hook row: No source change; guards match the expected BaseBook header edit path.","BaseBook.cs:337-397","Packet/global hook registration already reviewed in POST-BATCH-A with trust-boundary, state, packet read, access, null/deleted, range/map, and override-conflict fields.","No serializer layout touched.","Review-only reconciliation against post-batch-a-packet-handler-review.csv; no source files changed.","Mapped to PHA-004 in POST-BATCH-A."
"POST-BATCH-C-01A","PHC-005","RB-01881","P10-F01881","Runtime hooks","Items:Books","Data/Scripts/Items/Books/BaseBook.cs","Packet:L340:PacketHandlers.Register(0x66, 0, true, new OnPacketReceive(ContentChange));; guards=AccessGuard;BoundsGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","ReviewedNoChange","PriorReviewNoChange","No source change; prior POST-BATCH-A packet-handler review found existing guards acceptable for this runtime hook row: No direct BaseBook source change; XMLSpawner delegate parity is fixed in PHA-001.","BaseBook.cs:337-447; PacketHandlerOverrides.cs:41-57","Packet/global hook registration already reviewed in POST-BATCH-A with trust-boundary, state, packet read, access, null/deleted, range/map, and override-conflict fields.","No serializer layout touched.","Review-only reconciliation against post-batch-a-packet-handler-review.csv; no source files changed.","Mapped to PHA-005 in POST-BATCH-A."
"POST-BATCH-C-01A","PHC-006","RB-01882","P10-F01882","Runtime hooks","Items:Books","Data/Scripts/Items/Books/BaseBook.cs","Packet:L341:PacketHandlers.Register(0x93, 99, true, new OnPacketReceive(OldHeaderChange));; guards=AccessGuard;BoundsGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","ReviewedNoChange","PriorReviewNoChange","No source change; prior POST-BATCH-A packet-handler review found existing guards acceptable for this runtime hook row: No source change; legacy handler has the same core access/range guard shape as HeaderChange.","BaseBook.cs:337-364","Packet/global hook registration already reviewed in POST-BATCH-A with trust-boundary, state, packet read, access, null/deleted, range/map, and override-conflict fields.","No serializer layout touched.","Review-only reconciliation against post-batch-a-packet-handler-review.csv; no source files changed.","Mapped to PHA-006 in POST-BATCH-A."
"POST-BATCH-C-01A","PHC-007","RB-01883","P10-F01883","Runtime hooks","Housing","Data/Scripts/Items/Houses/Monopoly/Misc/GumpResponse.cs","Packet:L23:PacketHandlers.Register(0xB1, 0, true, new OnPacketReceive(DisplayGumpResponse));; guards=BoundsGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Fixed","PriorSourceFixVerified","No new source change; prior POST-BATCH-A source fix already addressed this runtime hook row: Patched DisplayGumpResponse to save and restore PacketReader position before m_Successor or core fallback. Deferred exact switch/text maximum parity because core Gump.m_Switches and m_TextEntries are internal to ServerCore.","GumpResponse.cs:19-101; PacketReader.cs:71-87; PacketHandlers.cs:1267-1365; Gump.cs:35-36","Packet/global hook registration already reviewed in POST-BATCH-A with trust-boundary, state, packet read, access, null/deleted, range/map, and override-conflict fields.","No serializer layout touched.","Review-only reconciliation against post-batch-a-packet-handler-review.csv; no source files changed.","Mapped to PHA-007 in POST-BATCH-A."
"POST-BATCH-C-01A","PHC-008","RB-01884","P10-F01884","Runtime hooks","Items:Misc","Data/Scripts/Items/Misc/BulletinBoards.cs","Packet:L230:PacketHandlers.Register(0x71, 0, true, new OnPacketReceive(BBClientRequest));; guards=AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","ReviewedNoChange","PriorReviewNoChange","No source change; prior POST-BATCH-A packet-handler review found existing guards acceptable for this runtime hook row: No source change; retained for later broader bulletin-board content/rate-limit review if needed.","BulletinBoards.cs:228-344","Packet/global hook registration already reviewed in POST-BATCH-A with trust-boundary, state, packet read, access, null/deleted, range/map, and override-conflict fields.","No serializer layout touched.","Review-only reconciliation against post-batch-a-packet-handler-review.csv; no source files changed.","Mapped to PHA-008 in POST-BATCH-A."
"POST-BATCH-C-01A","PHC-009","RB-01885","P10-F01885","Runtime hooks","Items:Misc","Data/Scripts/Items/Misc/Games/Mahjong/MahjongPacketHandlers.cs","Packet:L38:PacketHandlers.Register(0xDA, 0, true, new OnPacketReceive(OnPacket));; guards=BoundsGuard;NullGuard;PacketReadGuard;StateGuard","ReviewedNoChange","PriorReviewNoChange","No source change; prior POST-BATCH-A packet-handler review found existing guards acceptable for this runtime hook row: No source change; review records game-state authorization as the controlling guard.","MahjongPacketHandlers.cs:36-267","Packet/global hook registration already reviewed in POST-BATCH-A with trust-boundary, state, packet read, access, null/deleted, range/map, and override-conflict fields.","No serializer layout touched.","Review-only reconciliation against post-batch-a-packet-handler-review.csv; no source files changed.","Mapped to PHA-009 in POST-BATCH-A."
"POST-BATCH-C-01A","PHC-010","RB-01886","P10-F01886","Runtime hooks","Items:Trades","Data/Scripts/Items/Trades/Maps/MapItem.cs","Packet:L547:PacketHandlers.Register(0x56, 11, true, new OnPacketReceive(OnMapCommand));; guards=AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","ReviewedNoChange","PriorReviewNoChange","No source change; prior POST-BATCH-A packet-handler review found existing guards acceptable for this runtime hook row: No source change; existing command methods provide the meaningful access/range gates.","MapItem.cs:394-435; MapItem.cs:545-585","Packet/global hook registration already reviewed in POST-BATCH-A with trust-boundary, state, packet read, access, null/deleted, range/map, and override-conflict fields.","No serializer layout touched.","Review-only reconciliation against post-batch-a-packet-handler-review.csv; no source files changed.","Mapped to PHA-010 in POST-BATCH-A."
"POST-BATCH-C-01A","PHC-011","RB-01887","P10-F01887","Runtime hooks","System:Chat","Data/Scripts/System/Chat/General/Chat3Guild.cs","Packet:L17:PacketHandlers.Register(0x03, 0, true, new OnPacketReceive(AsciiSpeechChat3));; guards=BoundsGuard;NullGuard;PacketReadGuard;StateGuard","ReviewedNoChange","PriorReviewNoChange","No source change; prior POST-BATCH-A packet-handler review found existing guards acceptable for this runtime hook row: No source change; downstream Channel.OnChat enforces CanChat for the ASCII guild path.","Chat3Guild.cs:15-40; Channel.cs:423-457; Guild.cs:69-79","Packet/global hook registration already reviewed in POST-BATCH-A with trust-boundary, state, packet read, access, null/deleted, range/map, and override-conflict fields.","No serializer layout touched.","Review-only reconciliation against post-batch-a-packet-handler-review.csv; no source files changed.","Mapped to PHA-011 in POST-BATCH-A."
"POST-BATCH-C-01A","PHC-012","RB-01888","P10-F01888","Runtime hooks","System:Chat","Data/Scripts/System/Chat/General/Chat3Guild.cs","Packet:L18:PacketHandlers.Register(0xAD, 0, true, new OnPacketReceive(UnicodeSpeechChat3));; guards=BoundsGuard;NullGuard;PacketReadGuard;StateGuard","ReviewedNoChange","PriorReviewNoChange","No source change; prior POST-BATCH-A packet-handler review found existing guards acceptable for this runtime hook row: No source change; explicit CanChat and downstream Channel.OnChat checks both protect guild chat.","Chat3Guild.cs:15-123; Channel.cs:423-457; Guild.cs:69-79","Packet/global hook registration already reviewed in POST-BATCH-A with trust-boundary, state, packet read, access, null/deleted, range/map, and override-conflict fields.","No serializer layout touched.","Review-only reconciliation against post-batch-a-packet-handler-review.csv; no source files changed.","Mapped to PHA-012 in POST-BATCH-A."
"POST-BATCH-C-01A","PHC-013","RB-01889","P10-F01889","Runtime hooks","System:Misc","Data/Scripts/System/Misc/HardwareInfo.cs","Packet:L197:PacketHandlers.Register(0xD9, 0x10C, false, new OnPacketReceive(OnReceive));; guards=AccessGuard;BoundsGuard;NullGuard;PacketReadGuard;StateGuard","ReviewedNoChange","PriorReviewNoChange","No source change; prior POST-BATCH-A packet-handler review found existing guards acceptable for this runtime hook row: No source change; privacy/access surface is command-gated and broader retention policy is outside this batch.","HardwareInfo.cs:195-289","Packet/global hook registration already reviewed in POST-BATCH-A with trust-boundary, state, packet read, access, null/deleted, range/map, and override-conflict fields.","No serializer layout touched.","Review-only reconciliation against post-batch-a-packet-handler-review.csv; no source files changed.","Mapped to PHA-013 in POST-BATCH-A."
"POST-BATCH-C-01A","PHC-014","RB-01890","P10-F01890","Runtime hooks","System:Misc","Data/Scripts/System/Misc/ProtocolExtensions.cs","Packet:L15:PacketHandlers.Register(0xF0, 0, false, new OnPacketReceive(DecodeBundledPacket));; guards=BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","ReviewedNoChange","PriorReviewNoChange","No source change; prior POST-BATCH-A packet-handler review found existing guards acceptable for this runtime hook row: No source change; subhandler ingame gate is explicit in DecodeBundledPacket.","ProtocolExtensions.cs:13-73","Packet/global hook registration already reviewed in POST-BATCH-A with trust-boundary, state, packet read, access, null/deleted, range/map, and override-conflict fields.","No serializer layout touched.","Review-only reconciliation against post-batch-a-packet-handler-review.csv; no source files changed.","Mapped to PHA-014 in POST-BATCH-A."
"POST-BATCH-C-01A","PHC-015","RB-01891","P10-F01891","Runtime hooks","System:Misc","Data/Scripts/System/Misc/Remote.cs","Packet:L23:PacketHandlers.Register(0xF1, 0, false, new OnPacketReceive(OnReceive));; guards=AccessGuard;BoundsGuard;DeletedGuard;NullGuard;PacketReadGuard;StateGuard","ReviewedNoChange","PriorReviewNoChange","No source change; prior POST-BATCH-A packet-handler review found existing guards acceptable for this runtime hook row: No source change; recorded as a later design/security-policy review candidate rather than changing remote admin protocol in the packet batch.","Remote.cs:21-203","Packet/global hook registration already reviewed in POST-BATCH-A with trust-boundary, state, packet read, access, null/deleted, range/map, and override-conflict fields.","No serializer layout touched.","Review-only reconciliation against post-batch-a-packet-handler-review.csv; no source files changed.","Mapped to PHA-015 in POST-BATCH-A."
"POST-BATCH-C-01A","PHC-016","RB-01892","P10-F01892","Runtime hooks","Regions","Data/Scripts/System/Obsolete/Obsolete.cs","Packet:L5985:PacketHandlers.Register(0xB5, 0x40, true, new OnPacketReceive(OpenChatWindowRequest));; guards=AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","ReviewedNoChange","PriorReviewNoChange","No source change; prior POST-BATCH-A packet-handler review found existing guards acceptable for this runtime hook row: No source change; legacy chat policy remains for a later chat-system review.","Obsolete.cs:5983-6089","Packet/global hook registration already reviewed in POST-BATCH-A with trust-boundary, state, packet read, access, null/deleted, range/map, and override-conflict fields.","No serializer layout touched.","Review-only reconciliation against post-batch-a-packet-handler-review.csv; no source files changed.","Mapped to PHA-016 in POST-BATCH-A."
"POST-BATCH-C-01A","PHC-017","RB-01893","P10-F01893","Runtime hooks","Regions","Data/Scripts/System/Obsolete/Obsolete.cs","Packet:L5986:PacketHandlers.Register(0xB3, 0, true, new OnPacketReceive(ChatAction));; guards=AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","ReviewedNoChange","PriorReviewNoChange","No source change; prior POST-BATCH-A packet-handler review found existing guards acceptable for this runtime hook row: No source change; broad legacy chat behavior remains deferred to chat-system review after P0 packet pass.","Obsolete.cs:6101-6153","Packet/global hook registration already reviewed in POST-BATCH-A with trust-boundary, state, packet read, access, null/deleted, range/map, and override-conflict fields.","No serializer layout touched.","Review-only reconciliation against post-batch-a-packet-handler-review.csv; no source files changed.","Mapped to PHA-017 in POST-BATCH-A."
"POST-BATCH-C-01A","PHC-018","RB-05228","P10-F05228","PlayerMobile coupling","Custom:Skill Stone","","Custom:Skill Stone->World Save Loader; SerializationConflict; Data/Scripts/Custom/Skill Stone/SkillStone.cs:Server.Items.SkillStone:Switch:TypeMismatch:#3:Write=PlayerMobile/Read=Mobile","SafeNoChange","ExtractorTypeNoise","No source change; SkillStone writes a PlayerMobile reference through the Mobile writer overload and reads it back with reader.ReadMobile() cast to PlayerMobile, preserving the saved object-reference format.","Data/Scripts/Custom/Skill Stone/SkillStone.cs:168-199; serialization-register.csv Server.Items.SkillStone Writes/Reads","SkillStone assignment depends on PlayerMobile identity but does not mutate PlayerMobile serialization or global hooks.","Version 0 base-first serializer writes skill points, max level, then assigned player reference; reader consumes the same two ints and Mobile reference.","Manual source/register review only; no source files changed, so Server.csproj build and compile-only smoke were not required for this artifact batch.","Keep namespace/type stable; future SkillStone changes should preserve assigned-player reference semantics."
"POST-BATCH-C-01A","PHC-019","RB-05352","P10-F05352","PlayerMobile coupling","Mobiles:Base","","Mobiles:Base->World Save Loader; SerializationConflict; Data/Scripts/Mobiles/Base/PlayerMobile.cs:Server.Mobiles.PlayerMobile:SwitchGotoCase:CountMismatch:Writes=120;Reads=119","ReviewedNoChange","ExtractorCountNoise","No source change; source review found current PlayerMobile version 37 fall-through mirrors Serialize. The generated count mismatch is conservative noise around helper serializers, conditional collection loops, and versioned legacy branches, not a source-confirmed stream mismatch.","Data/Scripts/Mobiles/Base/PlayerMobile.cs:4539-4937; Data/Scripts/Mobiles/Base/PlayerMobile.cs:5004-5221; comment-target-register.csv P10-COM-2671","PlayerMobile remains a central runtime/save hub; do not edit field order without migration coverage.","Current version 37 read/write order is intentionally fall-through mirrored; helper payloads such as ChampionTitleInfo, QuestSerializer, BOBFilter, and collection entries are paired in source.","Manual source/register review only; no source files changed, so Server.csproj build and compile-only smoke were not required for this artifact batch.","Existing Phase 11 comment at PlayerMobile.cs:4544 documents this risk."
