"BatchId","ReviewRowId","BacklogId","SourceId","SerialId","Priority","HistoricalStatus","Category","System","Files","Class","OriginalEvidence","Risk","RecommendedFix","Decision","SourceEvidence","Action","Verification","ReviewedBatchId","ReviewedAt","Notes"
"POST-BATCH-I","PBI-001","RB-01596","P10-F01596","SERIAL-1535","P0","Ready","Save compatibility","ServerCore","Data/System/Source/Guild.cs","Server.Guilds.BaseGuild","Serialize:L70;Deserialize:L69; class=Server.Guilds.BaseGuild; category=BaseCallOrder","Save","Review base Serialize/Deserialize order before any save-affecting edit.","FalsePositive","Current source and prior POST-BATCH-B review: Data/System/Source/Guild.cs:69-70; serialization-register.csv: BaseCallStatus=MissingBaseSerialize; VersionHandling=NoVersionFound; FieldAlignment=AlignedByCountAndKnownTypes; MoveRenameRisk=UnknownUntilBuildTruthRepaired; Evidence=Serialize:L70;Deserialize:L69","No source change; BaseGuild only declares the abstract ISerializable contract methods. POST-BATCH-I action: reconciled the missing active-overlay row to this existing source-reviewed disposition; no source, project, runtime, XML, config, namespace, save-layout, or gameplay behavior change was made.","Manual source review recorded in this CSV; rerun New-SerializationRegister.ps1 before any source fix. POST-BATCH-I verified the residual P0 row is present in POST-BATCH-B source review evidence, source files still exist, and active-overlay reconciliation is required. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. Serialization register was not regenerated because no source serializer logic or classification output changed.","POST-BATCH-I-01A","2026-06-14T11:58:03.6355377-05:00","No concrete save order exists in this row. Prior reviewed batch: POST-BATCH-B-ServerCore-initial-triage. POST-BATCH-I only maps this residual BacklogId into the active overlay."
"POST-BATCH-I","PBI-002","RB-01601","P10-F01601","SERIAL-1540","P0","Ready","Save compatibility","ServerCore","Data/System/Source/Item.cs","Server.BounceInfo","Deserialize:L585; class=Server.BounceInfo; category=BaseCallOrder","Save","Review base Serialize/Deserialize order before any save-affecting edit.","FalsePositive","Current source and prior POST-BATCH-B review: Data/System/Source/Item.cs:585-609; Data/System/Source/Item.cs:612-633; serialization-register.csv: BaseCallStatus=MissingBaseDeserialize; VersionHandling=NoVersionFound; FieldAlignment=CountMismatch:Writes=0;Reads=5; MoveRenameRisk=UnknownUntilBuildTruthRepaired; Evidence=Deserialize:L585","No source change; BounceInfo is a static helper format with no base serializer. POST-BATCH-I action: reconciled the missing active-overlay row to this existing source-reviewed disposition; no source, project, runtime, XML, config, namespace, save-layout, or gameplay behavior change was made.","Manual source review recorded in this CSV; rerun New-SerializationRegister.ps1 before any source fix. POST-BATCH-I verified the residual P0 row is present in POST-BATCH-B source review evidence, source files still exist, and active-overlay reconciliation is required. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. Serialization register was not regenerated because no source serializer logic or classification output changed.","POST-BATCH-I-01A","2026-06-14T11:58:03.6355377-05:00","Bool sentinel and parent serial read/write order are paired. Prior reviewed batch: POST-BATCH-B-ServerCore-initial-triage. POST-BATCH-I only maps this residual BacklogId into the active overlay."
"POST-BATCH-I","PBI-003","RB-01603","P10-F01603","SERIAL-1542","P0","Ready","Save compatibility","ServerCore","Data/System/Source/Item.cs","Server.BounceInfo","Deserialize:L585; class=Server.BounceInfo; category=WriteReadAlignment","Save","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","SafeNoChange","Current source and prior POST-BATCH-B review: Data/System/Source/Item.cs:585-609; Data/System/Source/Item.cs:612-633; serialization-register.csv: BaseCallStatus=MissingBaseDeserialize; VersionHandling=NoVersionFound; FieldAlignment=CountMismatch:Writes=0;Reads=5; MoveRenameRisk=UnknownUntilBuildTruthRepaired; Evidence=Deserialize:L585","No source change; BounceInfo writer and reader consume the same sentinel/map/location/world/parent fields. POST-BATCH-I action: reconciled the missing active-overlay row to this existing source-reviewed disposition; no source, project, runtime, XML, config, namespace, save-layout, or gameplay behavior change was made.","Manual source review recorded in this CSV; rerun New-SerializationRegister.ps1 before any source fix. POST-BATCH-I verified the residual P0 row is present in POST-BATCH-B source review evidence, source files still exist, and active-overlay reconciliation is required. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. Serialization register was not regenerated because no source serializer logic or classification output changed.","POST-BATCH-I-01A","2026-06-14T11:58:03.6355377-05:00","Helper serializer pair is aligned by source review. Prior reviewed batch: POST-BATCH-B-ServerCore-initial-triage. POST-BATCH-I only maps this residual BacklogId into the active overlay."
"POST-BATCH-I","PBI-004","RB-01605","P10-F01605","SERIAL-1544","P0","Ready","Save compatibility","ServerCore","Data/System/Source/Item.cs","Server.Item","Serialize:L2296;Deserialize:L2663;SerialCtor:L6833;VersionWrite:L2298;VersionRead:L2665; class=Server.Item; category=BaseCallOrder","Save","Review base Serialize/Deserialize order before any save-affecting edit.","IntentionalLegacy","Current source and prior POST-BATCH-B review: Data/System/Source/Item.cs:2296-2308; Data/System/Source/Item.cs:2663-2684; serialization-register.csv: BaseCallStatus=MissingBaseSerialize; VersionHandling=SwitchGotoCase; FieldAlignment=CountMismatch:Writes=36;Reads=77; MoveRenameRisk=UnknownUntilBuildTruthRepaired; Evidence=Serialize:L2296;Deserialize:L2663;SerialCtor:L6833;VersionWrite:L2298;VersionRead:L2665","No source change in this batch; root Item save format changes require a separate migration and save-load plan. POST-BATCH-I action: reconciled the missing active-overlay row to this existing source-reviewed disposition; no source, project, runtime, XML, config, namespace, save-layout, or gameplay behavior change was made.","Manual source review recorded in this CSV; rerun New-SerializationRegister.ps1 before any source fix. POST-BATCH-I verified the residual P0 row is present in POST-BATCH-B source review evidence, source files still exist, and active-overlay reconciliation is required. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. Serialization register was not regenerated because no source serializer logic or classification output changed.","POST-BATCH-I-01A","2026-06-14T11:58:03.6355377-05:00","Root Item has no base serializer; version 11/10 fields match the reviewed read order. Prior reviewed batch: POST-BATCH-B-ServerCore-initial-triage. POST-BATCH-I only maps this residual BacklogId into the active overlay."
"POST-BATCH-I","PBI-005","RB-01606","P10-F01606","SERIAL-1545","P0","Ready","Save compatibility","ServerCore","Data/System/Source/Item.cs","Server.Item","Serialize:L2296;Deserialize:L2663;SerialCtor:L6833;VersionWrite:L2298;VersionRead:L2665; class=Server.Item; category=WriteReadAlignment","Save","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","IntentionalLegacy","Current source and prior POST-BATCH-B review: Data/System/Source/Item.cs:2296-2308; Data/System/Source/Item.cs:2663-2684; Data/System/Source/Item.cs:2463-2515; Data/System/Source/Item.cs:2813-2844; serialization-register.csv: BaseCallStatus=MissingBaseSerialize; VersionHandling=SwitchGotoCase; FieldAlignment=CountMismatch:Writes=36;Reads=77; MoveRenameRisk=UnknownUntilBuildTruthRepaired; Evidence=Serialize:L2296;Deserialize:L2663;SerialCtor:L6833;VersionWrite:L2298;VersionRead:L2665","No source change in this batch; compact SaveFlag-gated Item fields must not be reordered without migration approval. POST-BATCH-I action: reconciled the missing active-overlay row to this existing source-reviewed disposition; no source, project, runtime, XML, config, namespace, save-layout, or gameplay behavior change was made.","Manual source review recorded in this CSV; rerun New-SerializationRegister.ps1 before any source fix. POST-BATCH-I verified the residual P0 row is present in POST-BATCH-B source review evidence, source files still exist, and active-overlay reconciliation is required. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. Serialization register was not regenerated because no source serializer logic or classification output changed.","POST-BATCH-I-01A","2026-06-14T11:58:03.6355377-05:00","Marker mismatch is caused by conditional SaveFlag encoding and legacy version gates. Prior reviewed batch: POST-BATCH-B-ServerCore-initial-triage. POST-BATCH-I only maps this residual BacklogId into the active overlay."
"POST-BATCH-I","PBI-006","RB-01609","P10-F01609","SERIAL-1548","P0","Ready","Save compatibility","ServerCore","Data/System/Source/Items/Container.cs","Server.Items.Container","Serialize:L1395;Deserialize:L1420;SerialCtor:L1576;VersionWrite:L1399;VersionRead:L1424; class=Server.Items.Container; category=WriteReadAlignment","Save","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","SafeNoChange","Current source and prior POST-BATCH-B review: Data/System/Source/Items/Container.cs:1395-1418; Data/System/Source/Items/Container.cs:1420-1465; serialization-register.csv: BaseCallStatus=BaseCallsFirst; VersionHandling=SwitchGotoCase; FieldAlignment=CountMismatch:Writes=4;Reads=9; MoveRenameRisk=UnknownUntilBuildTruthRepaired; Evidence=Serialize:L1395;Deserialize:L1420;SerialCtor:L1576;VersionWrite:L1399;VersionRead:L1424","No source change; Container calls base first and has source-reviewed flag-gated read/write parity for current version 2. POST-BATCH-I action: reconciled the missing active-overlay row to this existing source-reviewed disposition; no source, project, runtime, XML, config, namespace, save-layout, or gameplay behavior change was made.","Manual source review recorded in this CSV; rerun New-SerializationRegister.ps1 before any source fix. POST-BATCH-I verified the residual P0 row is present in POST-BATCH-B source review evidence, source files still exist, and active-overlay reconciliation is required. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. Serialization register was not regenerated because no source serializer logic or classification output changed.","POST-BATCH-I-01A","2026-06-14T11:58:03.6355377-05:00","Conditional fields are guarded by the same SaveFlag byte. Prior reviewed batch: POST-BATCH-B-ServerCore-initial-triage. POST-BATCH-I only maps this residual BacklogId into the active overlay."
"POST-BATCH-I","PBI-007","RB-01615","P10-F01615","SERIAL-1554","P0","Ready","Save compatibility","ServerCore","Data/System/Source/Items/VirtualHair.cs","Server.BaseHairInfo","Serialize:L70;VersionWrite:L72; class=Server.BaseHairInfo; category=BaseCallOrder","Save","Review base Serialize/Deserialize order before any save-affecting edit.","FalsePositive","Current source and prior POST-BATCH-B review: Data/System/Source/Items/VirtualHair.cs:55-75; serialization-register.csv: BaseCallStatus=MissingBaseSerialize; VersionHandling=WriteVersionOnly; FieldAlignment=CountMismatch:Writes=2;Reads=0; MoveRenameRisk=UnknownUntilBuildTruthRepaired; Evidence=Serialize:L70;VersionWrite:L72","No source change; BaseHairInfo is a helper serializer, not an Item/Mobile override requiring a base call. POST-BATCH-I action: reconciled the missing active-overlay row to this existing source-reviewed disposition; no source, project, runtime, XML, config, namespace, save-layout, or gameplay behavior change was made.","Manual source review recorded in this CSV; rerun New-SerializationRegister.ps1 before any source fix. POST-BATCH-I verified the residual P0 row is present in POST-BATCH-B source review evidence, source files still exist, and active-overlay reconciliation is required. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. Serialization register was not regenerated because no source serializer logic or classification output changed.","POST-BATCH-I-01A","2026-06-14T11:58:03.6355377-05:00","GenericReader constructor and Serialize method are paired. Prior reviewed batch: POST-BATCH-B-ServerCore-initial-triage. POST-BATCH-I only maps this residual BacklogId into the active overlay."
"POST-BATCH-I","PBI-008","RB-01617","P10-F01617","SERIAL-1556","P0","Ready","Save compatibility","ServerCore","Data/System/Source/Items/VirtualHair.cs","Server.BaseHairInfo","Serialize:L70;VersionWrite:L72; class=Server.BaseHairInfo; category=WriteReadAlignment","Save","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","SafeNoChange","Current source and prior POST-BATCH-B review: Data/System/Source/Items/VirtualHair.cs:55-75; serialization-register.csv: BaseCallStatus=MissingBaseSerialize; VersionHandling=WriteVersionOnly; FieldAlignment=CountMismatch:Writes=2;Reads=0; MoveRenameRisk=UnknownUntilBuildTruthRepaired; Evidence=Serialize:L70;VersionWrite:L72","No source change; version, item id, and hue write/read order match. POST-BATCH-I action: reconciled the missing active-overlay row to this existing source-reviewed disposition; no source, project, runtime, XML, config, namespace, save-layout, or gameplay behavior change was made.","Manual source review recorded in this CSV; rerun New-SerializationRegister.ps1 before any source fix. POST-BATCH-I verified the residual P0 row is present in POST-BATCH-B source review evidence, source files still exist, and active-overlay reconciliation is required. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. Serialization register was not regenerated because no source serializer logic or classification output changed.","POST-BATCH-I-01A","2026-06-14T11:58:03.6355377-05:00","Helper serializer pair is aligned by source review. Prior reviewed batch: POST-BATCH-B-ServerCore-initial-triage. POST-BATCH-I only maps this residual BacklogId into the active overlay."
"POST-BATCH-I","PBI-009","RB-01623","P10-F01623","SERIAL-1562","P0","Ready","Save compatibility","ServerCore","Data/System/Source/Mobile.cs","Server.Mobile","Serialize:L6183;Deserialize:L5700;SerialCtor:L11574;VersionWrite:L6185;VersionRead:L5702; class=Server.Mobile; category=BaseCallOrder","Save","Review base Serialize/Deserialize order before any save-affecting edit.","IntentionalLegacy","Current source and prior POST-BATCH-B review: Data/System/Source/Mobile.cs:5700-5752; Data/System/Source/Mobile.cs:6183-6235; serialization-register.csv: BaseCallStatus=MissingBaseSerialize; VersionHandling=SwitchGotoCase; FieldAlignment=CountMismatch:Writes=98;Reads=104; MoveRenameRisk=UnknownUntilBuildTruthRepaired; Evidence=Serialize:L6183;Deserialize:L5700;SerialCtor:L11574;VersionWrite:L6185;VersionRead:L5702","No source change in this batch; root Mobile save format changes require a separate migration and save-load plan. POST-BATCH-I action: reconciled the missing active-overlay row to this existing source-reviewed disposition; no source, project, runtime, XML, config, namespace, save-layout, or gameplay behavior change was made.","Manual source review recorded in this CSV; rerun New-SerializationRegister.ps1 before any source fix. POST-BATCH-I verified the residual P0 row is present in POST-BATCH-B source review evidence, source files still exist, and active-overlay reconciliation is required. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. Serialization register was not regenerated because no source serializer logic or classification output changed.","POST-BATCH-I-01A","2026-06-14T11:58:03.6355377-05:00","Root Mobile has no base serializer; reviewed current version fields are read in reverse-version switch order. Prior reviewed batch: POST-BATCH-B-ServerCore-initial-triage. POST-BATCH-I only maps this residual BacklogId into the active overlay."
"POST-BATCH-I","PBI-010","RB-01624","P10-F01624","SERIAL-1563","P0","Ready","Save compatibility","ServerCore","Data/System/Source/Mobile.cs","Server.Mobile","Serialize:L6183;Deserialize:L5700;SerialCtor:L11574;VersionWrite:L6185;VersionRead:L5702; class=Server.Mobile; category=WriteReadAlignment","Save","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","IntentionalLegacy","Current source and prior POST-BATCH-B review: Data/System/Source/Mobile.cs:5700-5752; Data/System/Source/Mobile.cs:6183-6235; serialization-register.csv: BaseCallStatus=MissingBaseSerialize; VersionHandling=SwitchGotoCase; FieldAlignment=CountMismatch:Writes=98;Reads=104; MoveRenameRisk=UnknownUntilBuildTruthRepaired; Evidence=Serialize:L6183;Deserialize:L5700;SerialCtor:L11574;VersionWrite:L6185;VersionRead:L5702","No source change in this batch; compact root Mobile format remains a migration-gated surface. POST-BATCH-I action: reconciled the missing active-overlay row to this existing source-reviewed disposition; no source, project, runtime, XML, config, namespace, save-layout, or gameplay behavior change was made.","Manual source review recorded in this CSV; rerun New-SerializationRegister.ps1 before any source fix. POST-BATCH-I verified the residual P0 row is present in POST-BATCH-B source review evidence, source files still exist, and active-overlay reconciliation is required. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. Serialization register was not regenerated because no source serializer logic or classification output changed.","POST-BATCH-I-01A","2026-06-14T11:58:03.6355377-05:00","High-blast-radius core format; no layout edit approved. Prior reviewed batch: POST-BATCH-B-ServerCore-initial-triage. POST-BATCH-I only maps this residual BacklogId into the active overlay."
