"BatchId","ReviewRowId","BacklogId","SourceId","Priority","HistoricalStatus","Category","System","HistoricalFile","CurrentFile","Line","HookKind","Command","Access","Handler","GuardList","OriginalEvidence","CurrentSourceLine","MatchQuality","Decision","SourceEvidence","Action","Verification","ReviewedBatchId","ReviewedAt","Notes"
"POST-BATCH-K","PBK-0001","RB-01907","P10-F01907","P1","Ready","Runtime hooks","Government","Data/Scripts/Custom/Government System/Items/Stones/CityBankStone.cs","Data/Scripts/Custom/Government System/Items/Stones/CityBankStone.cs","28","Speech","","","","BoundsGuard;NullGuard;PacketReadGuard","Speech:L28:public override void OnSpeech(SpeechEventArgs e); guards=BoundsGuard;NullGuard;PacketReadGuard","public override void OnSpeech(SpeechEventArgs e)","RuntimeHookMapFileLine","QueuedSourceFollowUp","CurrentFile=Data/Scripts/Custom/Government System/Items/Stones/CityBankStone.cs; Line=28; SourceLine=public override void OnSpeech(SpeechEventArgs e); PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Speech; GuardList=BoundsGuard;NullGuard;PacketReadGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Speech;Marker=OnSpeech;Access=GlobalOrInternal;Risk=High;Guards=BoundsGuard;NullGuard;PacketReadGuard","No source change. Current evidence is real but not strong enough to claim a safe no-change or apply a mechanical fix; queue a focused source review.","Reviewed against current source path/line evidence, runtime-hook-map and dependency-graph evidence where applicable. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. No runtime source edit was made; future focused source repair must run targeted static checks, Server.csproj Debug/x86 build, and compile-only runtime verification.","POST-BATCH-K-01A","2026-06-14T12:29:33.8414388-05:00","HistoricalFile=Data/Scripts/Custom/Government System/Items/Stones/CityBankStone.cs; Risk=Runtime; POST-BATCH-K is audit/runtime-surface triage only. No command names, gump button IDs, PlayerMobile fields, region policy, XML/config, save layout, or gameplay behavior changed."
"POST-BATCH-K","PBK-0002","RB-01908","P10-F01908","P1","Ready","Runtime hooks","Government","Data/Scripts/Custom/Government System/Items/Stones/CityBankStone.cs","Data/Scripts/Custom/Government System/Items/Stones/CityBankStone.cs","170","Speech","","","","BoundsGuard;NullGuard;PacketReadGuard","Speech:L170:base.OnSpeech(e);; guards=BoundsGuard;NullGuard;PacketReadGuard","base.OnSpeech(e);","RuntimeHookMapFileLine","QueuedSourceFollowUp","CurrentFile=Data/Scripts/Custom/Government System/Items/Stones/CityBankStone.cs; Line=170; SourceLine=base.OnSpeech(e);; PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Speech; GuardList=BoundsGuard;NullGuard;PacketReadGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Speech;Marker=OnSpeech;Access=GlobalOrInternal;Risk=High;Guards=BoundsGuard;NullGuard;PacketReadGuard","No source change. Current evidence is real but not strong enough to claim a safe no-change or apply a mechanical fix; queue a focused source review.","Reviewed against current source path/line evidence, runtime-hook-map and dependency-graph evidence where applicable. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. No runtime source edit was made; future focused source repair must run targeted static checks, Server.csproj Debug/x86 build, and compile-only runtime verification.","POST-BATCH-K-01A","2026-06-14T12:29:33.8414388-05:00","HistoricalFile=Data/Scripts/Custom/Government System/Items/Stones/CityBankStone.cs; Risk=Runtime; POST-BATCH-K is audit/runtime-surface triage only. No command names, gump button IDs, PlayerMobile fields, region policy, XML/config, save layout, or gameplay behavior changed."
"POST-BATCH-K","PBK-0003","RB-01909","P10-F01909","P1","Ready","Runtime hooks","Government","Data/Scripts/Custom/Government System/Items/Stones/CityStableStone.cs","Data/Scripts/Custom/Government System/Items/Stones/CityStableStone.cs","403","Speech","","","","BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Speech:L403:public override void OnSpeech(SpeechEventArgs e); guards=BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","public override void OnSpeech(SpeechEventArgs e)","RuntimeHookMapFileLine","ReviewedNoChange","CurrentFile=Data/Scripts/Custom/Government System/Items/Stones/CityStableStone.cs; Line=403; SourceLine=public override void OnSpeech(SpeechEventArgs e); PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Speech; GuardList=BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Speech;Marker=OnSpeech;Access=GlobalOrInternal;Risk=High;Guards=BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","No source change. Current source-derived guard/access evidence does not prove a narrow mechanical defect; preserve existing runtime behavior.","Reviewed against current source path/line evidence, runtime-hook-map and dependency-graph evidence where applicable. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. No runtime source edit was made; build/runtime proof was not required for this audit-only disposition.","POST-BATCH-K-01A","2026-06-14T12:29:33.8414388-05:00","HistoricalFile=Data/Scripts/Custom/Government System/Items/Stones/CityStableStone.cs; Risk=Runtime; POST-BATCH-K is audit/runtime-surface triage only. No command names, gump button IDs, PlayerMobile fields, region policy, XML/config, save layout, or gameplay behavior changed."
"POST-BATCH-K","PBK-0004","RB-01910","P10-F01910","P1","Ready","Runtime hooks","Government","Data/Scripts/Custom/Government System/Items/Stones/CityStableStone.cs","Data/Scripts/Custom/Government System/Items/Stones/CityStableStone.cs","421","Speech","","","","BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Speech:L421:base.OnSpeech(e);; guards=BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","base.OnSpeech(e);","RuntimeHookMapFileLine","ReviewedNoChange","CurrentFile=Data/Scripts/Custom/Government System/Items/Stones/CityStableStone.cs; Line=421; SourceLine=base.OnSpeech(e);; PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Speech; GuardList=BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Speech;Marker=OnSpeech;Access=GlobalOrInternal;Risk=High;Guards=BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","No source change. Current source-derived guard/access evidence does not prove a narrow mechanical defect; preserve existing runtime behavior.","Reviewed against current source path/line evidence, runtime-hook-map and dependency-graph evidence where applicable. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. No runtime source edit was made; build/runtime proof was not required for this audit-only disposition.","POST-BATCH-K-01A","2026-06-14T12:29:33.8414388-05:00","HistoricalFile=Data/Scripts/Custom/Government System/Items/Stones/CityStableStone.cs; Risk=Runtime; POST-BATCH-K is audit/runtime-surface triage only. No command names, gump button IDs, PlayerMobile fields, region policy, XML/config, save layout, or gameplay behavior changed."
"POST-BATCH-K","PBK-0005","RB-01911","P10-F01911","P1","Ready","Runtime hooks","Government","Data/Scripts/Custom/Government System/NPC Vendor Mall 2.1/LandLord.cs","Data/Scripts/Custom/Government System/NPC Vendor Mall 2.1/LandLord.cs","76","Speech","","","","AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Speech:L76:public override void OnSpeech(SpeechEventArgs e); guards=AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","public override void OnSpeech(SpeechEventArgs e)","RuntimeHookMapFileLine","ReviewedNoChange","CurrentFile=Data/Scripts/Custom/Government System/NPC Vendor Mall 2.1/LandLord.cs; Line=76; SourceLine=public override void OnSpeech(SpeechEventArgs e); PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Speech; GuardList=AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Speech;Marker=OnSpeech;Access=GlobalOrInternal;Risk=High;Guards=AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","No source change. Current source-derived guard/access evidence does not prove a narrow mechanical defect; preserve existing runtime behavior.","Reviewed against current source path/line evidence, runtime-hook-map and dependency-graph evidence where applicable. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. No runtime source edit was made; build/runtime proof was not required for this audit-only disposition.","POST-BATCH-K-01A","2026-06-14T12:29:33.8414388-05:00","HistoricalFile=Data/Scripts/Custom/Government System/NPC Vendor Mall 2.1/LandLord.cs; Risk=Runtime; POST-BATCH-K is audit/runtime-surface triage only. No command names, gump button IDs, PlayerMobile fields, region policy, XML/config, save layout, or gameplay behavior changed."
"POST-BATCH-K","PBK-0006","RB-01912","P10-F01912","P1","Ready","Runtime hooks","Government","Data/Scripts/Custom/Government System/NPC Vendor Mall 2.1/LandLord.cs","Data/Scripts/Custom/Government System/NPC Vendor Mall 2.1/LandLord.cs","90","Speech","","","","AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Speech:L90:base.OnSpeech(e);; guards=AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","base.OnSpeech(e);","RuntimeHookMapFileLine","ReviewedNoChange","CurrentFile=Data/Scripts/Custom/Government System/NPC Vendor Mall 2.1/LandLord.cs; Line=90; SourceLine=base.OnSpeech(e);; PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Speech; GuardList=AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Speech;Marker=OnSpeech;Access=GlobalOrInternal;Risk=High;Guards=AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","No source change. Current source-derived guard/access evidence does not prove a narrow mechanical defect; preserve existing runtime behavior.","Reviewed against current source path/line evidence, runtime-hook-map and dependency-graph evidence where applicable. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. No runtime source edit was made; build/runtime proof was not required for this audit-only disposition.","POST-BATCH-K-01A","2026-06-14T12:29:33.8414388-05:00","HistoricalFile=Data/Scripts/Custom/Government System/NPC Vendor Mall 2.1/LandLord.cs; Risk=Runtime; POST-BATCH-K is audit/runtime-surface triage only. No command names, gump button IDs, PlayerMobile fields, region policy, XML/config, save layout, or gameplay behavior changed."
"POST-BATCH-K","PBK-0007","RB-01913","P10-F01913","P1","Ready","Runtime hooks","Government","Data/Scripts/Custom/Government System/Regions/PlayerCityRegion.cs","Data/Scripts/Custom/Government System/Regions/PlayerCityRegion.cs","236","Speech","","","","AccessGuard;BoundsGuard;MapGuard;NullGuard;StateGuard","Speech:L236:public override void OnSpeech(SpeechEventArgs e); guards=AccessGuard;BoundsGuard;MapGuard;NullGuard;StateGuard","public override void OnSpeech(SpeechEventArgs e)","RuntimeHookMapFileLine","ReviewedNoChange","CurrentFile=Data/Scripts/Custom/Government System/Regions/PlayerCityRegion.cs; Line=236; SourceLine=public override void OnSpeech(SpeechEventArgs e); PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Speech; GuardList=AccessGuard;BoundsGuard;MapGuard;NullGuard;StateGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Speech;Marker=OnSpeech;Access=GlobalOrInternal;Risk=High;Guards=AccessGuard;BoundsGuard;MapGuard;NullGuard;StateGuard","No source change. Current source-derived guard/access evidence does not prove a narrow mechanical defect; preserve existing runtime behavior.","Reviewed against current source path/line evidence, runtime-hook-map and dependency-graph evidence where applicable. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. No runtime source edit was made; build/runtime proof was not required for this audit-only disposition.","POST-BATCH-K-01A","2026-06-14T12:29:33.8414388-05:00","HistoricalFile=Data/Scripts/Custom/Government System/Regions/PlayerCityRegion.cs; Risk=Runtime; POST-BATCH-K is audit/runtime-surface triage only. No command names, gump button IDs, PlayerMobile fields, region policy, XML/config, save layout, or gameplay behavior changed."
"POST-BATCH-K","PBK-0008","RB-01914","P10-F01914","P1","Ready","Runtime hooks","Government","Data/Scripts/Custom/Government System/Regions/PlayerCityRegion.cs","Data/Scripts/Custom/Government System/Regions/PlayerCityRegion.cs","267","Speech","","","","AccessGuard;BoundsGuard;MapGuard;NullGuard;StateGuard","Speech:L267:base.OnSpeech(e);; guards=AccessGuard;BoundsGuard;MapGuard;NullGuard;StateGuard","base.OnSpeech(e);","RuntimeHookMapFileLine","ReviewedNoChange","CurrentFile=Data/Scripts/Custom/Government System/Regions/PlayerCityRegion.cs; Line=267; SourceLine=base.OnSpeech(e);; PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Speech; GuardList=AccessGuard;BoundsGuard;MapGuard;NullGuard;StateGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Speech;Marker=OnSpeech;Access=GlobalOrInternal;Risk=High;Guards=AccessGuard;BoundsGuard;MapGuard;NullGuard;StateGuard","No source change. Current source-derived guard/access evidence does not prove a narrow mechanical defect; preserve existing runtime behavior.","Reviewed against current source path/line evidence, runtime-hook-map and dependency-graph evidence where applicable. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. No runtime source edit was made; build/runtime proof was not required for this audit-only disposition.","POST-BATCH-K-01A","2026-06-14T12:29:33.8414388-05:00","HistoricalFile=Data/Scripts/Custom/Government System/Regions/PlayerCityRegion.cs; Risk=Runtime; POST-BATCH-K is audit/runtime-surface triage only. No command names, gump button IDs, PlayerMobile fields, region policy, XML/config, save layout, or gameplay behavior changed."
"POST-BATCH-K","PBK-0009","RB-01915","P10-F01915","P1","Ready","Runtime hooks","Government","Data/Scripts/Custom/Government System/Vendor/CityPlayerVendor.cs","Data/Scripts/Custom/Government System/Vendor/CityPlayerVendor.cs","333","Speech","","","","AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Speech:L333:public override void OnSpeech(SpeechEventArgs e); guards=AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","public override void OnSpeech(SpeechEventArgs e)","RuntimeHookMapFileLine","ReviewedNoChange","CurrentFile=Data/Scripts/Custom/Government System/Vendor/CityPlayerVendor.cs; Line=333; SourceLine=public override void OnSpeech(SpeechEventArgs e); PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Speech; GuardList=AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Speech;Marker=OnSpeech;Access=GlobalOrInternal;Risk=High;Guards=AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","No source change. Current source-derived guard/access evidence does not prove a narrow mechanical defect; preserve existing runtime behavior.","Reviewed against current source path/line evidence, runtime-hook-map and dependency-graph evidence where applicable. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. No runtime source edit was made; build/runtime proof was not required for this audit-only disposition.","POST-BATCH-K-01A","2026-06-14T12:29:33.8414388-05:00","HistoricalFile=Data/Scripts/Custom/Government System/Vendor/CityPlayerVendor.cs; Risk=Runtime; POST-BATCH-K is audit/runtime-surface triage only. No command names, gump button IDs, PlayerMobile fields, region policy, XML/config, save layout, or gameplay behavior changed."
"POST-BATCH-K","PBK-0010","RB-01916","P10-F01916","P1","Ready","Runtime hooks","Government","Data/Scripts/Custom/Government System/Vendor/CityPlayerVendor.cs","Data/Scripts/Custom/Government System/Vendor/CityPlayerVendor.cs","350","Speech","","","","AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Speech:L350:base.OnSpeech(e);; guards=AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","base.OnSpeech(e);","RuntimeHookMapFileLine","ReviewedNoChange","CurrentFile=Data/Scripts/Custom/Government System/Vendor/CityPlayerVendor.cs; Line=350; SourceLine=base.OnSpeech(e);; PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Speech; GuardList=AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Speech;Marker=OnSpeech;Access=GlobalOrInternal;Risk=High;Guards=AccessGuard;BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","No source change. Current source-derived guard/access evidence does not prove a narrow mechanical defect; preserve existing runtime behavior.","Reviewed against current source path/line evidence, runtime-hook-map and dependency-graph evidence where applicable. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. No runtime source edit was made; build/runtime proof was not required for this audit-only disposition.","POST-BATCH-K-01A","2026-06-14T12:29:33.8414388-05:00","HistoricalFile=Data/Scripts/Custom/Government System/Vendor/CityPlayerVendor.cs; Risk=Runtime; POST-BATCH-K is audit/runtime-surface triage only. No command names, gump button IDs, PlayerMobile fields, region policy, XML/config, save layout, or gameplay behavior changed."
