"BatchId","ReviewRowId","BacklogId","SourceId","Priority","HistoricalStatus","Category","System","HistoricalFile","CurrentFile","Line","CurrentSourceLine","PostBatchLReviewRowId","PostBatchLCommandParseQuality","PostBatchLDecision","ParsedCommand","ParsedAccess","ParsedHandler","ReviewClass","ResolvedCommand","ResolvedAccess","ResolvedHandler","Decision","SourceEvidence","Action","Verification","ReviewedBatchId","ReviewedAt","Notes"
"POST-BATCH-M","PBM-0001","RB-04209","P10-F04209","P2","Ready","Command access","Clone Offline Player Characters","Data/Scripts/Custom/NPC Control/CloneCommands.cs","Data/Scripts/Custom/NPC Control/CloneCommands.cs","21","CommandSystem.Register(""Clone"", accessLevel, new CommandEventHandler(Clone_OnCommand));","PBL-0010","ParsedCommandAccessHandler","QueuedSourceFollowUp","Clone","accessLevel","Clone_OnCommand","AccessVariableResolved","Clone","Counselor via static accessLevel default","Clone_OnCommand","ReviewedNoChange","SourceReviewClass=AccessVariableResolved; CurrentFile=Data/Scripts/Custom/NPC Control/CloneCommands.cs; QueuedLine=21; QueuedSourceLine=CommandSystem.Register(""Clone"", accessLevel, new CommandEventHandler(Clone_OnCommand));; NearestRegistrationLine=21; NearestRegistration=CommandSystem.Register(""Clone"", accessLevel, new CommandEventHandler(Clone_OnCommand));; ResolvedCommand=Clone; ResolvedAccess=Counselor via static accessLevel default; ResolvedHandler=Clone_OnCommand","No source change. Current command access was resolved against source and no unsafe exposure was confirmed.","Reviewed POST-BATCH-L queued row against current source in POST-BATCH-M. No runtime source/project/XML/config files changed. Source build and runtime compile were not run because this is audit-only. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors","POST-BATCH-M-01A","2026-06-14T13:15:22.7769319-05:00","POST-BATCH-M source review resolved the POST-BATCH-L command-access follow-up without changing runtime behavior."
"POST-BATCH-M","PBM-0002","RB-04210","P10-F04210","P2","Ready","Command access","Clone Offline Player Characters","Data/Scripts/Custom/NPC Control/CloneCommands.cs","Data/Scripts/Custom/NPC Control/CloneCommands.cs","22","CommandSystem.Register(","PBL-0011","ParsedCommandAccessHandler","QueuedSourceFollowUp","Control","accessLevel","Control_OnCommand","AccessVariableResolved","Control","Counselor via static accessLevel default","Control_OnCommand","ReviewedNoChange","SourceReviewClass=AccessVariableResolved; CurrentFile=Data/Scripts/Custom/NPC Control/CloneCommands.cs; QueuedLine=22; QueuedSourceLine=CommandSystem.Register(; NearestRegistrationLine=21; NearestRegistration=CommandSystem.Register(""Clone"", accessLevel, new CommandEventHandler(Clone_OnCommand));; ResolvedCommand=Control; ResolvedAccess=Counselor via static accessLevel default; ResolvedHandler=Control_OnCommand","No source change. Current command access was resolved against source and no unsafe exposure was confirmed.","Reviewed POST-BATCH-L queued row against current source in POST-BATCH-M. No runtime source/project/XML/config files changed. Source build and runtime compile were not run because this is audit-only. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors","POST-BATCH-M-01A","2026-06-14T13:15:22.7769319-05:00","POST-BATCH-M source review resolved the POST-BATCH-L command-access follow-up without changing runtime behavior."
"POST-BATCH-M","PBM-0003","RB-04211","P10-F04211","P2","Ready","Command access","Clone Offline Player Characters","Data/Scripts/Custom/NPC Control/StaffCommands/CloneMe.cs","Data/Scripts/Custom/NPC Control/StaffCommands/CloneMe.cs","17","CommandSystem.Register(","PBL-0012","ParsedCommandAccessHandler","QueuedSourceFollowUp","CloneMe","accessLevel","CloneMe_OnCommand","AccessVariableResolved","CloneMe","Counselor via static accessLevel default","CloneMe_OnCommand","ReviewedNoChange","SourceReviewClass=AccessVariableResolved; CurrentFile=Data/Scripts/Custom/NPC Control/StaffCommands/CloneMe.cs; QueuedLine=17; QueuedSourceLine=CommandSystem.Register(; NearestRegistrationLine=17; NearestRegistration=CommandSystem.Register( ""CloneMe"", accessLevel, new CommandEventHandler(CloneMe_OnCommand) );; ResolvedCommand=CloneMe; ResolvedAccess=Counselor via static accessLevel default; ResolvedHandler=CloneMe_OnCommand","No source change. Current command access was resolved against source and no unsafe exposure was confirmed.","Reviewed POST-BATCH-L queued row against current source in POST-BATCH-M. No runtime source/project/XML/config files changed. Source build and runtime compile were not run because this is audit-only. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors","POST-BATCH-M-01A","2026-06-14T13:15:22.7769319-05:00","POST-BATCH-M source review resolved the POST-BATCH-L command-access follow-up without changing runtime behavior."
"POST-BATCH-M","PBM-0004","RB-04212","P10-F04212","P2","Ready","Command access","Custom:NPC Control","Data/Scripts/Custom/NPC Control/StaffCommands/GmMe.cs","Data/Scripts/Custom/NPC Control/StaffCommands/GmMe.cs","14","CommandSystem.Register(""GmMe"", accessLevel, new CommandEventHandler(GmMe_OnCommand));","PBL-0019","ParsedCommandAccessHandler","QueuedSourceFollowUp","GmMe","accessLevel","GmMe_OnCommand","AccessVariableResolved","GmMe","Counselor via static accessLevel default","GmMe_OnCommand","ReviewedNoChange","SourceReviewClass=AccessVariableResolved; CurrentFile=Data/Scripts/Custom/NPC Control/StaffCommands/GmMe.cs; QueuedLine=14; QueuedSourceLine=CommandSystem.Register(""GmMe"", accessLevel, new CommandEventHandler(GmMe_OnCommand));; NearestRegistrationLine=14; NearestRegistration=CommandSystem.Register(""GmMe"", accessLevel, new CommandEventHandler(GmMe_OnCommand));; ResolvedCommand=GmMe; ResolvedAccess=Counselor via static accessLevel default; ResolvedHandler=GmMe_OnCommand","No source change. Current command access was resolved against source and no unsafe exposure was confirmed.","Reviewed POST-BATCH-L queued row against current source in POST-BATCH-M. No runtime source/project/XML/config files changed. Source build and runtime compile were not run because this is audit-only. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors","POST-BATCH-M-01A","2026-06-14T13:15:22.7769319-05:00","POST-BATCH-M source review resolved the POST-BATCH-L command-access follow-up without changing runtime behavior."
"POST-BATCH-M","PBM-0005","RB-04213","P10-F04213","P2","Ready","Command access","Custom:NPC Control","Data/Scripts/Custom/NPC Control/StaffCommands/HearAll.cs","Data/Scripts/Custom/NPC Control/StaffCommands/HearAll.cs","15","CommandSystem.Register(","PBL-0020","ParsedCommandAccessHandler","QueuedSourceFollowUp","HearAll","accessLevel","HearAll_OnCommand","AccessVariableResolved","HearAll","Counselor via static accessLevel default","HearAll_OnCommand","ReviewedNoChange","SourceReviewClass=AccessVariableResolved; CurrentFile=Data/Scripts/Custom/NPC Control/StaffCommands/HearAll.cs; QueuedLine=15; QueuedSourceLine=CommandSystem.Register(; NearestRegistrationLine=15; NearestRegistration=CommandSystem.Register( ""HearAll"", accessLevel, new CommandEventHandler(HearAll_OnCommand) );; ResolvedCommand=HearAll; ResolvedAccess=Counselor via static accessLevel default; ResolvedHandler=HearAll_OnCommand","No source change. Current command access was resolved against source and no unsafe exposure was confirmed.","Reviewed POST-BATCH-L queued row against current source in POST-BATCH-M. No runtime source/project/XML/config files changed. Source build and runtime compile were not run because this is audit-only. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors","POST-BATCH-M-01A","2026-06-14T13:15:22.7769319-05:00","POST-BATCH-M source review resolved the POST-BATCH-L command-access follow-up without changing runtime behavior."
"POST-BATCH-M","PBM-0006","RB-04214","P10-F04214","P2","Ready","Command access","Custom:NPC Control","Data/Scripts/Custom/NPC Control/StaffCommands/Refresh.cs","Data/Scripts/Custom/NPC Control/StaffCommands/Refresh.cs","14","CommandSystem.Register(","PBL-0021","ParsedCommandAccessHandler","QueuedSourceFollowUp","Refresh","accessLevel","Refresh_OnCommand","AccessVariableResolved","Refresh","Counselor via static accessLevel default","Refresh_OnCommand","ReviewedNoChange","SourceReviewClass=AccessVariableResolved; CurrentFile=Data/Scripts/Custom/NPC Control/StaffCommands/Refresh.cs; QueuedLine=14; QueuedSourceLine=CommandSystem.Register(; NearestRegistrationLine=14; NearestRegistration=CommandSystem.Register( ""Refresh"", accessLevel, new CommandEventHandler(Refresh_OnCommand) );; ResolvedCommand=Refresh; ResolvedAccess=Counselor via static accessLevel default; ResolvedHandler=Refresh_OnCommand","No source change. Current command access was resolved against source and no unsafe exposure was confirmed.","Reviewed POST-BATCH-L queued row against current source in POST-BATCH-M. No runtime source/project/XML/config files changed. Source build and runtime compile were not run because this is audit-only. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors","POST-BATCH-M-01A","2026-06-14T13:15:22.7769319-05:00","POST-BATCH-M source review resolved the POST-BATCH-L command-access follow-up without changing runtime behavior."
"POST-BATCH-M","PBM-0007","RB-04215","P10-F04215","P2","Ready","Command access","Custom:NPC Control","Data/Scripts/Custom/NPC Control/StaffCommands/SayThis.cs","Data/Scripts/Custom/NPC Control/StaffCommands/SayThis.cs","16","CommandSystem.Register(","PBL-0022","ParsedCommandAccessHandler","QueuedSourceFollowUp","SayThis","accessLevel","SayThis_OnCommand","AccessVariableResolved","SayThis","Counselor via static accessLevel default","SayThis_OnCommand","ReviewedNoChange","SourceReviewClass=AccessVariableResolved; CurrentFile=Data/Scripts/Custom/NPC Control/StaffCommands/SayThis.cs; QueuedLine=16; QueuedSourceLine=CommandSystem.Register(; NearestRegistrationLine=16; NearestRegistration=CommandSystem.Register( ""SayThis"", accessLevel, new CommandEventHandler(SayThis_OnCommand) );; ResolvedCommand=SayThis; ResolvedAccess=Counselor via static accessLevel default; ResolvedHandler=SayThis_OnCommand","No source change. Current command access was resolved against source and no unsafe exposure was confirmed.","Reviewed POST-BATCH-L queued row against current source in POST-BATCH-M. No runtime source/project/XML/config files changed. Source build and runtime compile were not run because this is audit-only. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors","POST-BATCH-M-01A","2026-06-14T13:15:22.7769319-05:00","POST-BATCH-M source review resolved the POST-BATCH-L command-access follow-up without changing runtime behavior."
"POST-BATCH-M","PBM-0008","RB-04340","P10-F04340","P2","Ready","Command access","Housing","Data/Scripts/Items/Houses/Monopoly/RUOVersion.cs","Data/Scripts/Items/Houses/Monopoly/RUOVersion.cs","29","Server.Commands.CommandSystem.Register(com, acc, new CommandEventHandler(OnCommand));","PBL-0045","ParsedCommandAccessHandler","QueuedSourceFollowUp","com","acc","OnCommand","CompatibilityWrapperResolved","com","Caller supplied; reviewed townhouse callsites pass Counselor","OnCommand","ReviewedNoChange","SourceReviewClass=CompatibilityWrapperResolved; CurrentFile=Data/Scripts/Items/Houses/Monopoly/RUOVersion.cs; QueuedLine=29; QueuedSourceLine=Server.Commands.CommandSystem.Register(com, acc, new CommandEventHandler(OnCommand));; NearestRegistrationLine=29; NearestRegistration=Server.Commands.CommandSystem.Register(com, acc, new CommandEventHandler(OnCommand));; ResolvedCommand=com; ResolvedAccess=Caller supplied; reviewed townhouse callsites pass Counselor; ResolvedHandler=OnCommand","No source change. Current command access was resolved against source and no unsafe exposure was confirmed.","Reviewed POST-BATCH-L queued row against current source in POST-BATCH-M. No runtime source/project/XML/config files changed. Source build and runtime compile were not run because this is audit-only. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors","POST-BATCH-M-01A","2026-06-14T13:15:22.7769319-05:00","POST-BATCH-M source review resolved the POST-BATCH-L command-access follow-up without changing runtime behavior."
"POST-BATCH-M","PBM-0009","RB-04334","P10-F04334","P2","Ready","Command access","Items:Doors","Data/Scripts/Items/Doors/BaseDoor.cs","Data/Scripts/Items/Doors/BaseDoor.cs","110","new Point3D(-1, 0, 0),","PBL-0051","BlockOnly","QueuedSourceFollowUp","","","","ParserLineOffsetFalsePositive","Link; ChainLink","GameMaster","Link_OnCommand; ChainLink_OnCommand","FalsePositive","SourceReviewClass=ParserLineOffsetFalsePositive; CurrentFile=Data/Scripts/Items/Doors/BaseDoor.cs; QueuedLine=110; QueuedSourceLine=new Point3D(-1, 0, 0),; NearestRegistrationLine=128; NearestRegistration=CommandSystem.Register( ""Link"", AccessLevel.GameMaster, new CommandEventHandler(Link_OnCommand) );; ResolvedCommand=Link; ChainLink; ResolvedAccess=GameMaster; ResolvedHandler=Link_OnCommand; ChainLink_OnCommand; FalsePositiveEvidence=queued lines 110/115 are Point3D offset data; actual commands at lines 128-136 are GameMaster-only.","No source change. POST-BATCH-L line evidence pointed into the door offset array, not a command registration; the actual nearby commands are GameMaster-only.","Reviewed POST-BATCH-L queued row against current source in POST-BATCH-M. No runtime source/project/XML/config files changed. Source build and runtime compile were not run because this is audit-only. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors","POST-BATCH-M-01A","2026-06-14T13:15:22.7769319-05:00","Parser line offset only. BaseDoor.Initialize registers Link and ChainLink at AccessLevel.GameMaster."
"POST-BATCH-M","PBM-0010","RB-04335","P10-F04335","P2","Ready","Command access","Items:Doors","Data/Scripts/Items/Doors/BaseDoor.cs","Data/Scripts/Items/Doors/BaseDoor.cs","115","new Point3D(0, -1, 0),","PBL-0052","BlockOnly","QueuedSourceFollowUp","","","","ParserLineOffsetFalsePositive","Link; ChainLink","GameMaster","Link_OnCommand; ChainLink_OnCommand","FalsePositive","SourceReviewClass=ParserLineOffsetFalsePositive; CurrentFile=Data/Scripts/Items/Doors/BaseDoor.cs; QueuedLine=115; QueuedSourceLine=new Point3D(0, -1, 0),; NearestRegistrationLine=128; NearestRegistration=CommandSystem.Register( ""Link"", AccessLevel.GameMaster, new CommandEventHandler(Link_OnCommand) );; ResolvedCommand=Link; ChainLink; ResolvedAccess=GameMaster; ResolvedHandler=Link_OnCommand; ChainLink_OnCommand; FalsePositiveEvidence=queued lines 110/115 are Point3D offset data; actual commands at lines 128-136 are GameMaster-only.","No source change. POST-BATCH-L line evidence pointed into the door offset array, not a command registration; the actual nearby commands are GameMaster-only.","Reviewed POST-BATCH-L queued row against current source in POST-BATCH-M. No runtime source/project/XML/config files changed. Source build and runtime compile were not run because this is audit-only. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors","POST-BATCH-M-01A","2026-06-14T13:15:22.7769319-05:00","Parser line offset only. BaseDoor.Initialize registers Link and ChainLink at AccessLevel.GameMaster."
