"BatchId","ReviewRowId","BacklogId","ReadinessRowId","SourceId","PreviousPostAuditBatch","PreviousReviewRowId","Category","System","Files","FileProofStatus","PathResolution","Marker","Line","SourceLine","GuardList","Decision","ReviewClass","Action","Verification","SourceEvidence","ReviewedAt","Notes"
"POST-BATCH-P","PBP-0001","RB-01907","PBN-0797","P10-F01907","POST-BATCH-K","PBK-0001","Runtime hooks","Government","Data/Scripts/Custom/Government System/Items/Stones/CityBankStone.cs","CurrentPathConfirmed","OriginalPathCurrent","OnSpeech","28","public override void OnSpeech(SpeechEventArgs e)","BoundsGuard","Fixed","SpeechHookGuardFixed","Added scoped runtime-hook guard(s) for null/deleted/state-sensitive callback input before preserving the existing side effect.","Passed: review CSV rows=103; active overlay POST-BATCH-P rows=103; unreviewed POST-BATCH-N-RUNTIME-HOOK-SOURCE-BATCH rows=0; targeted runtime-hook/static scans covered edited speech, movement, region, command/send-gump, target, spell, timer/status, and framework no-change paths; git diff --check passed with expected LF-to-CRLF warnings only; initial msbuild lookup found msbuild absent from PATH and sandboxed Visual Studio MSBuild hit user-profile SDK access denial, final escalated Visual Studio MSBuild Data/System/Source/Server.csproj Debug|x86 passed with 0 warnings and 0 errors; first compile-only run exposed KeywordDoor InternalTimer constructor mismatch and final .\ConficturaServer.exe -compileonly -nocache passed with compile-only verification completed successfully.","POST-BATCH-N lane=POST-BATCH-N-RUNTIME-HOOK-SOURCE-BATCH; FileProofStatus=CurrentPathConfirmed; CurrentFile=Data/Scripts/Custom/Government System/Items/Stones/CityBankStone.cs; Line=28; SourceLine=public override void OnSpeech(SpeechEventArgs e); PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Speech; GuardList=BoundsGuard;NullGuard;PacketReadGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Speech;Marker=OnSpeech;Access=GlobalOrInternal;Risk=High;Guards=BoundsGuard;NullGuard;PacketReadGuard; POST-BATCH-P direct source review=SpeechHookGuardFixed","2026-06-14T15:26:41.0929879-05:00","Public APIs, command names, namespaces, type names, file locations, project files, XML/config, serialization layout, and player/staff workflow semantics were preserved."
"POST-BATCH-P","PBP-0002","RB-01908","PBN-0798","P10-F01908","POST-BATCH-K","PBK-0002","Runtime hooks","Government","Data/Scripts/Custom/Government System/Items/Stones/CityBankStone.cs","CurrentPathConfirmed","OriginalPathCurrent","OnSpeech","170","base.OnSpeech(e)","BoundsGuard","Fixed","SpeechHookGuardFixed","Added scoped runtime-hook guard(s) for null/deleted/state-sensitive callback input before preserving the existing side effect.","Passed: review CSV rows=103; active overlay POST-BATCH-P rows=103; unreviewed POST-BATCH-N-RUNTIME-HOOK-SOURCE-BATCH rows=0; targeted runtime-hook/static scans covered edited speech, movement, region, command/send-gump, target, spell, timer/status, and framework no-change paths; git diff --check passed with expected LF-to-CRLF warnings only; initial msbuild lookup found msbuild absent from PATH and sandboxed Visual Studio MSBuild hit user-profile SDK access denial, final escalated Visual Studio MSBuild Data/System/Source/Server.csproj Debug|x86 passed with 0 warnings and 0 errors; first compile-only run exposed KeywordDoor InternalTimer constructor mismatch and final .\ConficturaServer.exe -compileonly -nocache passed with compile-only verification completed successfully.","POST-BATCH-N lane=POST-BATCH-N-RUNTIME-HOOK-SOURCE-BATCH; FileProofStatus=CurrentPathConfirmed; CurrentFile=Data/Scripts/Custom/Government System/Items/Stones/CityBankStone.cs; Line=170; SourceLine=base.OnSpeech(e);; PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Speech; GuardList=BoundsGuard;NullGuard;PacketReadGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Speech;Marker=OnSpeech;Access=GlobalOrInternal;Risk=High;Guards=BoundsGuard;NullGuard;PacketReadGuard; POST-BATCH-P direct source review=SpeechHookGuardFixed","2026-06-14T15:26:41.0929879-05:00","Public APIs, command names, namespaces, type names, file locations, project files, XML/config, serialization layout, and player/staff workflow semantics were preserved."
"POST-BATCH-P","PBP-0003","RB-02548","PBN-0799","P10-F02548","POST-BATCH-K","PBK-0612","Runtime hooks","Government","Data/Scripts/Custom/Government System/Commands/AdminAdd.cs","CurrentPathConfirmed","OriginalPathCurrent","SendGump","27","e.Mobile.SendGump(new AdminAddGump(0, e.Mobile, new ArrayList(), new ArrayList()))","AccessGuard","Fixed","SendGumpCallbackGuardFixed","Added scoped runtime-hook guard(s) for null/deleted/state-sensitive callback input before preserving the existing side effect.","Passed: review CSV rows=103; active overlay POST-BATCH-P rows=103; unreviewed POST-BATCH-N-RUNTIME-HOOK-SOURCE-BATCH rows=0; targeted runtime-hook/static scans covered edited speech, movement, region, command/send-gump, target, spell, timer/status, and framework no-change paths; git diff --check passed with expected LF-to-CRLF warnings only; initial msbuild lookup found msbuild absent from PATH and sandboxed Visual Studio MSBuild hit user-profile SDK access denial, final escalated Visual Studio MSBuild Data/System/Source/Server.csproj Debug|x86 passed with 0 warnings and 0 errors; first compile-only run exposed KeywordDoor InternalTimer constructor mismatch and final .\ConficturaServer.exe -compileonly -nocache passed with compile-only verification completed successfully.","POST-BATCH-N lane=POST-BATCH-N-RUNTIME-HOOK-SOURCE-BATCH; FileProofStatus=CurrentPathConfirmed; CurrentFile=Data/Scripts/Custom/Government System/Commands/AdminAdd.cs; Line=27; SourceLine=e.Mobile.SendGump(new AdminAddGump(0, e.Mobile, new ArrayList(), new ArrayList()));; PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Gump; GuardList=AccessGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Gump;Marker=SendGump;Access=Internal;Risk=High;Guards=AccessGuard; POST-BATCH-P direct source review=SendGumpCallbackGuardFixed","2026-06-14T15:26:41.0929879-05:00","Public APIs, command names, namespaces, type names, file locations, project files, XML/config, serialization layout, and player/staff workflow semantics were preserved."
"POST-BATCH-P","PBP-0004","RB-02549","PBN-0800","P10-F02549","POST-BATCH-K","PBK-0613","Runtime hooks","Government","Data/Scripts/Custom/Government System/Commands/FindCities.cs","CurrentPathConfirmed","OriginalPathCurrent","SendGump","27","e.Mobile.SendGump(new FindCitiesGump(0, null, null))","AccessGuard","Fixed","SendGumpCallbackGuardFixed","Added scoped runtime-hook guard(s) for null/deleted/state-sensitive callback input before preserving the existing side effect.","Passed: review CSV rows=103; active overlay POST-BATCH-P rows=103; unreviewed POST-BATCH-N-RUNTIME-HOOK-SOURCE-BATCH rows=0; targeted runtime-hook/static scans covered edited speech, movement, region, command/send-gump, target, spell, timer/status, and framework no-change paths; git diff --check passed with expected LF-to-CRLF warnings only; initial msbuild lookup found msbuild absent from PATH and sandboxed Visual Studio MSBuild hit user-profile SDK access denial, final escalated Visual Studio MSBuild Data/System/Source/Server.csproj Debug|x86 passed with 0 warnings and 0 errors; first compile-only run exposed KeywordDoor InternalTimer constructor mismatch and final .\ConficturaServer.exe -compileonly -nocache passed with compile-only verification completed successfully.","POST-BATCH-N lane=POST-BATCH-N-RUNTIME-HOOK-SOURCE-BATCH; FileProofStatus=CurrentPathConfirmed; CurrentFile=Data/Scripts/Custom/Government System/Commands/FindCities.cs; Line=27; SourceLine=e.Mobile.SendGump(new FindCitiesGump(0, null, null));; PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Gump; GuardList=AccessGuard;NullGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Gump;Marker=SendGump;Access=Internal;Risk=High;Guards=AccessGuard;NullGuard; POST-BATCH-P direct source review=SendGumpCallbackGuardFixed","2026-06-14T15:26:41.0929879-05:00","Public APIs, command names, namespaces, type names, file locations, project files, XML/config, serialization layout, and player/staff workflow semantics were preserved."
"POST-BATCH-P","PBP-0005","RB-02550","PBN-0801","P10-F02550","POST-BATCH-K","PBK-0614","Runtime hooks","Government","Data/Scripts/Custom/Government System/Commands/GovHelp.cs","CurrentPathConfirmed","OriginalPathCurrent","SendGump","27","e.Mobile.SendGump(new GovHelpGump())","AccessGuard","Fixed","SendGumpCallbackGuardFixed","Added scoped runtime-hook guard(s) for null/deleted/state-sensitive callback input before preserving the existing side effect.","Passed: review CSV rows=103; active overlay POST-BATCH-P rows=103; unreviewed POST-BATCH-N-RUNTIME-HOOK-SOURCE-BATCH rows=0; targeted runtime-hook/static scans covered edited speech, movement, region, command/send-gump, target, spell, timer/status, and framework no-change paths; git diff --check passed with expected LF-to-CRLF warnings only; initial msbuild lookup found msbuild absent from PATH and sandboxed Visual Studio MSBuild hit user-profile SDK access denial, final escalated Visual Studio MSBuild Data/System/Source/Server.csproj Debug|x86 passed with 0 warnings and 0 errors; first compile-only run exposed KeywordDoor InternalTimer constructor mismatch and final .\ConficturaServer.exe -compileonly -nocache passed with compile-only verification completed successfully.","POST-BATCH-N lane=POST-BATCH-N-RUNTIME-HOOK-SOURCE-BATCH; FileProofStatus=CurrentPathConfirmed; CurrentFile=Data/Scripts/Custom/Government System/Commands/GovHelp.cs; Line=27; SourceLine=e.Mobile.SendGump(new GovHelpGump());; PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Gump; GuardList=AccessGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Gump;Marker=SendGump;Access=Internal;Risk=High;Guards=AccessGuard; POST-BATCH-P direct source review=SendGumpCallbackGuardFixed","2026-06-14T15:26:41.0929879-05:00","Public APIs, command names, namespaces, type names, file locations, project files, XML/config, serialization layout, and player/staff workflow semantics were preserved."
"POST-BATCH-P","PBP-0006","RB-02275","PBN-0802","P10-F02275","POST-BATCH-K","PBK-0353","Runtime hooks","Homestead","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Cooking/Package Systems/Crystal's Cheese System/MilkBucket_gump.cs","CurrentPathConfirmed","OriginalPathCurrent","OnResponse","34","public override void OnResponse(Server.Network.NetState sender, RelayInfo info) { }","StateGuard","FalsePositive","NoSideEffectCallbackFalsePositive","Reviewed queued response hook; callback is a no-op in the scoped source path, so no source edit is needed.","Passed: review CSV rows=103; active overlay POST-BATCH-P rows=103; unreviewed POST-BATCH-N-RUNTIME-HOOK-SOURCE-BATCH rows=0; targeted runtime-hook/static scans covered edited speech, movement, region, command/send-gump, target, spell, timer/status, and framework no-change paths; git diff --check passed with expected LF-to-CRLF warnings only; initial msbuild lookup found msbuild absent from PATH and sandboxed Visual Studio MSBuild hit user-profile SDK access denial, final escalated Visual Studio MSBuild Data/System/Source/Server.csproj Debug|x86 passed with 0 warnings and 0 errors; first compile-only run exposed KeywordDoor InternalTimer constructor mismatch and final .\ConficturaServer.exe -compileonly -nocache passed with compile-only verification completed successfully.","POST-BATCH-N lane=POST-BATCH-N-RUNTIME-HOOK-SOURCE-BATCH; FileProofStatus=CurrentPathConfirmed; CurrentFile=Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Cooking/Package Systems/Crystal's Cheese System/MilkBucket_gump.cs; Line=34; SourceLine=public override void OnResponse(Server.Network.NetState sender, RelayInfo info) { }; PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Gump; GuardList=StateGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Gump;Marker=OnResponse;Access=Internal;Risk=High;Guards=StateGuard; POST-BATCH-P direct source review=NoSideEffectCallbackFalsePositive","2026-06-14T15:26:41.0929879-05:00","Reviewed against current source; no source change was required for this row. Public APIs, command names, namespaces, type names, file locations, project files, XML/config, serialization layout, and player/staff workflow semantics were preserved."
"POST-BATCH-P","PBP-0007","RB-02276","PBN-0803","P10-F02276","POST-BATCH-K","PBK-0354","Runtime hooks","Homestead","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Cooking/Package Systems/Crystal's Cheese System/Gumps/CheeseForm_gump.cs","CurrentPathConfirmed","OriginalPathCurrent","OnResponse","36","public override void OnResponse(Server.Network.NetState sender, RelayInfo info) { }","StateGuard","FalsePositive","NoSideEffectCallbackFalsePositive","Reviewed queued response hook; callback is a no-op in the scoped source path, so no source edit is needed.","Passed: review CSV rows=103; active overlay POST-BATCH-P rows=103; unreviewed POST-BATCH-N-RUNTIME-HOOK-SOURCE-BATCH rows=0; targeted runtime-hook/static scans covered edited speech, movement, region, command/send-gump, target, spell, timer/status, and framework no-change paths; git diff --check passed with expected LF-to-CRLF warnings only; initial msbuild lookup found msbuild absent from PATH and sandboxed Visual Studio MSBuild hit user-profile SDK access denial, final escalated Visual Studio MSBuild Data/System/Source/Server.csproj Debug|x86 passed with 0 warnings and 0 errors; first compile-only run exposed KeywordDoor InternalTimer constructor mismatch and final .\ConficturaServer.exe -compileonly -nocache passed with compile-only verification completed successfully.","POST-BATCH-N lane=POST-BATCH-N-RUNTIME-HOOK-SOURCE-BATCH; FileProofStatus=CurrentPathConfirmed; CurrentFile=Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Cooking/Package Systems/Crystal's Cheese System/Gumps/CheeseForm_gump.cs; Line=36; SourceLine=public override void OnResponse(Server.Network.NetState sender, RelayInfo info) { }; PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Gump; GuardList=StateGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Gump;Marker=OnResponse;Access=Internal;Risk=High;Guards=StateGuard; POST-BATCH-P direct source review=NoSideEffectCallbackFalsePositive","2026-06-14T15:26:41.0929879-05:00","Reviewed against current source; no source change was required for this row. Public APIs, command names, namespaces, type names, file locations, project files, XML/config, serialization layout, and player/staff workflow semantics were preserved."
"POST-BATCH-P","PBP-0008","RB-02811","PBN-0804","P10-F02811","POST-BATCH-K","PBK-0875","Runtime hooks","Homestead","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Commands/AddGrapevines.cs","CurrentPathConfirmed","OriginalPathCurrent","SendGump","31","e.Mobile.SendGump(new AddGrapeVineGump(e.Mobile, null, 0))","AccessGuard","Fixed","SendGumpCallbackGuardFixed","Added scoped runtime-hook guard(s) for null/deleted/state-sensitive callback input before preserving the existing side effect.","Passed: review CSV rows=103; active overlay POST-BATCH-P rows=103; unreviewed POST-BATCH-N-RUNTIME-HOOK-SOURCE-BATCH rows=0; targeted runtime-hook/static scans covered edited speech, movement, region, command/send-gump, target, spell, timer/status, and framework no-change paths; git diff --check passed with expected LF-to-CRLF warnings only; initial msbuild lookup found msbuild absent from PATH and sandboxed Visual Studio MSBuild hit user-profile SDK access denial, final escalated Visual Studio MSBuild Data/System/Source/Server.csproj Debug|x86 passed with 0 warnings and 0 errors; first compile-only run exposed KeywordDoor InternalTimer constructor mismatch and final .\ConficturaServer.exe -compileonly -nocache passed with compile-only verification completed successfully.","POST-BATCH-N lane=POST-BATCH-N-RUNTIME-HOOK-SOURCE-BATCH; FileProofStatus=CurrentPathConfirmed; CurrentFile=Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Commands/AddGrapevines.cs; Line=31; SourceLine=e.Mobile.SendGump(new AddGrapeVineGump(e.Mobile, null, 0));; PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Gump; GuardList=AccessGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Gump;Marker=SendGump;Access=Internal;Risk=High;Guards=AccessGuard; POST-BATCH-P direct source review=SendGumpCallbackGuardFixed","2026-06-14T15:26:41.0929879-05:00","Public APIs, command names, namespaces, type names, file locations, project files, XML/config, serialization layout, and player/staff workflow semantics were preserved."
"POST-BATCH-P","PBP-0009","RB-01944","PBN-0805","P10-F01944","POST-BATCH-K","PBK-0037","Runtime hooks","Housing","Data/Scripts/Items/Houses/Monopoly/Items/TownHouse.cs","CurrentPathConfirmed","OriginalPathCurrent","OnSpeech","238","public override void OnSpeech(SpeechEventArgs e)","BoundsGuard","Fixed","SpeechHookGuardFixed","Added scoped runtime-hook guard(s) for null/deleted/state-sensitive callback input before preserving the existing side effect.","Passed: review CSV rows=103; active overlay POST-BATCH-P rows=103; unreviewed POST-BATCH-N-RUNTIME-HOOK-SOURCE-BATCH rows=0; targeted runtime-hook/static scans covered edited speech, movement, region, command/send-gump, target, spell, timer/status, and framework no-change paths; git diff --check passed with expected LF-to-CRLF warnings only; initial msbuild lookup found msbuild absent from PATH and sandboxed Visual Studio MSBuild hit user-profile SDK access denial, final escalated Visual Studio MSBuild Data/System/Source/Server.csproj Debug|x86 passed with 0 warnings and 0 errors; first compile-only run exposed KeywordDoor InternalTimer constructor mismatch and final .\ConficturaServer.exe -compileonly -nocache passed with compile-only verification completed successfully.","POST-BATCH-N lane=POST-BATCH-N-RUNTIME-HOOK-SOURCE-BATCH; FileProofStatus=CurrentPathConfirmed; CurrentFile=Data/Scripts/Items/Houses/Monopoly/Items/TownHouse.cs; Line=238; SourceLine=public override void OnSpeech(SpeechEventArgs e); PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Speech; GuardList=BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Speech;Marker=OnSpeech;Access=GlobalOrInternal;Risk=High;Guards=BoundsGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard; POST-BATCH-P direct source review=SpeechHookGuardFixed","2026-06-14T15:26:41.0929879-05:00","Public APIs, command names, namespaces, type names, file locations, project files, XML/config, serialization layout, and player/staff workflow semantics were preserved."
"POST-BATCH-P","PBP-0010","RB-01985","PBN-0806","P10-F01985","POST-BATCH-K","PBK-0075","Runtime hooks","Housing","Data/Scripts/System/Regions/HouseRegion.cs","CurrentPathConfirmed","OriginalPathCurrent","Speech","407","","AccessGuard","Fixed","RegionHookGuardFixed","Added region speech/movement guards for null/deleted mobiles and stale house/sign state before house-region side effects.","Passed: review CSV rows=103; active overlay POST-BATCH-P rows=103; unreviewed POST-BATCH-N-RUNTIME-HOOK-SOURCE-BATCH rows=0; targeted runtime-hook/static scans covered edited speech, movement, region, command/send-gump, target, spell, timer/status, and framework no-change paths; git diff --check passed with expected LF-to-CRLF warnings only; initial msbuild lookup found msbuild absent from PATH and sandboxed Visual Studio MSBuild hit user-profile SDK access denial, final escalated Visual Studio MSBuild Data/System/Source/Server.csproj Debug|x86 passed with 0 warnings and 0 errors; first compile-only run exposed KeywordDoor InternalTimer constructor mismatch and final .\ConficturaServer.exe -compileonly -nocache passed with compile-only verification completed successfully.","POST-BATCH-N lane=POST-BATCH-N-RUNTIME-HOOK-SOURCE-BATCH; FileProofStatus=CurrentPathConfirmed; CurrentFile=Data/Scripts/System/Regions/HouseRegion.cs; Line=407; SourceLine=; PathResolution=OriginalPathCurrent; MatchQuality=CurrentFileOnly; HookKind=Speech; GuardList=AccessGuard;BoundsGuard;MapGuard;NullGuard;RangeGuard;StateGuard; Access=; Command=; Handler=; DisabledEvidence=False; POST-BATCH-P direct source review=RegionHookGuardFixed","2026-06-14T15:26:41.0929879-05:00","Public APIs, command names, namespaces, type names, file locations, project files, XML/config, serialization layout, and player/staff workflow semantics were preserved."
