"BatchId","ReviewRowId","BacklogId","ReadinessRowId","SourceId","PreviousPostAuditBatch","PreviousReviewRowId","Category","System","Files","SchemaReference","ReferenceKind","QueueLine","CurrentSourceLine","ParserEvidence","SourceFileExists","DocumentedContract","MissingDefaultBehavior","ReloadAssumption","InvalidInputBehavior","Decision","ReviewClass","Action","Verification","SourceEvidence","ReviewedAt","Notes"
"POST-BATCH-S","PBS-0001","RB-06412","PBN-0226","P10-F06412","POST-BATCH-F","PBF-151","XML/config schemas","Bulk Orders","Data/Scripts/Trades/Bulk Orders/SmallBulkEntry.cs","Data/System/Bulk Orders/{0}/{1}.cfg","TextConfigRead","77","77","Data/Scripts/Trades/Bulk Orders/SmallBulkEntry.cs:L77:return LoadEntries(String.Format(""Data/System/Bulk Orders/{0}/{1}.cfg"", type, name));","Yes","Current source reads 'Data/System/Bulk Orders/{0}/{1}.cfg' as a text/config input at the cited parser line; token/default behavior remains defined by the surrounding parser source.","No default or missing-file behavior was changed; any default behavior must be read from the cited current parser source before a later behavior batch.","No reload semantics changed; this batch records current load/read/write evidence only.","Invalid line/token handling remains source-owned by the current parser; no parser behavior changed.","Documented","TextConfigReadSurface","Documented schema/parser/data-contract evidence for 'Data/System/Bulk Orders/{0}/{1}.cfg' from current source; no source/config behavior change.","Passed: current source file and line resolved; row classified from current source evidence; no source/project/XML/config/data behavior changed.","POST-BATCH-N lane=POST-BATCH-N-SCHEMA-DOCUMENTATION; FileProofStatus=CurrentPathConfirmed; Bulk Orders->DataFile:Data/System/Bulk Orders/{0}/{1}.cfg; Data/Scripts/Trades/Bulk Orders/SmallBulkEntry.cs:L77:return LoadEntries(String.Format(""Data/System/Bulk Orders/{0}/{1}.cfg"", type, name));; POST-BATCH-S CurrentSource=Data/Scripts/Trades/Bulk Orders/SmallBulkEntry.cs:L77:return LoadEntries(String.Format(""Data/System/Bulk Orders/{0}/{1}.cfg"", type, name));; POST-BATCH-S direct schema review=TextConfigReadSurface","2026-06-14T20:33:44.4399529-05:00","Queue source=PBN-0226; previous active status=QueuedSourceFollowUp; file proof=CurrentPathConfirmed; path resolution=OriginalPathCurrent."
"POST-BATCH-S","PBS-0002","RB-06413","PBN-0227","P10-F06413","POST-BATCH-F","PBF-152","XML/config schemas","Bulk Orders","Data/System/Source/Body.cs","Data/System/CFG/body.cfg","ExistenceGate","44","44","Data/System/Source/Body.cs:L44:if (File.Exists(""Data/System/CFG/body.cfg""))","Yes","Current source checks existence of 'Data/System/CFG/body.cfg' before load/use; missing/default behavior is documented from the current gate without changing it.","Existence gate is source-verifiable at the cited line; existing missing-file behavior is preserved.","No reload semantics changed; this batch records current load/read/write evidence only.","No invalid-input behavior changed in this documentation-only batch.","Documented","ExistenceGateSchemaSurface","Documented schema/parser/data-contract evidence for 'Data/System/CFG/body.cfg' from current source; no source/config behavior change.","Passed: current source file and line resolved; row classified from current source evidence; no source/project/XML/config/data behavior changed.","POST-BATCH-N lane=POST-BATCH-N-SCHEMA-DOCUMENTATION; FileProofStatus=CurrentPathConfirmed; Bulk Orders->DataFile:Data/System/CFG/body.cfg; Data/System/Source/Body.cs:L44:if (File.Exists(""Data/System/CFG/body.cfg"")); POST-BATCH-S CurrentSource=Data/System/Source/Body.cs:L44:if (File.Exists(""Data/System/CFG/body.cfg"")); POST-BATCH-S direct schema review=ExistenceGateSchemaSurface","2026-06-14T20:33:44.4399529-05:00","Queue source=PBN-0227; previous active status=QueuedSourceFollowUp; file proof=CurrentPathConfirmed; path resolution=OriginalPathCurrent."
"POST-BATCH-S","PBS-0003","RB-06414","PBN-0228","P10-F06414","POST-BATCH-F","PBF-153","XML/config schemas","Bulk Orders","Data/System/Source/Body.cs","Data/System/CFG/body.cfg","TextConfigRead","46","46","Data/System/Source/Body.cs:L46:using (StreamReader ip = new StreamReader(""Data/System/CFG/body.cfg""))","Yes","Current source reads 'Data/System/CFG/body.cfg' as a text/config input at the cited parser line; token/default behavior remains defined by the surrounding parser source.","No default or missing-file behavior was changed; any default behavior must be read from the cited current parser source before a later behavior batch.","No reload semantics changed; this batch records current load/read/write evidence only.","Invalid line/token handling remains source-owned by the current parser; no parser behavior changed.","Documented","TextConfigReadSurface","Documented schema/parser/data-contract evidence for 'Data/System/CFG/body.cfg' from current source; no source/config behavior change.","Passed: current source file and line resolved; row classified from current source evidence; no source/project/XML/config/data behavior changed.","POST-BATCH-N lane=POST-BATCH-N-SCHEMA-DOCUMENTATION; FileProofStatus=CurrentPathConfirmed; Bulk Orders->DataFile:Data/System/CFG/body.cfg; Data/System/Source/Body.cs:L46:using (StreamReader ip = new StreamReader(""Data/System/CFG/body.cfg"")); POST-BATCH-S CurrentSource=Data/System/Source/Body.cs:L46:using (StreamReader ip = new StreamReader(""Data/System/CFG/body.cfg"")); POST-BATCH-S direct schema review=TextConfigReadSurface","2026-06-14T20:33:44.4399529-05:00","Queue source=PBN-0228; previous active status=QueuedSourceFollowUp; file proof=CurrentPathConfirmed; path resolution=OriginalPathCurrent."
"POST-BATCH-S","PBS-0004","RB-06415","PBN-0229","P10-F06415","POST-BATCH-F","PBF-154","XML/config schemas","Bulk Orders","Data/Scripts/System/Commands/Docs.cs","models/models.txt","TextConfigRead","1840","1840","Data/Scripts/System/Commands/Docs.cs:L1840:string path = Core.FindDataFile(""models/models.txt"");","Yes","Current source reads 'models/models.txt' as a text/config input at the cited parser line; token/default behavior remains defined by the surrounding parser source.","No default or missing-file behavior was changed; any default behavior must be read from the cited current parser source before a later behavior batch.","No reload semantics changed; this batch records current load/read/write evidence only.","Invalid line/token handling remains source-owned by the current parser; no parser behavior changed.","Documented","TextConfigReadSurface","Documented schema/parser/data-contract evidence for 'models/models.txt' from current source; no source/config behavior change.","Passed: current source file and line resolved; row classified from current source evidence; no source/project/XML/config/data behavior changed.","POST-BATCH-N lane=POST-BATCH-N-SCHEMA-DOCUMENTATION; FileProofStatus=CurrentPathConfirmed; Bulk Orders->DataFile:models/models.txt; Data/Scripts/System/Commands/Docs.cs:L1840:string path = Core.FindDataFile(""models/models.txt"");; POST-BATCH-S CurrentSource=Data/Scripts/System/Commands/Docs.cs:L1840:string path = Core.FindDataFile(""models/models.txt"");; POST-BATCH-S direct schema review=TextConfigReadSurface","2026-06-14T20:33:44.4399529-05:00","Queue source=PBN-0229; previous active status=QueuedSourceFollowUp; file proof=CurrentPathConfirmed; path resolution=OriginalPathCurrent."
"POST-BATCH-S","PBS-0005","RB-06416","PBN-0230","P10-F06416","POST-BATCH-F","PBF-155","XML/config schemas","Custom:Book Publisher [2.0]","Data/Scripts/Custom/Book Publisher [2.0]/XmlBook.cs","*.xml","DirectoryGlob","170","170","Data/Scripts/Custom/Book Publisher [2.0]/XmlBook.cs:L170:string[] files = Directory.GetFiles(DataPath, ""*.xml"");","Yes","Current source enumerates files matching '*.xml' from the cited parser/export surface; this documents the globbed schema/data surface without normalizing file contents.","No directory or file normalization was made; empty/missing/glob behavior remains governed by the current source call and surrounding handling.","No reload semantics changed; this batch records current load/read/write evidence only.","No invalid-input behavior changed in this documentation-only batch.","Documented","DirectoryGlobSchemaSurface","Documented schema/parser/data-contract evidence for '*.xml' from current source; no source/config behavior change.","Passed: current source file and line resolved; row classified from current source evidence; no source/project/XML/config/data behavior changed.","POST-BATCH-N lane=POST-BATCH-N-SCHEMA-DOCUMENTATION; FileProofStatus=CurrentPathConfirmed; Custom:Book Publisher [2.0]->DataFile:*.xml; Data/Scripts/Custom/Book Publisher [2.0]/XmlBook.cs:L170:string[] files = Directory.GetFiles(DataPath, ""*.xml"");; POST-BATCH-S CurrentSource=Data/Scripts/Custom/Book Publisher [2.0]/XmlBook.cs:L170:string[] files = Directory.GetFiles(DataPath, ""*.xml"");; POST-BATCH-S direct schema review=DirectoryGlobSchemaSurface","2026-06-14T20:33:44.4399529-05:00","Queue source=PBN-0230; previous active status=QueuedSourceFollowUp; file proof=CurrentPathConfirmed; path resolution=OriginalPathCurrent."
"POST-BATCH-S","PBS-0006","RB-06530","PBN-0231","P10-F06530","POST-BATCH-F","PBF-269","XML/config schemas","Custom:Book Publisher [2.0]","Data/Scripts/Custom/Book Publisher [2.0]/XmlBook.cs","*.xml","DirectoryGlob","170","170","Data/Scripts/Custom/Book Publisher [2.0]/XmlBook.cs:L170:string[] files = Directory.GetFiles(DataPath, ""*.xml"");","Yes","Current source enumerates files matching '*.xml' from the cited parser/export surface; this documents the globbed schema/data surface without normalizing file contents.","No directory or file normalization was made; empty/missing/glob behavior remains governed by the current source call and surrounding handling.","No reload semantics changed; this batch records current load/read/write evidence only.","No invalid-input behavior changed in this documentation-only batch.","Documented","DirectoryGlobSchemaSurface","Documented schema/parser/data-contract evidence for '*.xml' from current source; no source/config behavior change.","Passed: current source file and line resolved; row classified from current source evidence; no source/project/XML/config/data behavior changed.","POST-BATCH-N lane=POST-BATCH-N-SCHEMA-DOCUMENTATION; FileProofStatus=CurrentPathConfirmed; Reference=*.xml; L170; Evidence=string[] files = Directory.GetFiles(DataPath, ""*.xml"");; POST-BATCH-S CurrentSource=Data/Scripts/Custom/Book Publisher [2.0]/XmlBook.cs:L170:string[] files = Directory.GetFiles(DataPath, ""*.xml"");; POST-BATCH-S direct schema review=DirectoryGlobSchemaSurface","2026-06-14T20:33:44.4399529-05:00","Queue source=PBN-0231; previous active status=QueuedSourceFollowUp; file proof=CurrentPathConfirmed; path resolution=OriginalPathCurrent."
"POST-BATCH-S","PBS-0007","RB-06531","PBN-0232","P10-F06531","POST-BATCH-F","PBF-270","XML/config schemas","Custom:Government System","Data/Scripts/Custom/Government System/CityUpgradeSystem.cs","Data/GovernmentVersion.xml","XmlOrXmlPath","153","153","Data/Scripts/Custom/Government System/CityUpgradeSystem.cs:L153:Path.Combine(Core.BaseDirectory, ""Data/GovernmentVersion.xml"")","Yes","Current source references 'Data/GovernmentVersion.xml' as an XML/schema path or XML load surface; element/root behavior remains defined by the cited source parser.","No default or missing-file behavior was changed; any default behavior must be read from the cited current parser source before a later behavior batch.","No reload semantics changed; this batch records current load/read/write evidence only.","Invalid XML/root/element behavior remains source-owned by the current parser; no schema validation or migration policy changed.","Documented","XmlDocumentSchemaSurface","Documented schema/parser/data-contract evidence for 'Data/GovernmentVersion.xml' from current source; no source/config behavior change.","Passed: current source file and line resolved; row classified from current source evidence; no source/project/XML/config/data behavior changed.","POST-BATCH-N lane=POST-BATCH-N-SCHEMA-DOCUMENTATION; FileProofStatus=CurrentPathConfirmed; Reference=Data/GovernmentVersion.xml; L153; Evidence=Path.Combine(Core.BaseDirectory, ""Data/GovernmentVersion.xml""); POST-BATCH-S CurrentSource=Data/Scripts/Custom/Government System/CityUpgradeSystem.cs:L153:Path.Combine(Core.BaseDirectory, ""Data/GovernmentVersion.xml""); POST-BATCH-S direct schema review=XmlDocumentSchemaSurface","2026-06-14T20:33:44.4399529-05:00","Queue source=PBN-0232; previous active status=QueuedSourceFollowUp; file proof=CurrentPathConfirmed; path resolution=OriginalPathCurrent."
"POST-BATCH-S","PBS-0008","RB-06532","PBN-0233","P10-F06532","POST-BATCH-F","PBF-271","XML/config schemas","Custom:Government System","Data/Scripts/Custom/Government System/PlayerGovernmentSystem.cs","Data/GovernmentVersion.xml","XmlOrXmlPath","21","21","Data/Scripts/Custom/Government System/PlayerGovernmentSystem.cs:L21:public static string FileName = ""Data/GovernmentVersion.xml"";","Yes","Current source references 'Data/GovernmentVersion.xml' as an XML/schema path or XML load surface; element/root behavior remains defined by the cited source parser.","No default or missing-file behavior was changed; any default behavior must be read from the cited current parser source before a later behavior batch.","No reload semantics changed; this batch records current load/read/write evidence only.","Invalid XML/root/element behavior remains source-owned by the current parser; no schema validation or migration policy changed.","Documented","XmlDocumentSchemaSurface","Documented schema/parser/data-contract evidence for 'Data/GovernmentVersion.xml' from current source; no source/config behavior change.","Passed: current source file and line resolved; row classified from current source evidence; no source/project/XML/config/data behavior changed.","POST-BATCH-N lane=POST-BATCH-N-SCHEMA-DOCUMENTATION; FileProofStatus=CurrentPathConfirmed; Reference=Data/GovernmentVersion.xml; L21; Evidence=public static string FileName = ""Data/GovernmentVersion.xml"";; POST-BATCH-S CurrentSource=Data/Scripts/Custom/Government System/PlayerGovernmentSystem.cs:L21:public static string FileName = ""Data/GovernmentVersion.xml"";; POST-BATCH-S direct schema review=XmlDocumentSchemaSurface","2026-06-14T20:33:44.4399529-05:00","Queue source=PBN-0233; previous active status=QueuedSourceFollowUp; file proof=CurrentPathConfirmed; path resolution=OriginalPathCurrent."
"POST-BATCH-S","PBS-0009","RB-06533","PBN-0234","P10-F06533","POST-BATCH-F","PBF-272","XML/config schemas","Custom:Invasion System","Data/Scripts/Custom/Invasion System/Add Ins/Pirates/Chasing Pirates/PirateCaptain.cs","Data/The Pirate Captain Invader/Speech.txt","PathOrPattern","20","20","Data/Scripts/Custom/Invasion System/Add Ins/Pirates/Chasing Pirates/PirateCaptain.cs:L20:public static string path = ""Data/The Pirate Captain Invader/Speech.txt"";","Yes","Current source declares or uses 'Data/The Pirate Captain Invader/Speech.txt' as a config/data/schema path or pattern; the row documents that source-traced contract without source/config edits.","No default or missing-file behavior was changed; any default behavior must be read from the cited current parser source before a later behavior batch.","No reload semantics changed; this batch records current load/read/write evidence only.","No invalid-input behavior changed in this documentation-only batch.","Documented","PathConstantOrSchemaReference","Documented schema/parser/data-contract evidence for 'Data/The Pirate Captain Invader/Speech.txt' from current source; no source/config behavior change.","Passed: current source file and line resolved; row classified from current source evidence; no source/project/XML/config/data behavior changed.","POST-BATCH-N lane=POST-BATCH-N-SCHEMA-DOCUMENTATION; FileProofStatus=CurrentPathConfirmed; Reference=Data/The Pirate Captain Invader/Speech.txt; L20; Evidence=public static string path = ""Data/The Pirate Captain Invader/Speech.txt"";; POST-BATCH-S CurrentSource=Data/Scripts/Custom/Invasion System/Add Ins/Pirates/Chasing Pirates/PirateCaptain.cs:L20:public static string path = ""Data/The Pirate Captain Invader/Speech.txt"";; POST-BATCH-S direct schema review=PathConstantOrSchemaReference","2026-06-14T20:33:44.4399529-05:00","Queue source=PBN-0234; previous active status=QueuedSourceFollowUp; file proof=CurrentPathConfirmed; path resolution=OriginalPathCurrent."
"POST-BATCH-S","PBS-0010","RB-06534","PBN-0235","P10-F06534","POST-BATCH-F","PBF-273","XML/config schemas","Custom:RandomEncounters","Data/Scripts/Custom/PvE/RandomEncounters/EncounterEngine.cs","./Data/Scripts/Custom/RandomEncounters/RandomEncounters.xml","XmlOrXmlPath","47","47","Data/Scripts/Custom/PvE/RandomEncounters/EncounterEngine.cs:L47:""./Data/Scripts/Custom/PvE/RandomEncounters/RandomEncounters.xml"";","Yes","Current source references './Data/Scripts/Custom/RandomEncounters/RandomEncounters.xml' as an XML/schema path or XML load surface; element/root behavior remains defined by the cited source parser.","No default or missing-file behavior was changed; any default behavior must be read from the cited current parser source before a later behavior batch.","No reload semantics changed; this batch records current load/read/write evidence only.","Invalid XML/root/element behavior remains source-owned by the current parser; no schema validation or migration policy changed.","Documented","XmlDocumentSchemaSurface","Documented schema/parser/data-contract evidence for './Data/Scripts/Custom/RandomEncounters/RandomEncounters.xml' from current source; no source/config behavior change.","Passed: current source file and line resolved; row classified from current source evidence; no source/project/XML/config/data behavior changed.","POST-BATCH-N lane=POST-BATCH-N-SCHEMA-DOCUMENTATION; FileProofStatus=PathNeedsReview; Reference=./Data/Scripts/Custom/RandomEncounters/RandomEncounters.xml; L47; Evidence=""./Data/Scripts/Custom/RandomEncounters/RandomEncounters.xml"";; POST-BATCH-S CurrentSource=Data/Scripts/Custom/PvE/RandomEncounters/EncounterEngine.cs:L47:""./Data/Scripts/Custom/PvE/RandomEncounters/RandomEncounters.xml"";; POST-BATCH-S direct schema review=XmlDocumentSchemaSurface","2026-06-14T20:33:44.4399529-05:00","Queue source=PBN-0235; previous active status=QueuedSourceFollowUp; file proof=CurrentPathConfirmed; path resolution=POST-BATCH-H-06A Random Encounters path map."
