"BatchId","ReviewRowId","BacklogId","ReadinessRowId","SourceId","PreviousPostAuditBatch","PreviousReviewRowId","Category","System","Files","ClassName","SerializerKind","ConstructorEvidence","BaseSerializeState","BaseDeserializeState","VersionWriteEvidence","VersionReadEvidence","WriterFields","ReaderFields","FieldAlignmentResult","OldSaveRisk","ProposedMigrationOrFix","FallbackDefaults","VerificationNeeded","RollbackNotes","Decision","ReviewClass","Action","Verification","SourceEvidence","ReviewedAt","Notes"
"POST-BATCH-U","PBU-0001","RB-00298","PBN-0458","P10-F00298","POST-BATCH-J","PBJ-0123","Save compatibility","Custom:Voting","Data/Scripts/Custom/Voting/VoteSite.cs","Server.Voting.VoteSite","Other","Helper/static Deserialize or Deserialize method found at L133; ordinary RunUO Serial constructor not required for this helper serializer","MissingBaseSerialize","MissingBaseSerialize","L117","L135","L117:Write(version)) | L124:Write(_Parent)) | L125:Write(_Name)) | L126:Write(_URL)) | L127:Write(_CoolDown))","L135:ReadInt | L142:ReadItem | L143:ReadString | L144:ReadString | L145:ReadTimeSpan","Source-reviewed helper serializer; current contract uses DeserializeMethod and does not require a base serializer. Conditional, compact, or list formats are preserved exactly as current source defines them.","Low as-is. Risk returns if a future edit treats this helper as an ordinary Item/Mobile serializer, adds inappropriate base calls, or changes compact/list/conditional field order.","No migration/source fix recommended. Preserve current helper/version-gated persistence contract; future edits must document the exact old-save format and keep conditional/list/default branches compatible.","Keep existing helper constructor/static Deserialize defaults, null sentinels, compact flags, list counts, and old-version discard branches; no new fallback required in this audit batch.","If a later source batch changes this serializer: regenerate serialization-register, compare write/read maps before and after, build Data/System/Source/Server.csproj Debug/x86, and run .\ConficturaServer.exe -compileonly -nocache. POST-BATCH-U itself requires row/count reconciliation, changed-scope check, and git diff --check only.","Rollback by reverting any future serializer source edit and restoring the previous write/read order; this batch itself changes only audit artifacts and can be reverted without save-format impact.","ReviewedNoChange","HelperSerializerReviewedNoChange","Closed migration gate as reviewed no-change after direct source review of helper/version-gated persistence; no source migration is needed.","Pending final verification: review CSV row count, active overlay reconciliation, changed scope check, and git diff --check.","POST-BATCH-N lane=POST-BATCH-N-SAVE-MIGRATION-PLAN; FileProofStatus=CurrentPathConfirmed; Class=Server.Voting.VoteSite; Serialize=L113; Reader=DeserializeMethod:L133; RegisterBase=MissingBaseSerialize; RegisterVersion=ReadVersionOnly; RegisterAlignment=CountMismatch:Writes=5;Reads=4; Writes=5; Reads=5; WriteEvidence=L117:Write(version)) | L124:Write(_Parent)) | L125:Write(_Name)) | L126:Write(_URL)) | L127:Write(_CoolDown)); ReadEvidence=L135:ReadInt | L142:ReadItem | L143:ReadString | L144:ReadString | L145:ReadTimeSpan; POST-BATCH-U direct source review=HelperSerializerReviewedNoChange","2026-06-14T22:49:23.8796880-05:00","Queue row=PBN-0458; previous artifact=docs/codebase-audit/outputs/post-batch-j-p1-save-compat-review.csv; prior risk gate=Serialization base-call, version, or write/read ambiguity may affect save layout; no source edit is approved until a migration plan exists.; no source/project/XML/config/data behavior changed."
"POST-BATCH-U","PBU-0002","RB-00302","PBN-0459","P10-F00302","POST-BATCH-J","PBJ-0125","Save compatibility","Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","Server.Mobiles.KeywordTag","Spawner","Helper/static Deserialize or Deserialize method found at L835; ordinary RunUO Serial constructor not required for this helper serializer","MissingBaseSerialize","MissingBaseSerialize","L815","L837","L815:Write((int)1); // version) | L817:Write((int)Flags)) | L819:Write(m_Spawner)) | L820:Write(Type)) | L821:Write(Serial)) | L825:Write(m_End - DateTime.Now)) | L826:Write(m_Delay)) | L827:Write(m_Condition)) | L828:Write(m_Goto)) | L829:Write(m_TimeoutEnd - DateTime.Now)) | L830:Write(m_Timeout)) | L831:Write(m_TrigMob))","L837:ReadInt | L841:ReadInt | L844:ReadItem | L845:ReadInt | L846:ReadInt | L850:ReadTimeSpan | L851:ReadTimeSpan | L852:ReadString | L853:ReadInt | L855:ReadTimeSpan | L857:ReadTimeSpan | L858:ReadMobile","Source-reviewed helper serializer; current contract uses DeserializeMethod and does not require a base serializer. Conditional, compact, or list formats are preserved exactly as current source defines them.","Low as-is. Risk returns if a future edit treats this helper as an ordinary Item/Mobile serializer, adds inappropriate base calls, or changes compact/list/conditional field order.","No migration/source fix recommended. Preserve current helper/version-gated persistence contract; future edits must document the exact old-save format and keep conditional/list/default branches compatible.","Keep existing helper constructor/static Deserialize defaults, null sentinels, compact flags, list counts, and old-version discard branches; no new fallback required in this audit batch.","If a later source batch changes this serializer: regenerate serialization-register, compare write/read maps before and after, build Data/System/Source/Server.csproj Debug/x86, and run .\ConficturaServer.exe -compileonly -nocache. POST-BATCH-U itself requires row/count reconciliation, changed-scope check, and git diff --check only.","Rollback by reverting any future serializer source edit and restoring the previous write/read order; this batch itself changes only audit artifacts and can be reverted without save-format impact.","ReviewedNoChange","HelperSerializerReviewedNoChange","Closed migration gate as reviewed no-change after direct source review of helper/version-gated persistence; no source migration is needed.","Pending final verification: review CSV row count, active overlay reconciliation, changed scope check, and git diff --check.","POST-BATCH-N lane=POST-BATCH-N-SAVE-MIGRATION-PLAN; FileProofStatus=CurrentPathConfirmed; Class=Server.Mobiles.KeywordTag; Serialize=L813; Reader=DeserializeMethod:L835; RegisterBase=MissingBaseSerialize; RegisterVersion=SwitchGotoCase; RegisterAlignment=CountMatchNeedsTypeReview:UnknownWrites=10; Writes=12; Reads=12; WriteEvidence=L815:Write((int)1); // version) | L817:Write((int)Flags)) | L819:Write(m_Spawner)) | L820:Write(Type)) | L821:Write(Serial)) | L825:Write(m_End - DateTime.Now)) | L826:Write(m_Delay)) | L827:Write(m_Condition)) | L828:Write(m_Goto)) | L829:Write(m_TimeoutEnd - DateTime.Now)) | L830:Write(m_Timeout)) | L831:Write(m_TrigMob)); ReadEvidence=L837:ReadInt | L841:ReadInt | L844:ReadItem | L845:ReadInt | L846:ReadInt | L850:ReadTimeSpan | L851:ReadTimeSpan | L852:ReadString | L853:ReadInt | L855:ReadTimeSpan | L857:ReadTimeSpan | L858:ReadMobile; POST-BATCH-U direct source review=HelperSerializerReviewedNoChange","2026-06-14T22:49:23.8796880-05:00","Queue row=PBN-0459; previous artifact=docs/codebase-audit/outputs/post-batch-j-p1-save-compat-review.csv; prior risk gate=Serialization base-call, version, or write/read ambiguity may affect save layout; no source edit is approved until a migration plan exists.; no source/project/XML/config/data behavior changed."
"POST-BATCH-U","PBU-0003","RB-00365","PBN-0483","P10-F00365","POST-BATCH-J","PBJ-0164","Save compatibility","Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/XmlQuest/XmlQuestPoints.cs","Server.Engines.XmlSpawner2.QuestEntry","Spawner","Helper/static Deserialize or Deserialize method found at L113; ordinary RunUO Serial constructor not required for this helper serializer","MissingBaseSerialize","MissingBaseSerialize","L102","L115","L102:Write((int)0); // version) | L104:Write(Quester)) | L105:Write(Name)) | L106:Write(WhenCompleted)) | L107:Write(WhenStarted)) | L108:Write(Difficulty)) | L109:Write(TimesCompleted)) | L110:Write(PartyEnabled))","L115:ReadInt | L120:ReadMobile | L121:ReadString | L122:ReadDateTime | L123:ReadDateTime | L124:ReadInt | L125:ReadInt | L126:ReadBool","Source-reviewed helper serializer; current contract uses DeserializeMethod and does not require a base serializer. Conditional, compact, or list formats are preserved exactly as current source defines them.","Low as-is. Risk returns if a future edit treats this helper as an ordinary Item/Mobile serializer, adds inappropriate base calls, or changes compact/list/conditional field order.","No migration/source fix recommended. Preserve current helper/version-gated persistence contract; future edits must document the exact old-save format and keep conditional/list/default branches compatible.","Keep existing helper constructor/static Deserialize defaults, null sentinels, compact flags, list counts, and old-version discard branches; no new fallback required in this audit batch.","If a later source batch changes this serializer: regenerate serialization-register, compare write/read maps before and after, build Data/System/Source/Server.csproj Debug/x86, and run .\ConficturaServer.exe -compileonly -nocache. POST-BATCH-U itself requires row/count reconciliation, changed-scope check, and git diff --check only.","Rollback by reverting any future serializer source edit and restoring the previous write/read order; this batch itself changes only audit artifacts and can be reverted without save-format impact.","ReviewedNoChange","HelperSerializerReviewedNoChange","Closed migration gate as reviewed no-change after direct source review of helper/version-gated persistence; no source migration is needed.","Pending final verification: review CSV row count, active overlay reconciliation, changed scope check, and git diff --check.","POST-BATCH-N lane=POST-BATCH-N-SAVE-MIGRATION-PLAN; FileProofStatus=CurrentPathConfirmed; Class=Server.Engines.XmlSpawner2.QuestEntry; Serialize=L100; Reader=DeserializeMethod:L113; RegisterBase=MissingBaseSerialize; RegisterVersion=Switch; RegisterAlignment=CountMatchNeedsTypeReview:UnknownWrites=7; Writes=8; Reads=8; WriteEvidence=L102:Write((int)0); // version) | L104:Write(Quester)) | L105:Write(Name)) | L106:Write(WhenCompleted)) | L107:Write(WhenStarted)) | L108:Write(Difficulty)) | L109:Write(TimesCompleted)) | L110:Write(PartyEnabled)); ReadEvidence=L115:ReadInt | L120:ReadMobile | L121:ReadString | L122:ReadDateTime | L123:ReadDateTime | L124:ReadInt | L125:ReadInt | L126:ReadBool; POST-BATCH-U direct source review=HelperSerializerReviewedNoChange","2026-06-14T22:49:23.8796880-05:00","Queue row=PBN-0483; previous artifact=docs/codebase-audit/outputs/post-batch-j-p1-save-compat-review.csv; prior risk gate=Serialization base-call, version, or write/read ambiguity may affect save layout; no source edit is approved until a migration plan exists.; no source/project/XML/config/data behavior changed."
"POST-BATCH-U","PBU-0004","RB-00385","PBN-0484","P10-F00385","POST-BATCH-J","PBJ-0174","Save compatibility","Items:Boats","Data/Scripts/Items/Boats/BoatBuild.cs","Server.Items.BoatBuild","Item","Serial constructor found at L179","BaseCallsFirst","BaseCallsFirst","L185","L195","L185:Write((int)1); // version) | L187:Write(HaveWood)) | L188:Write(HaveCloth)) | L189:Write(HaveIngots))","L195:ReadInt | L197:ReadInt | L198:ReadInt | L199:ReadInt","Source-reviewed aligned serializer; current register flagged CountMatchNeedsTypeReview:UnknownWrites=3 because writer types or encoded version markers needed manual review. Current source has base calls first, version/write evidence, read evidence, and ordered fields preserved.","Low as-is. Risk returns only if a future source batch reorders existing fields, changes field types, or renames the serialized namespace/type without migration approval.","No migration/source fix recommended. Preserve current base-call, version, writer/reader order, namespace, and type name; future serializer edits must use a new version and guarded old-save reads.","Keep current version read/write and field initializers; no new fallback required because no source layout change is approved.","If a later source batch changes this serializer: regenerate serialization-register, compare write/read maps before and after, build Data/System/Source/Server.csproj Debug/x86, and run .\ConficturaServer.exe -compileonly -nocache. POST-BATCH-U itself requires row/count reconciliation, changed-scope check, and git diff --check only.","Rollback by reverting any future serializer source edit and restoring the previous write/read order; this batch itself changes only audit artifacts and can be reverted without save-format impact.","FalsePositive","ScannerAmbiguityFalsePositive","Closed migration gate as scanner ambiguity false positive after direct source review; no source migration is needed.","Pending final verification: review CSV row count, active overlay reconciliation, changed scope check, and git diff --check.","POST-BATCH-N lane=POST-BATCH-N-SAVE-MIGRATION-PLAN; FileProofStatus=CurrentPathConfirmed; Class=Server.Items.BoatBuild; Serialize=L182; Reader=DeserializeMethod:L192; RegisterBase=BaseCallsFirst; RegisterVersion=SuspiciousOrder; RegisterAlignment=CountMatchNeedsTypeReview:UnknownWrites=3; Writes=4; Reads=4; WriteEvidence=L185:Write((int)1); // version) | L187:Write(HaveWood)) | L188:Write(HaveCloth)) | L189:Write(HaveIngots)); ReadEvidence=L195:ReadInt | L197:ReadInt | L198:ReadInt | L199:ReadInt; POST-BATCH-U direct source review=ScannerAmbiguityFalsePositive","2026-06-14T22:49:23.8796880-05:00","Queue row=PBN-0484; previous artifact=docs/codebase-audit/outputs/post-batch-j-p1-save-compat-review.csv; prior risk gate=Serialization base-call, version, or write/read ambiguity may affect save layout; no source edit is approved until a migration plan exists.; no source/project/XML/config/data behavior changed."
"POST-BATCH-U","PBU-0005","RB-00386","PBN-0485","P10-F00386","POST-BATCH-J","PBJ-0175","Save compatibility","Items:Boats","Data/Scripts/Items/Boats/CarpetBuild.cs","Server.Items.CarpetBuild","Item","Serial constructor found at L254","BaseCallsFirst","BaseCallsFirst","L260","L269","L260:Write((int)1); // version) | L262:Write(HaveGold)) | L263:Write(HaveCloth))","L269:ReadInt | L271:ReadInt | L272:ReadInt","Source-reviewed aligned serializer; current register flagged CountMatchNeedsTypeReview:UnknownWrites=2 because writer types or encoded version markers needed manual review. Current source has base calls first, version/write evidence, read evidence, and ordered fields preserved.","Low as-is. Risk returns only if a future source batch reorders existing fields, changes field types, or renames the serialized namespace/type without migration approval.","No migration/source fix recommended. Preserve current base-call, version, writer/reader order, namespace, and type name; future serializer edits must use a new version and guarded old-save reads.","Keep current version read/write and field initializers; no new fallback required because no source layout change is approved.","If a later source batch changes this serializer: regenerate serialization-register, compare write/read maps before and after, build Data/System/Source/Server.csproj Debug/x86, and run .\ConficturaServer.exe -compileonly -nocache. POST-BATCH-U itself requires row/count reconciliation, changed-scope check, and git diff --check only.","Rollback by reverting any future serializer source edit and restoring the previous write/read order; this batch itself changes only audit artifacts and can be reverted without save-format impact.","FalsePositive","ScannerAmbiguityFalsePositive","Closed migration gate as scanner ambiguity false positive after direct source review; no source migration is needed.","Pending final verification: review CSV row count, active overlay reconciliation, changed scope check, and git diff --check.","POST-BATCH-N lane=POST-BATCH-N-SAVE-MIGRATION-PLAN; FileProofStatus=CurrentPathConfirmed; Class=Server.Items.CarpetBuild; Serialize=L257; Reader=DeserializeMethod:L266; RegisterBase=BaseCallsFirst; RegisterVersion=SuspiciousOrder; RegisterAlignment=CountMatchNeedsTypeReview:UnknownWrites=2; Writes=3; Reads=3; WriteEvidence=L260:Write((int)1); // version) | L262:Write(HaveGold)) | L263:Write(HaveCloth)); ReadEvidence=L269:ReadInt | L271:ReadInt | L272:ReadInt; POST-BATCH-U direct source review=ScannerAmbiguityFalsePositive","2026-06-14T22:49:23.8796880-05:00","Queue row=PBN-0485; previous artifact=docs/codebase-audit/outputs/post-batch-j-p1-save-compat-review.csv; prior risk gate=Serialization base-call, version, or write/read ambiguity may affect save layout; no source edit is approved until a migration plan exists.; no source/project/XML/config/data behavior changed."
"POST-BATCH-U","PBU-0006","RB-00423","PBN-0486","P10-F00423","POST-BATCH-J","PBJ-0209","Save compatibility","Items:Books","Data/Scripts/Items/Books/MerchantsBook.cs","Server.Items.MerchantsBook","Item","Serial constructor found at L1692","BaseCallsFirst","BaseCallsFirst","L1698","L1710","L1698:Write((int)1); // version) | L1699:Write(AmountSold)) | L1700:Write(BookTitle)) | L1701:Write(MaterialType)) | L1702:Write(MaterialSpecific)) | L1703:Write(MarkUp)) | L1704:WriteEncodedInt((int)m_Resource))","L1710:ReadInt | L1711:ReadInt | L1712:ReadString | L1713:ReadString | L1714:ReadString | L1715:ReadDouble | L1716:ReadEncodedInt","Source-reviewed aligned serializer; current register flagged CountMatchNeedsTypeReview:UnknownWrites=5 because writer types or encoded version markers needed manual review. Current source has base calls first, version/write evidence, read evidence, and ordered fields preserved.","Low as-is. Risk returns only if a future source batch reorders existing fields, changes field types, or renames the serialized namespace/type without migration approval.","No migration/source fix recommended. Preserve current base-call, version, writer/reader order, namespace, and type name; future serializer edits must use a new version and guarded old-save reads.","Keep current version read/write and field initializers; no new fallback required because no source layout change is approved.","If a later source batch changes this serializer: regenerate serialization-register, compare write/read maps before and after, build Data/System/Source/Server.csproj Debug/x86, and run .\ConficturaServer.exe -compileonly -nocache. POST-BATCH-U itself requires row/count reconciliation, changed-scope check, and git diff --check only.","Rollback by reverting any future serializer source edit and restoring the previous write/read order; this batch itself changes only audit artifacts and can be reverted without save-format impact.","FalsePositive","ScannerAmbiguityFalsePositive","Closed migration gate as scanner ambiguity false positive after direct source review; no source migration is needed.","Pending final verification: review CSV row count, active overlay reconciliation, changed scope check, and git diff --check.","POST-BATCH-N lane=POST-BATCH-N-SAVE-MIGRATION-PLAN; FileProofStatus=CurrentPathConfirmed; Class=Server.Items.MerchantsBook; Serialize=L1695; Reader=DeserializeMethod:L1707; RegisterBase=BaseCallsFirst; RegisterVersion=SuspiciousOrder; RegisterAlignment=CountMatchNeedsTypeReview:UnknownWrites=5; Writes=7; Reads=7; WriteEvidence=L1698:Write((int)1); // version) | L1699:Write(AmountSold)) | L1700:Write(BookTitle)) | L1701:Write(MaterialType)) | L1702:Write(MaterialSpecific)) | L1703:Write(MarkUp)) | L1704:WriteEncodedInt((int)m_Resource)); ReadEvidence=L1710:ReadInt | L1711:ReadInt | L1712:ReadString | L1713:ReadString | L1714:ReadString | L1715:ReadDouble | L1716:ReadEncodedInt; POST-BATCH-U direct source review=ScannerAmbiguityFalsePositive","2026-06-14T22:49:23.8796880-05:00","Queue row=PBN-0486; previous artifact=docs/codebase-audit/outputs/post-batch-j-p1-save-compat-review.csv; prior risk gate=Serialization base-call, version, or write/read ambiguity may affect save layout; no source edit is approved until a migration plan exists.; no source/project/XML/config/data behavior changed."
"POST-BATCH-U","PBU-0007","RB-00449","PBN-0487","P10-F00449","POST-BATCH-J","PBJ-0229","Save compatibility","Items:Construction","Data/Scripts/Items/Construction/Addons/BallotBox.cs","Server.Items.BallotBox","Addon","Serial constructor found at L49","BaseCallsFirst","BaseCallsFirst","L312","L327","L312:WriteEncodedInt(0); // version) | L314:WriteEncodedInt(m_Topic.Length)) | L317:Write((string)m_Topic[i])) | L319:Write(m_Yes, true)) | L320:Write(m_No, true))","L327:ReadEncodedInt | L329:ReadEncodedInt | L332:ReadString | L334:ReadStrongMobileList | L335:ReadStrongMobileList","Source-reviewed aligned serializer; current register flagged CountMatchNeedsTypeReview:UnknownWrites=2 because writer types or encoded version markers needed manual review. Current source has base calls first, version/write evidence, read evidence, and ordered fields preserved.","Low as-is. Risk returns only if a future source batch reorders existing fields, changes field types, or renames the serialized namespace/type without migration approval.","No migration/source fix recommended. Preserve current base-call, version, writer/reader order, namespace, and type name; future serializer edits must use a new version and guarded old-save reads.","Keep current version read/write and field initializers; no new fallback required because no source layout change is approved.","If a later source batch changes this serializer: regenerate serialization-register, compare write/read maps before and after, build Data/System/Source/Server.csproj Debug/x86, and run .\ConficturaServer.exe -compileonly -nocache. POST-BATCH-U itself requires row/count reconciliation, changed-scope check, and git diff --check only.","Rollback by reverting any future serializer source edit and restoring the previous write/read order; this batch itself changes only audit artifacts and can be reverted without save-format impact.","FalsePositive","ScannerAmbiguityFalsePositive","Closed migration gate as scanner ambiguity false positive after direct source review; no source migration is needed.","Pending final verification: review CSV row count, active overlay reconciliation, changed scope check, and git diff --check.","POST-BATCH-N lane=POST-BATCH-N-SAVE-MIGRATION-PLAN; FileProofStatus=CurrentPathConfirmed; Class=Server.Items.BallotBox; Serialize=L308; Reader=DeserializeMethod:L323; RegisterBase=BaseCallsFirst; RegisterVersion=NoVersionFound; RegisterAlignment=CountMatchNeedsTypeReview:UnknownWrites=2; Writes=5; Reads=5; WriteEvidence=L312:WriteEncodedInt(0); // version) | L314:WriteEncodedInt(m_Topic.Length)) | L317:Write((string)m_Topic[i])) | L319:Write(m_Yes, true)) | L320:Write(m_No, true)); ReadEvidence=L327:ReadEncodedInt | L329:ReadEncodedInt | L332:ReadString | L334:ReadStrongMobileList | L335:ReadStrongMobileList; POST-BATCH-U direct source review=ScannerAmbiguityFalsePositive","2026-06-14T22:49:23.8796880-05:00","Queue row=PBN-0487; previous artifact=docs/codebase-audit/outputs/post-batch-j-p1-save-compat-review.csv; prior risk gate=Serialization base-call, version, or write/read ambiguity may affect save layout; no source edit is approved until a migration plan exists.; no source/project/XML/config/data behavior changed."
"POST-BATCH-U","PBU-0008","RB-00651","PBN-0488","P10-F00651","POST-BATCH-J","PBJ-0429","Save compatibility","Items:Farming","Data/Scripts/Items/Farming/FarmableCrop.cs","Server.Items.FarmableCrop","Item","Serial constructor found at L104","BaseCallsFirst","BaseCallsFirst","L110","L117","L110:WriteEncodedInt(0); // version) | L111:Write(m_Picked))","L117:ReadEncodedInt | L121:ReadBool","Source-reviewed aligned serializer; current register flagged CountMatchNeedsTypeReview:UnknownWrites=1 because writer types or encoded version markers needed manual review. Current source has base calls first, version/write evidence, read evidence, and ordered fields preserved.","Low as-is. Risk returns only if a future source batch reorders existing fields, changes field types, or renames the serialized namespace/type without migration approval.","No migration/source fix recommended. Preserve current base-call, version, writer/reader order, namespace, and type name; future serializer edits must use a new version and guarded old-save reads.","Keep current version read/write and field initializers; no new fallback required because no source layout change is approved.","If a later source batch changes this serializer: regenerate serialization-register, compare write/read maps before and after, build Data/System/Source/Server.csproj Debug/x86, and run .\ConficturaServer.exe -compileonly -nocache. POST-BATCH-U itself requires row/count reconciliation, changed-scope check, and git diff --check only.","Rollback by reverting any future serializer source edit and restoring the previous write/read order; this batch itself changes only audit artifacts and can be reverted without save-format impact.","FalsePositive","ScannerAmbiguityFalsePositive","Closed migration gate as scanner ambiguity false positive after direct source review; no source migration is needed.","Pending final verification: review CSV row count, active overlay reconciliation, changed scope check, and git diff --check.","POST-BATCH-N lane=POST-BATCH-N-SAVE-MIGRATION-PLAN; FileProofStatus=CurrentPathConfirmed; Class=Server.Items.FarmableCrop; Serialize=L107; Reader=DeserializeMethod:L114; RegisterBase=BaseCallsFirst; RegisterVersion=NoVersionFound; RegisterAlignment=CountMatchNeedsTypeReview:UnknownWrites=1; Writes=2; Reads=2; WriteEvidence=L110:WriteEncodedInt(0); // version) | L111:Write(m_Picked)); ReadEvidence=L117:ReadEncodedInt | L121:ReadBool; POST-BATCH-U direct source review=ScannerAmbiguityFalsePositive","2026-06-14T22:49:23.8796880-05:00","Queue row=PBN-0488; previous artifact=docs/codebase-audit/outputs/post-batch-j-p1-save-compat-review.csv; prior risk gate=Serialization base-call, version, or write/read ambiguity may affect save layout; no source edit is approved until a migration plan exists.; no source/project/XML/config/data behavior changed."
"POST-BATCH-U","PBU-0009","RB-00739","PBN-0489","P10-F00739","POST-BATCH-J","PBJ-0501","Save compatibility","Items:Magical","Data/Scripts/Items/Magical/Artifacts/Artifact_AcidProofRobe.cs","Server.Items.Artifact_AcidProofRobe","Item","Serial constructor found at L77","BaseCallsFirst","BaseCallsFirst","L83","L90","L83:Write((int)1)) | L84:Write(TimeUsed))","L90:ReadInt | L91:ReadDateTime","Source-reviewed aligned serializer; current register flagged CountMatchNeedsTypeReview:UnknownWrites=1 because writer types or encoded version markers needed manual review. Current source has base calls first, version/write evidence, read evidence, and ordered fields preserved.","Low as-is. Risk returns only if a future source batch reorders existing fields, changes field types, or renames the serialized namespace/type without migration approval.","No migration/source fix recommended. Preserve current base-call, version, writer/reader order, namespace, and type name; future serializer edits must use a new version and guarded old-save reads.","Keep current version read/write and field initializers; no new fallback required because no source layout change is approved.","If a later source batch changes this serializer: regenerate serialization-register, compare write/read maps before and after, build Data/System/Source/Server.csproj Debug/x86, and run .\ConficturaServer.exe -compileonly -nocache. POST-BATCH-U itself requires row/count reconciliation, changed-scope check, and git diff --check only.","Rollback by reverting any future serializer source edit and restoring the previous write/read order; this batch itself changes only audit artifacts and can be reverted without save-format impact.","FalsePositive","ScannerAmbiguityFalsePositive","Closed migration gate as scanner ambiguity false positive after direct source review; no source migration is needed.","Pending final verification: review CSV row count, active overlay reconciliation, changed scope check, and git diff --check.","POST-BATCH-N lane=POST-BATCH-N-SAVE-MIGRATION-PLAN; FileProofStatus=CurrentPathConfirmed; Class=Server.Items.Artifact_AcidProofRobe; Serialize=L80; Reader=DeserializeMethod:L87; RegisterBase=BaseCallsFirst; RegisterVersion=SuspiciousOrder; RegisterAlignment=CountMatchNeedsTypeReview:UnknownWrites=1; Writes=2; Reads=2; WriteEvidence=L83:Write((int)1)) | L84:Write(TimeUsed)); ReadEvidence=L90:ReadInt | L91:ReadDateTime; POST-BATCH-U direct source review=ScannerAmbiguityFalsePositive","2026-06-14T22:49:23.8796880-05:00","Queue row=PBN-0489; previous artifact=docs/codebase-audit/outputs/post-batch-j-p1-save-compat-review.csv; prior risk gate=Serialization base-call, version, or write/read ambiguity may affect save layout; no source edit is approved until a migration plan exists.; no source/project/XML/config/data behavior changed."
"POST-BATCH-U","PBU-0010","RB-00770","PBN-0490","P10-F00770","POST-BATCH-J","PBJ-0532","Save compatibility","Items:Magical","Data/Scripts/Items/Magical/Artifacts/Artifact_GandalfsStaff.cs","Server.Items.Artifact_GandalfsStaff","Item","Serial constructor found at L75","BaseCallsFirst","BaseCallsFirst","L81","L88","L81:Write((int)1)) | L82:Write(TimeUsed))","L88:ReadInt | L89:ReadDateTime","Source-reviewed aligned serializer; current register flagged CountMatchNeedsTypeReview:UnknownWrites=1 because writer types or encoded version markers needed manual review. Current source has base calls first, version/write evidence, read evidence, and ordered fields preserved.","Low as-is. Risk returns only if a future source batch reorders existing fields, changes field types, or renames the serialized namespace/type without migration approval.","No migration/source fix recommended. Preserve current base-call, version, writer/reader order, namespace, and type name; future serializer edits must use a new version and guarded old-save reads.","Keep current version read/write and field initializers; no new fallback required because no source layout change is approved.","If a later source batch changes this serializer: regenerate serialization-register, compare write/read maps before and after, build Data/System/Source/Server.csproj Debug/x86, and run .\ConficturaServer.exe -compileonly -nocache. POST-BATCH-U itself requires row/count reconciliation, changed-scope check, and git diff --check only.","Rollback by reverting any future serializer source edit and restoring the previous write/read order; this batch itself changes only audit artifacts and can be reverted without save-format impact.","FalsePositive","ScannerAmbiguityFalsePositive","Closed migration gate as scanner ambiguity false positive after direct source review; no source migration is needed.","Pending final verification: review CSV row count, active overlay reconciliation, changed scope check, and git diff --check.","POST-BATCH-N lane=POST-BATCH-N-SAVE-MIGRATION-PLAN; FileProofStatus=CurrentPathConfirmed; Class=Server.Items.Artifact_GandalfsStaff; Serialize=L78; Reader=DeserializeMethod:L85; RegisterBase=BaseCallsFirst; RegisterVersion=SuspiciousOrder; RegisterAlignment=CountMatchNeedsTypeReview:UnknownWrites=1; Writes=2; Reads=2; WriteEvidence=L81:Write((int)1)) | L82:Write(TimeUsed)); ReadEvidence=L88:ReadInt | L89:ReadDateTime; POST-BATCH-U direct source review=ScannerAmbiguityFalsePositive","2026-06-14T22:49:23.8796880-05:00","Queue row=PBN-0490; previous artifact=docs/codebase-audit/outputs/post-batch-j-p1-save-compat-review.csv; prior risk gate=Serialization base-call, version, or write/read ambiguity may affect save layout; no source edit is approved until a migration plan exists.; no source/project/XML/config/data behavior changed."
