"System","CardSystems","File","Namespace","Class","TypeName","BaseType","Kind","IncludedInScriptsProject","MissingCompileTarget","UnincludedSource","HasSerialConstructor","SerializeLine","DeserializeLine","BaseSerializeLine","BaseDeserializeLine","BaseCallStatus","CurrentVersion","VersionWriteLine","VersionReadLine","VersionHandling","OlderVersions","WriteCount","ReadCount","Writes","Reads","FieldAlignment","DeletedFields","MoveRenameRisk","MoveRenameRiskReason","CommentNeeded","CommentReason","ReviewStatus","ReviewReasons","Evidence"
"Custom:Access Level Stone [2.0]","","Data/Scripts/Custom/Access Level Stone [2.0]/AccessLevelStone.cs","Server.Items","Server.Items.AccessLevelStone","AccessLevelStone","Item","Item","True","False","False","True","82","96","84","98","BaseCallsFirst","1","85","99","Switch","1","4","4","L85:Write[int]:(int)1; L88:Write[int]:(int)m_StoredAccessLevel; L90:Write[Unknown]:m_Owner != null; L93:Write[Unknown]:m_Owner","L99:ReadInt[Int]:; L105:ReadInt[Int]:; L107:ReadBool[Bool]:; L108:ReadMobile[Mobile]:","CountMatchNeedsTypeReview:UnknownWrites=2","","NamespaceOrTypeRenameDanger","World saves bind serialized namespace and type name; do not rename without a migration plan.","Yes","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","MachineMapped","","Serialize:L82;Deserialize:L96;SerialCtor:L79;VersionWrite:L85;VersionRead:L99"
"Custom:AnimalSystem","Bulk Orders","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/DragonShapeChangeStone-body.cs","Server.Items","Server.Items.DragonShapeShiftStone","DragonShapeShiftStone","Item","Controller","True","False","False","True","134","145","136","147","BaseCallsFirst","1","137","148","SwitchGotoCase","0;1","5","5","L137:Write[int]:(int)1; L138:Write[int]:(int)s_BodyValue; L139:Write[int]:(int)m_Transformed; L140:Write[int]:(int)m_SkinBodyValue; L141:Write[int]:(int)m_BodyValue","L148:ReadInt[Int]:; L153:ReadInt[Int]:; L158:ReadInt[Int]:; L159:ReadInt[Int]:; L160:ReadInt[Int]:","AlignedByCountAndKnownTypes","","NamespaceOrTypeRenameDanger","World saves bind serialized namespace and type name; do not rename without a migration plan.","Yes","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","MachineMapped","","Serialize:L134;Deserialize:L145;SerialCtor:L25;VersionWrite:L137;VersionRead:L148"
"Custom:AnimalSystem","","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/FaeryShapeChangeStone.cs","Server.Items","Server.Items.FaerieShapeShiftStone","FaerieShapeShiftStone","Item","Controller","True","False","False","True","119","129","121","131","BaseCallsFirst","0","122","132","SingleVersionOnly","","4","4","L122:Write[int]:(int) 0; L123:Write[int]:(int) m_Transformed; L124:Write[int]:(int) m_SkinHue; L125:Write[int]:(int) m_BodyValue","L132:ReadInt[Int]:; L133:ReadInt[Int]:; L134:ReadInt[Int]:; L135:ReadInt[Int]:","AlignedByCountAndKnownTypes","","NamespaceOrTypeRenameDanger","World saves bind serialized namespace and type name; do not rename without a migration plan.","No","","MachineMapped","","Serialize:L119;Deserialize:L129;SerialCtor:L21;VersionWrite:L122;VersionRead:L132"
"Custom:AnimalSystem","","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/FelinusShapeChangeStone.cs","Server.Items","Server.Items.FelinusShapeShiftStone","FelinusShapeShiftStone","Item","Controller","True","False","False","True","126","137","128","139","BaseCallsFirst","1","129","140","SwitchGotoCase","0;1","5","5","L129:Write[int]:(int)1; L130:Write[int]:(int)s_Hue; L131:Write[int]:(int)m_Transformed; L132:Write[int]:(int)m_SkinHue; L133:Write[int]:(int)m_BodyValue","L140:ReadInt[Int]:; L145:ReadInt[Int]:; L150:ReadInt[Int]:; L151:ReadInt[Int]:; L152:ReadInt[Int]:","AlignedByCountAndKnownTypes","","NamespaceOrTypeRenameDanger","World saves bind serialized namespace and type name; do not rename without a migration plan.","Yes","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","MachineMapped","","Serialize:L126;Deserialize:L137;SerialCtor:L25;VersionWrite:L129;VersionRead:L140"
"Custom:AnimalSystem","","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/RatShapeChangeStone.cs","Server.Items","Server.Items.RatShapeShiftStone","RatShapeShiftStone","Item","Controller","True","False","False","True","126","137","128","139","BaseCallsFirst","1","129","140","SwitchGotoCase","0;1","5","5","L129:Write[int]:(int)1; L130:Write[int]:(int)s_Hue; L131:Write[int]:(int)m_Transformed; L132:Write[int]:(int)m_SkinHue; L133:Write[int]:(int)m_BodyValue","L140:ReadInt[Int]:; L145:ReadInt[Int]:; L150:ReadInt[Int]:; L151:ReadInt[Int]:; L152:ReadInt[Int]:","AlignedByCountAndKnownTypes","","NamespaceOrTypeRenameDanger","World saves bind serialized namespace and type name; do not rename without a migration plan.","Yes","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","MachineMapped","","Serialize:L126;Deserialize:L137;SerialCtor:L25;VersionWrite:L129;VersionRead:L140"
"Custom:AnimalSystem","","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/WolvenShapeChangeStone.cs","Server.Items","Server.Items.WolvenShapeShiftStone","WolvenShapeShiftStone","Item","Controller","True","False","False","True","126","137","128","139","BaseCallsFirst","1","129","140","SwitchGotoCase","0;1","5","5","L129:Write[int]:(int)1; L130:Write[int]:(int)s_Hue; L131:Write[int]:(int)m_Transformed; L132:Write[int]:(int)m_SkinHue; L133:Write[int]:(int)m_BodyValue","L140:ReadInt[Int]:; L145:ReadInt[Int]:; L150:ReadInt[Int]:; L151:ReadInt[Int]:; L152:ReadInt[Int]:","AlignedByCountAndKnownTypes","","NamespaceOrTypeRenameDanger","World saves bind serialized namespace and type name; do not rename without a migration plan.","Yes","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","MachineMapped","","Serialize:L126;Deserialize:L137;SerialCtor:L25;VersionWrite:L129;VersionRead:L140"
"Custom:Book Publisher [2.0]","","Data/Scripts/Custom/Book Publisher [2.0]/PublishedBook.cs","Server.Items","Server.Items.PublishedBook","PublishedBook","BaseBook","Other","True","False","False","True","215","193","217","195","BaseCallsFirst","0","218","196","Switch","0","7","6","L218:Write[int]:(int)0; L220:Write[Unknown]:string.Empty; L222:Write[Unknown]:string.Join("""", m_Contributors); L223:Write[Unknown]:m_FirstPublished; L224:Write[Unknown]:m_LastPublished; L225:Write[Unknown]:m_OriginalHash; L226:Write[Unknown]:m_PublishID","L196:ReadInt[Int]:; L201:ReadString[String]:; L206:ReadDateTime[DateTime]:; L207:ReadDateTime[DateTime]:; L208:ReadString[String]:; L209:ReadString[String]:","CountMismatch:Writes=6;Reads=5","","NamespaceOrTypeRenameDanger","World saves bind serialized namespace and type name; do not rename without a migration plan.","Yes","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","NeedsSourceReview","CountMismatch:Writes=6;Reads=5","Serialize:L215;Deserialize:L193;SerialCtor:L190;VersionWrite:L218;VersionRead:L196"
"Custom:Book Publisher [2.0]","","Data/Scripts/Custom/Book Publisher [2.0]/Publisher.cs","Server.Mobiles","Server.Mobiles.Publisher","Publisher","BaseVendor","Other","True","False","False","True","32","39","34","41","BaseCallsFirst","0","36","43","SingleVersionOnly","","1","1","L36:Write[int]:(int)0","L43:ReadInt[Int]:","AlignedByCountAndKnownTypes","","NamespaceOrTypeRenameDanger","World saves bind serialized namespace and type name; do not rename without a migration plan.","No","","MachineMapped","","Serialize:L32;Deserialize:L39;SerialCtor:L29;VersionWrite:L36;VersionRead:L43"
"Custom:CEO's GM Hiding Stone [2.0]","","Data/Scripts/Custom/CEO's GM Hiding Stone [2.0]/gmhidingstone.cs","Server.Items","Server.Items.GMHidingStone","GMHidingStone","Item","Item","True","False","False","True","748","758","750","760","BaseCallsFirst","2","751","762","Switch","1;2","5","7","L751:Write[int]:(int)2; L752:Write[int]:(int)mAppearEffect; L753:Write[int]:(int)mHideEffect; L754:Write[Unknown]:mAppearEffectHue; L755:Write[Unknown]:mHideEffectHue","L762:ReadInt[Int]:; L768:ReadInt[Int]:; L769:ReadInt[Int]:; L774:ReadInt[Int]:; L775:ReadInt[Int]:; L776:ReadInt[Int]:; L777:ReadInt[Int]:","CountMismatch:Writes=4;Reads=6","","NamespaceOrTypeRenameDanger","World saves bind serialized namespace and type name; do not rename without a migration plan.","Yes","Fragile serialization order, version gates, discarded reads, or move/rename risk should be reviewed for a Phase 11 source comment.","NeedsSourceReview","CountMismatch:Writes=4;Reads=6","Serialize:L748;Deserialize:L758;SerialCtor:L745;VersionWrite:L751;VersionRead:L762"
"Custom:Champions","Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastBackpack.cs","Server.Items","Server.Items.PlagueBeastBackpack","PlagueBeastBackpack","BaseContainer","Item","True","False","False","True","209","216","211","218","BaseCallsFirst","Unknown","","","NoVersionFound","","1","1","L213:WriteEncodedInt[EncodedInt]:0","L220:ReadEncodedInt[EncodedInt]:","AlignedByCountAndKnownTypes","","NamespaceOrTypeRenameDanger","World saves bind serialized namespace and type name; do not rename without a migration plan.","No","","NeedsSourceReview","NoVersionFound","Serialize:L209;Deserialize:L216;SerialCtor:L206"
