"CandidateId","ProposedBatchId","RecommendationRank","Recommendation","BehaviorToChange","System","ExpectedSourceFiles","NonGatedRationale","PostBatchYGateHitCount","PostBatchYGateEvidence","ActiveOverlayRows","ActiveOverlayEvidence","Risks","VerificationRequired","WhatMustStayUnchanged","SourceEvidence","SuggestedGoalShape"
"SB144-CAND-001","SOURCE-BATCH-144","1","RecommendedTarget","Add stale/null/mobile/source-container guards to CorpseChest.OnDragLift(Mobile from) before reading from.Luck, changing container weight/movable state, or filling loot.","Items:Containers / CorpseChest","Data/Scripts/Items/Containers/CorpseChest.cs","Single loot-container file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves delayed-fill behavior and return value.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Containers/CorpseChest.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Containers/CorpseChest.cs.","Implementation must not change weight threshold, Movable assignment, FillMeUpLevel math, GetPlayerInfo.LuckyPlayer use, ContainerFunctions.FillTheContainer call, return true behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/fill scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still performs the existing delayed fill when Weight > 10 and still returns true; constructor fields and serialization stay unchanged.","Discovery found CorpseChest.OnDragLift reading from.Luck before stale/null guards.","SOURCE-BATCH-144 CorpseChest Guard Repair"
"SB144-CAND-002","SOURCE-BATCH-145","2","NextCleanCandidate","Add stale/null/mobile/source-container guards to CorpseSailor.OnDragLift(Mobile from) before reading from.Luck, changing container weight/movable state, or filling loot.","Items:Containers / CorpseSailor","Data/Scripts/Items/Containers/CorpseSailor.cs","Single loot-container file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves delayed-fill behavior and return value.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Containers/CorpseSailor.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Containers/CorpseSailor.cs.","Implementation must not change weight threshold, Movable assignment, FillMeUpLevel math, GetPlayerInfo.LuckyPlayer use, ContainerFunctions.FillTheContainer call, return true behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/fill scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still performs the existing delayed fill when Weight > 10 and still returns true; constructor fields and serialization stay unchanged.","Discovery found CorpseSailor.OnDragLift reading from.Luck before stale/null guards.","SOURCE-BATCH-145 CorpseSailor Guard Repair"
"SB144-CAND-003","SOURCE-BATCH-146","3","NextCleanCandidate","Add stale/null/mobile/source-container guards to LootBag.OnDragLift(Mobile from) before reading from.Luck, changing container weight/movable state, or filling loot.","Items:Containers / LootBag","Data/Scripts/Items/Containers/LootBag.cs","Single loot-container file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves delayed-fill behavior and return value.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Containers/LootBag.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Containers/LootBag.cs.","Implementation must not change weight threshold, Movable assignment, FillMeUpLevel math, GetPlayerInfo.LuckyPlayer use, ContainerFunctions.FillTheContainer call, return true behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/fill scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still performs the existing delayed fill when Weight > 10 and still returns true; constructor fields and serialization stay unchanged.","Discovery found LootBag.OnDragLift reading from.Luck before stale/null guards.","SOURCE-BATCH-146 LootBag Guard Repair"
"SB144-CAND-004","SOURCE-BATCH-147","4","NextCleanCandidate","Add stale/null/mobile/source-container guards to LootChest.OnDragLift(Mobile from) before reading from.Luck, changing container weight/movable state, or filling loot.","Items:Containers / LootChest","Data/Scripts/Items/Containers/LootChest.cs","Single loot-container file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves delayed-fill behavior and return value.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Containers/LootChest.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Containers/LootChest.cs.","Implementation must not change weight threshold, Movable assignment, FillMeUpLevel math, GetPlayerInfo.LuckyPlayer use, ContainerFunctions.FillTheContainer call, return true behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/fill scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still performs the existing delayed fill when Weight > 50 and still returns true; constructor fields and serialization stay unchanged.","Discovery found LootChest.OnDragLift reading from.Luck before stale/null guards.","SOURCE-BATCH-147 LootChest Guard Repair"
"SB144-CAND-005","SOURCE-BATCH-148","5","NextCleanCandidate","Add stale/null/mobile/source-container guards to PirateChest.OnDragLift(Mobile from) before reading from.Luck, changing container weight/movable state, or filling loot.","Items:Containers / PirateChest","Data/Scripts/Items/Containers/PirateChest.cs","Single loot-container file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves delayed-fill behavior and return value.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Containers/PirateChest.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Containers/PirateChest.cs.","Implementation must not change weight threshold, Movable assignment, FillMeUpLevel math, GetPlayerInfo.LuckyPlayer use, ContainerFunctions.FillTheContainer call, return true behavior, ContainerOwner serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/fill scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still performs the existing delayed fill when Weight > 50 and still returns true; constructor fields, ContainerOwner display, and serialization stay unchanged.","Discovery found PirateChest.OnDragLift reading from.Luck before stale/null guards.","SOURCE-BATCH-148 PirateChest Guard Repair"
"SB144-CAND-006","SOURCE-BATCH-149","6","NextCleanCandidate","Add stale/null/mobile/source-container guards to SunkenBag.OnDragLift(Mobile from) before reading from.Luck, changing container weight/movable state, or filling loot.","Items:Containers / SunkenBag","Data/Scripts/Items/Containers/SunkenBag.cs","Single loot-container file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves delayed-fill behavior and return value.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Containers/SunkenBag.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Containers/SunkenBag.cs.","Implementation must not change random naming, weight threshold, Movable assignment, FillMeUpLevel math, GetPlayerInfo.LuckyPlayer use, ContainerFunctions.FillTheContainer call, return true behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/fill scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still performs the existing delayed fill when Weight > 10 and still returns true; random naming, constructor fields, and serialization stay unchanged.","Discovery found SunkenBag.OnDragLift reading from.Luck before stale/null guards.","SOURCE-BATCH-149 SunkenBag Guard Repair"
"SB144-CAND-007","SOURCE-BATCH-150","7","NextCleanCandidate","Add stale/null/mobile/source-container guards to MovingBox.OnDragLift(Mobile from) before assigning owner from the dragging mobile.","Items:Containers / MovingBox","Data/Scripts/Items/Containers/MovingBox.cs","Single moving-box file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves ownership assignment semantics for valid players.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Containers/MovingBox.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Containers/MovingBox.cs.","Implementation must not change owner serialization, IsEnabled behavior, home/bank checks, open/drop restrictions, messages, return true behavior, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/owner assignment scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still assigns owner when owner is null and still returns true; drop/open behavior and serialization stay unchanged.","Discovery found MovingBox.OnDragLift assigning owner = from without stale/null guards.","SOURCE-BATCH-150 MovingBox Guard Repair"
"SB144-CAND-008","SOURCE-BATCH-151","8","NextCleanCandidate","Add stale/null/mobile/source-pouch guards to AlchemistPouch.OnDragLift(Mobile from) before sending the existing organize message and delegating to base.OnDragLift.","Items:Containers / AlchemistPouch","Data/Scripts/Items/Containers/AlchemistPouch.cs","Single alchemy pouch file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves message and drag-lift delegation.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Containers/AlchemistPouch.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Containers/AlchemistPouch.cs.","Implementation must not change potion restrictions, gump behavior, hotbar behavior, organize message, base.OnDragLift return behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/message/base-call scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends the organize message and returns base.OnDragLift(from); pouch rules, gump flow, and serialization stay unchanged.","Discovery found AlchemistPouch.OnDragLift dereferencing from.SendMessage before stale/null guards.","SOURCE-BATCH-151 AlchemistPouch Guard Repair"
"SB144-CAND-009","SOURCE-BATCH-152","9","NextCleanCandidate","Add stale/null/mobile/source-staff guards to BaseMagicStaff.OnDragLift(Mobile from) before checking player type and sending the existing wand-use message.","Items:Wands / BaseMagicStaff","Data/Scripts/Items/Wands/BaseMagicStaff.cs","One file and a local drag-lift guard; zero POST-BATCH-Y gate hits; zero active overlay rows; lower ranked because it is a base class for magic staff items.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Wands/BaseMagicStaff.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Wands/BaseMagicStaff.cs.","Implementation must not change staff charges, spell effects, equip policy, existing message, return true behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/message scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid PlayerMobile state still receives the existing wand-use message and OnDragLift still returns true; staff behavior and serialization stay unchanged.","Discovery found BaseMagicStaff.OnDragLift checking from is PlayerMobile and sending a message without stale/null/source guards.","SOURCE-BATCH-152 BaseMagicStaff Guard Repair"
"SB144-CAND-010","SOURCE-BATCH-153","10","NextCleanCandidate","Add stale/null/mobile/source-scroll guards to WindRunnerScroll.OnDoubleClick(Mobile from) and OnDragLift(Mobile from) before comparing owner, sending messages, or deleting the scroll.","Magic:Mystic / WindRunnerScroll","Data/Scripts/Magic/Mystic/Scrolls/WindRunnerScroll.cs","Single mystic scroll file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves owner mismatch behavior for valid mobiles.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Magic/Mystic/Scrolls/WindRunnerScroll.cs.","0","No active post-audit backlog rows match Data/Scripts/Magic/Mystic/Scrolls/WindRunnerScroll.cs.","Implementation must not change owner serialization, owner-mismatch delete behavior, parchment/tome messages, return true behavior, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDoubleClick/OnDragLift guard/message/delete scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid non-owner state still sends the crumble message and deletes the scroll; valid owner state still gets the tome message on double-click; serialization stays unchanged.","Discovery found WindRunnerScroll.OnDoubleClick and OnDragLift dereferencing from.SendMessage after owner comparison without stale/null guards.","SOURCE-BATCH-153 WindRunnerScroll Guard Repair"
