"CandidateId","ProposedBatchId","RecommendationRank","Recommendation","BehaviorToChange","System","ExpectedSourceFiles","NonGatedRationale","PostBatchYGateHitCount","PostBatchYGateEvidence","ActiveOverlayRows","ActiveOverlayEvidence","Risks","VerificationRequired","WhatMustStayUnchanged","SourceEvidence","SuggestedGoalShape"
"SB163-CAND-001","SOURCE-BATCH-163","1","RecommendedTarget","Add stale/null/mobile/source-scroll guard to ArmysPaeonScroll.OnDoubleClick(Mobile from) before sending the sheet-music message.","Magic:Bard / ArmysPaeon","Data/Scripts/Magic/Bard/Scrolls/ArmysPaeon.cs","Single Bard scroll file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves valid sheet-music message and scroll metadata.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Magic/Bard/Scrolls/ArmysPaeon.cs.","0","No active post-audit backlog rows match Data/Scripts/Magic/Bard/Scrolls/ArmysPaeon.cs.","Implementation must not change sheet music message, spell ID, item ID, hue, stackable behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDoubleClick guard/message scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends 'The sheet music must be in your music book.'; constructor spell/item metadata and Stackable stay unchanged; serialization stays unchanged.","Discovery found ArmysPaeonScroll.OnDoubleClick calling from.SendMessage without a stale/null mobile or deleted source-scroll guard.","SOURCE-BATCH-163 ArmysPaeon Guard Repair"
"SB163-CAND-002","SOURCE-BATCH-164","2","NextCleanCandidate","Add stale/null/mobile/source-scroll guard to EnchantingEtudeScroll.OnDoubleClick(Mobile from) before sending the sheet-music message.","Magic:Bard / EnchantingEtude","Data/Scripts/Magic/Bard/Scrolls/EnchantingEtude.cs","Single Bard scroll file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves valid sheet-music message and scroll metadata.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Magic/Bard/Scrolls/EnchantingEtude.cs.","0","No active post-audit backlog rows match Data/Scripts/Magic/Bard/Scrolls/EnchantingEtude.cs.","Implementation must not change sheet music message, spell ID, item ID, hue, stackable behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDoubleClick guard/message scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends 'The sheet music must be in your music book.'; constructor spell/item metadata and Stackable stay unchanged; serialization stays unchanged.","Discovery found EnchantingEtudeScroll.OnDoubleClick calling from.SendMessage without a stale/null mobile or deleted source-scroll guard.","SOURCE-BATCH-164 EnchantingEtude Guard Repair"
"SB163-CAND-003","SOURCE-BATCH-165","3","NextCleanCandidate","Add stale/null/mobile/source-scroll guard to EnergyCarolScroll.OnDoubleClick(Mobile from) before sending the sheet-music message.","Magic:Bard / EnergyCarol","Data/Scripts/Magic/Bard/Scrolls/EnergyCarol.cs","Single Bard scroll file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves valid sheet-music message and scroll metadata.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Magic/Bard/Scrolls/EnergyCarol.cs.","0","No active post-audit backlog rows match Data/Scripts/Magic/Bard/Scrolls/EnergyCarol.cs.","Implementation must not change sheet music message, spell ID, item ID, hue, stackable behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDoubleClick guard/message scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends 'The sheet music must be in your music book.'; constructor spell/item metadata and Stackable stay unchanged; serialization stays unchanged.","Discovery found EnergyCarolScroll.OnDoubleClick calling from.SendMessage without a stale/null mobile or deleted source-scroll guard.","SOURCE-BATCH-165 EnergyCarol Guard Repair"
"SB163-CAND-004","SOURCE-BATCH-166","4","NextCleanCandidate","Add stale/null/mobile/source-scroll guard to EnergyThrenodyScroll.OnDoubleClick(Mobile from) before sending the sheet-music message.","Magic:Bard / EnergyThrenody","Data/Scripts/Magic/Bard/Scrolls/EnergyThrenody.cs","Single Bard scroll file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves valid sheet-music message and scroll metadata.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Magic/Bard/Scrolls/EnergyThrenody.cs.","0","No active post-audit backlog rows match Data/Scripts/Magic/Bard/Scrolls/EnergyThrenody.cs.","Implementation must not change sheet music message, spell ID, item ID, hue, stackable behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDoubleClick guard/message scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends 'The sheet music must be in your music book.'; constructor spell/item metadata and Stackable stay unchanged; serialization stays unchanged.","Discovery found EnergyThrenodyScroll.OnDoubleClick calling from.SendMessage without a stale/null mobile or deleted source-scroll guard.","SOURCE-BATCH-166 EnergyThrenody Guard Repair"
"SB163-CAND-005","SOURCE-BATCH-167","5","NextCleanCandidate","Add stale/null/mobile/source-scroll guard to FireCarolScroll.OnDoubleClick(Mobile from) before sending the sheet-music message.","Magic:Bard / FireCarol","Data/Scripts/Magic/Bard/Scrolls/FireCarol.cs","Single Bard scroll file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves valid sheet-music message and scroll metadata.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Magic/Bard/Scrolls/FireCarol.cs.","0","No active post-audit backlog rows match Data/Scripts/Magic/Bard/Scrolls/FireCarol.cs.","Implementation must not change sheet music message, spell ID, item ID, hue, stackable behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDoubleClick guard/message scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends 'The sheet music must be in your music book.'; constructor spell/item metadata and Stackable stay unchanged; serialization stays unchanged.","Discovery found FireCarolScroll.OnDoubleClick calling from.SendMessage without a stale/null mobile or deleted source-scroll guard.","SOURCE-BATCH-167 FireCarol Guard Repair"
"SB163-CAND-006","SOURCE-BATCH-168","6","NextCleanCandidate","Add stale/null/mobile/source-scroll guard to FireThrenodyScroll.OnDoubleClick(Mobile from) before sending the sheet-music message.","Magic:Bard / FireThrenody","Data/Scripts/Magic/Bard/Scrolls/FireThrenody.cs","Single Bard scroll file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves valid sheet-music message and scroll metadata.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Magic/Bard/Scrolls/FireThrenody.cs.","0","No active post-audit backlog rows match Data/Scripts/Magic/Bard/Scrolls/FireThrenody.cs.","Implementation must not change sheet music message, spell ID, item ID, hue, stackable behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDoubleClick guard/message scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends 'The sheet music must be in your music book.'; constructor spell/item metadata and Stackable stay unchanged; serialization stays unchanged.","Discovery found FireThrenodyScroll.OnDoubleClick calling from.SendMessage without a stale/null mobile or deleted source-scroll guard.","SOURCE-BATCH-168 FireThrenody Guard Repair"
"SB163-CAND-007","SOURCE-BATCH-169","7","NextCleanCandidate","Add stale/null/mobile/source-scroll guard to FoeRequiemScroll.OnDoubleClick(Mobile from) before sending the sheet-music message.","Magic:Bard / FoeRequiem","Data/Scripts/Magic/Bard/Scrolls/FoeRequiem.cs","Single Bard scroll file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves valid sheet-music message and scroll metadata.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Magic/Bard/Scrolls/FoeRequiem.cs.","0","No active post-audit backlog rows match Data/Scripts/Magic/Bard/Scrolls/FoeRequiem.cs.","Implementation must not change sheet music message, spell ID, item ID, hue, stackable behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDoubleClick guard/message scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends 'The sheet music must be in your music book.'; constructor spell/item metadata and Stackable stay unchanged; serialization stays unchanged.","Discovery found FoeRequiemScroll.OnDoubleClick calling from.SendMessage without a stale/null mobile or deleted source-scroll guard.","SOURCE-BATCH-169 FoeRequiem Guard Repair"
"SB163-CAND-008","SOURCE-BATCH-170","8","NextCleanCandidate","Add stale/null/mobile/source-scroll guard to IceCarolScroll.OnDoubleClick(Mobile from) before sending the sheet-music message.","Magic:Bard / IceCarol","Data/Scripts/Magic/Bard/Scrolls/IceCarol.cs","Single Bard scroll file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves valid sheet-music message and scroll metadata.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Magic/Bard/Scrolls/IceCarol.cs.","0","No active post-audit backlog rows match Data/Scripts/Magic/Bard/Scrolls/IceCarol.cs.","Implementation must not change sheet music message, spell ID, item ID, hue, stackable behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDoubleClick guard/message scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends 'The sheet music must be in your music book.'; constructor spell/item metadata and Stackable stay unchanged; serialization stays unchanged.","Discovery found IceCarolScroll.OnDoubleClick calling from.SendMessage without a stale/null mobile or deleted source-scroll guard.","SOURCE-BATCH-170 IceCarol Guard Repair"
"SB163-CAND-009","SOURCE-BATCH-171","9","NextCleanCandidate","Add stale/null/mobile/source-scroll guard to IceThrenodyScroll.OnDoubleClick(Mobile from) before sending the sheet-music message.","Magic:Bard / IceThrenody","Data/Scripts/Magic/Bard/Scrolls/IceThrenody.cs","Single Bard scroll file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves valid sheet-music message and scroll metadata.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Magic/Bard/Scrolls/IceThrenody.cs.","0","No active post-audit backlog rows match Data/Scripts/Magic/Bard/Scrolls/IceThrenody.cs.","Implementation must not change sheet music message, spell ID, item ID, hue, stackable behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDoubleClick guard/message scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends 'The sheet music must be in your music book.'; constructor spell/item metadata and Stackable stay unchanged; serialization stays unchanged.","Discovery found IceThrenodyScroll.OnDoubleClick calling from.SendMessage without a stale/null mobile or deleted source-scroll guard.","SOURCE-BATCH-171 IceThrenody Guard Repair"
"SB163-CAND-010","SOURCE-BATCH-172","10","NextCleanCandidate","Add stale/null/mobile/source-scroll guard to KnightsMinneScroll.OnDoubleClick(Mobile from) before sending the sheet-music message.","Magic:Bard / KnightsMinne","Data/Scripts/Magic/Bard/Scrolls/KnightsMinne.cs","Single Bard scroll file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves valid sheet-music message and scroll metadata.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Magic/Bard/Scrolls/KnightsMinne.cs.","0","No active post-audit backlog rows match Data/Scripts/Magic/Bard/Scrolls/KnightsMinne.cs.","Implementation must not change sheet music message, spell ID, item ID, hue, stackable behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDoubleClick guard/message scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends 'The sheet music must be in your music book.'; constructor spell/item metadata and Stackable stay unchanged; serialization stays unchanged.","Discovery found KnightsMinneScroll.OnDoubleClick calling from.SendMessage without a stale/null mobile or deleted source-scroll guard.","SOURCE-BATCH-172 KnightsMinne Guard Repair"
"SB163-CAND-011","SOURCE-BATCH-173","11","NextCleanCandidate","Add stale/null/mobile/source-scroll guard to MagesBalladScroll.OnDoubleClick(Mobile from) before sending the sheet-music message.","Magic:Bard / MagesBallad","Data/Scripts/Magic/Bard/Scrolls/MagesBallad.cs","Single Bard scroll file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves valid sheet-music message and scroll metadata.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Magic/Bard/Scrolls/MagesBallad.cs.","0","No active post-audit backlog rows match Data/Scripts/Magic/Bard/Scrolls/MagesBallad.cs.","Implementation must not change sheet music message, spell ID, item ID, hue, stackable behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDoubleClick guard/message scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends 'The sheet music must be in your music book.'; constructor spell/item metadata and Stackable stay unchanged; serialization stays unchanged.","Discovery found MagesBalladScroll.OnDoubleClick calling from.SendMessage without a stale/null mobile or deleted source-scroll guard.","SOURCE-BATCH-173 MagesBallad Guard Repair"
"SB163-CAND-012","SOURCE-BATCH-174","12","NextCleanCandidate","Add stale/null/mobile/source-scroll guard to MagicFinaleScroll.OnDoubleClick(Mobile from) before sending the sheet-music message.","Magic:Bard / MagicFinale","Data/Scripts/Magic/Bard/Scrolls/MagicFinale.cs","Single Bard scroll file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves valid sheet-music message and scroll metadata.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Magic/Bard/Scrolls/MagicFinale.cs.","0","No active post-audit backlog rows match Data/Scripts/Magic/Bard/Scrolls/MagicFinale.cs.","Implementation must not change sheet music message, spell ID, item ID, hue, stackable behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDoubleClick guard/message scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends 'The sheet music must be in your music book.'; constructor spell/item metadata and Stackable stay unchanged; serialization stays unchanged.","Discovery found MagicFinaleScroll.OnDoubleClick calling from.SendMessage without a stale/null mobile or deleted source-scroll guard.","SOURCE-BATCH-174 MagicFinale Guard Repair"
"SB163-CAND-013","SOURCE-BATCH-175","13","NextCleanCandidate","Add stale/null/mobile/source-scroll guard to PoisonCarolScroll.OnDoubleClick(Mobile from) before sending the sheet-music message.","Magic:Bard / PoisonCarol","Data/Scripts/Magic/Bard/Scrolls/PoisonCarol.cs","Single Bard scroll file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves valid sheet-music message and scroll metadata.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Magic/Bard/Scrolls/PoisonCarol.cs.","0","No active post-audit backlog rows match Data/Scripts/Magic/Bard/Scrolls/PoisonCarol.cs.","Implementation must not change sheet music message, spell ID, item ID, hue, stackable behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDoubleClick guard/message scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends 'The sheet music must be in your music book.'; constructor spell/item metadata and Stackable stay unchanged; serialization stays unchanged.","Discovery found PoisonCarolScroll.OnDoubleClick calling from.SendMessage without a stale/null mobile or deleted source-scroll guard.","SOURCE-BATCH-175 PoisonCarol Guard Repair"
