BonusId,ItemId,CanonicalClassName,SourceColumn,BonusNameRaw,CanonicalBonusName,BonusGroup,Value,ImplementationSurface,Status,Notes
IB-001,ITEM-001,MindOverMatterTalisman,Attributes,BonusMana,BonusMana,AosAttributes,200,item.Attributes.BonusMana,Ready,
IB-002,ITEM-001,MindOverMatterTalisman,Attributes,LowerRegCost,LowerRegCost,AosAttributes,100,item.Attributes.LowerRegCost,Ready,
IB-003,ITEM-001,MindOverMatterTalisman,Attributes,CastRecovery,CastRecovery,AosAttributes,4,item.Attributes.CastRecovery,Ready,
IB-004,ITEM-001,MindOverMatterTalisman,Attributes,CastSpeed,CastSpeed,AosAttributes,4,item.Attributes.CastSpeed,Ready,
IB-005,ITEM-001,MindOverMatterTalisman,Attributes,SpellDamage,SpellDamage,AosAttributes,200,item.Attributes.SpellDamage,Ready,
IB-006,ITEM-001,MindOverMatterTalisman,Attributes,AttackChance,AttackChance,AosAttributes,-100,item.Attributes.AttackChance,Ready,
IB-007,ITEM-001,MindOverMatterTalisman,Attributes,DefendChance,DefendChance,AosAttributes,-100,item.Attributes.DefendChance,Ready,
IB-008,ITEM-004,RuneSword,Attributes,MinDamage,MinDamage,BaseWeaponProperty,45,weapon.MinDamage,Ready,
IB-009,ITEM-004,RuneSword,Attributes,MaxDamage,MaxDamage,BaseWeaponProperty,70,weapon.MaxDamage,Ready,
IB-010,ITEM-004,RuneSword,Attributes,SelfRepair,SelfRepair,AosWeaponAttributes,10,weapon.WeaponAttributes.SelfRepair,Ready,
IB-011,ITEM-004,RuneSword,Attributes,HitLightning,HitLightning,AosWeaponAttributes,10,weapon.WeaponAttributes.HitLightning,Ready,
IB-012,ITEM-005,TridentofAtlantis,Attributes,MinDamage,MinDamage,BaseWeaponProperty,75,weapon.MinDamage,Ready,
IB-013,ITEM-005,TridentofAtlantis,Attributes,MaxDamage,MaxDamage,BaseWeaponProperty,90,weapon.MaxDamage,Ready,
IB-014,ITEM-005,TridentofAtlantis,Attributes,HitLeechMana,HitLeechMana,AosWeaponAttributes,100,weapon.WeaponAttributes.HitLeechMana,Ready,
IB-015,ITEM-005,TridentofAtlantis,Attributes,SelfRepair,SelfRepair,AosWeaponAttributes,10,weapon.WeaponAttributes.SelfRepair,Ready,
IB-016,ITEM-005,TridentofAtlantis,Attributes,SpellChanneling,SpellChanneling,AosAttributes,1,item.Attributes.SpellChanneling,Ready,
IB-017,ITEM-006,SwordofDarkness,Attributes,MinDamage,MinDamage,BaseWeaponProperty,35,weapon.MinDamage,Ready,
IB-018,ITEM-006,SwordofDarkness,Attributes,MaxDamage,MaxDamage,BaseWeaponProperty,50,weapon.MaxDamage,Ready,
IB-019,ITEM-006,SwordofDarkness,Attributes,HitLeechStam,HitLeechStam,AosWeaponAttributes,100,weapon.WeaponAttributes.HitLeechStam,Ready,
IB-020,ITEM-006,SwordofDarkness,Attributes,HitLeechHits,HitLeechHits,AosWeaponAttributes,25,weapon.WeaponAttributes.HitLeechHits,Ready,
IB-021,ITEM-006,SwordofDarkness,Attributes,SpellChanneling,SpellChanneling,AosAttributes,1,item.Attributes.SpellChanneling,Ready,
IB-022,ITEM-007,SwordofLight,Attributes,MinDamage,MinDamage,BaseWeaponProperty,35,weapon.MinDamage,Ready,
IB-023,ITEM-007,SwordofLight,Attributes,MaxDamage,MaxDamage,BaseWeaponProperty,50,weapon.MaxDamage,Ready,
IB-024,ITEM-007,SwordofLight,Attributes,HitLightning,HitLightning,AosWeaponAttributes,50,weapon.WeaponAttributes.HitLightning,Ready,
IB-025,ITEM-007,SwordofLight,Attributes,SelfRepair,SelfRepair,AosWeaponAttributes,10,weapon.WeaponAttributes.SelfRepair,Ready,
IB-026,ITEM-007,SwordofLight,Attributes,SpellChanneling,SpellChanneling,AosAttributes,1,item.Attributes.SpellChanneling,Ready,
IB-027,ITEM-007,SwordofLight,Attributes,HitLeechMana,HitLeechMana,AosWeaponAttributes,50,weapon.WeaponAttributes.HitLeechMana,Ready,
IB-028,ITEM-007,SwordofLight,Attributes,HitChance,AttackChance,AosAttributes,50,item.Attributes.AttackChance,Ready,
IB-029,ITEM-008,WolfgangSword,Attributes,MinDamage,MinDamage,BaseWeaponProperty,55,weapon.MinDamage,Ready,
IB-030,ITEM-008,WolfgangSword,Attributes,MaxDamage,MaxDamage,BaseWeaponProperty,80,weapon.MaxDamage,Ready,
IB-031,ITEM-008,WolfgangSword,Attributes,HitLeechStam,HitLeechStam,AosWeaponAttributes,100,weapon.WeaponAttributes.HitLeechStam,Ready,
IB-032,ITEM-008,WolfgangSword,Attributes,SpellChanneling,SpellChanneling,AosAttributes,1,item.Attributes.SpellChanneling,Ready,
IB-033,ITEM-008,WolfgangSword,Attributes,HitsRegen,RegenHits,AosAttributes,10,item.Attributes.RegenHits,Ready,
IB-034,ITEM-009,GuardianShield,SkillBonuses,EnergyBonus,EnergyBonus,BaseArmorResistanceBonus,75,armor.EnergyBonus,Ready,Moved out of SkillBonuses because this is not a SkillName.
IB-035,ITEM-009,GuardianShield,Attributes,LowerRegCost,LowerRegCost,AosAttributes,50,item.Attributes.LowerRegCost,Ready,
IB-036,ITEM-009,GuardianShield,Attributes,DefendChance,DefendChance,AosAttributes,30,item.Attributes.DefendChance,Ready,
IB-037,ITEM-009,GuardianShield,Attributes,MageArmor,MageArmor,AosArmorAttributes,1,armor.ArmorAttributes.MageArmor,Ready,
IB-038,ITEM-009,GuardianShield,Attributes,BonusHits,BonusHits,AosAttributes,100,item.Attributes.BonusHits,Ready,
IB-039,ITEM-009,GuardianShield,Attributes,BonusMana,BonusMana,AosAttributes,100,item.Attributes.BonusMana,Ready,
IB-040,ITEM-009,GuardianShield,Attributes,BonusStamina,BonusStam,AosAttributes,100,item.Attributes.BonusStam,Ready,
IB-041,ITEM-009,GuardianShield,Attributes,SelfRepair,SelfRepair,AosArmorAttributes,10,armor.ArmorAttributes.SelfRepair,Ready,
IB-042,ITEM-010,Weightoftheworld,Attributes,MinDamage,MinDamage,BaseWeaponProperty,85,weapon.MinDamage,Ready,
IB-043,ITEM-010,Weightoftheworld,Attributes,MaxDamage,MaxDamage,BaseWeaponProperty,100,weapon.MaxDamage,Ready,
IB-044,ITEM-010,Weightoftheworld,Attributes,Weight,Weight,ItemProperty,500,item.Weight,Ready,
IB-045,ITEM-011,DeathPenalty,Attributes,MinDamage,MinDamage,BaseWeaponProperty,35,weapon.MinDamage,Ready,
IB-046,ITEM-011,DeathPenalty,Attributes,MaxDamage,MaxDamage,BaseWeaponProperty,60,weapon.MaxDamage,Ready,
IB-047,ITEM-011,DeathPenalty,Attributes,SpellChanneling,SpellChanneling,AosAttributes,1,item.Attributes.SpellChanneling,Ready,
IB-048,ITEM-012,Disintegrator,Attributes,MinDamage,MinDamage,BaseWeaponProperty,75,weapon.MinDamage,Ready,
IB-049,ITEM-012,Disintegrator,Attributes,MaxDamage,MaxDamage,BaseWeaponProperty,90,weapon.MaxDamage,Ready,
IB-050,ITEM-013,RobeoftheVoid,Attributes,BonusMana,BonusMana,AosAttributes,100,item.Attributes.BonusMana,Ready,
IB-051,ITEM-013,RobeoftheVoid,Attributes,LowerRegCost,LowerRegCost,AosAttributes,100,item.Attributes.LowerRegCost,Ready,
IB-052,ITEM-013,RobeoftheVoid,Attributes,DefendChance,DefendChance,AosAttributes,-10,item.Attributes.DefendChance,Ready,
IB-053,ITEM-014,DreadMace,Attributes,MinDamage,MinDamage,BaseWeaponProperty,35,weapon.MinDamage,Ready,
IB-054,ITEM-014,DreadMace,Attributes,MaxDamage,MaxDamage,BaseWeaponProperty,60,weapon.MaxDamage,Ready,
IB-055,ITEM-014,DreadMace,Attributes,HitPoisonArea,HitPoisonArea,AosWeaponAttributes,100,weapon.WeaponAttributes.HitPoisonArea,Ready,
IB-056,ITEM-014,DreadMace,Attributes,LowerRegCost,LowerRegCost,AosAttributes,-100,item.Attributes.LowerRegCost,Ready,
IB-057,ITEM-014,DreadMace,Attributes,SpellChanneling,SpellChanneling,AosAttributes,1,item.Attributes.SpellChanneling,Ready,
IB-058,ITEM-015,ArmoroftheTitans,SkillBonuses,PhysicalBonus,PhysicalBonus,BaseArmorResistanceBonus,50,armor.PhysicalBonus,Ready,Moved out of SkillBonuses because this is not a SkillName.
IB-059,ITEM-015,ArmoroftheTitans,Attributes,MageArmor,MageArmor,AosArmorAttributes,1,armor.ArmorAttributes.MageArmor,Ready,
IB-060,ITEM-015,ArmoroftheTitans,Attributes,DefendChance,DefendChance,AosAttributes,25,item.Attributes.DefendChance,Ready,
IB-061,ITEM-016,ArmorofthefalseGods,SkillBonuses,PhysicalBonus,PhysicalBonus,BaseArmorResistanceBonus,50,armor.PhysicalBonus,Ready,Moved out of SkillBonuses because this is not a SkillName.
IB-062,ITEM-016,ArmorofthefalseGods,SkillBonuses,EnergyBonus,EnergyBonus,BaseArmorResistanceBonus,50,armor.EnergyBonus,Ready,Moved out of SkillBonuses because this is not a SkillName.
IB-063,ITEM-016,ArmorofthefalseGods,SkillBonuses,FireBonus,FireBonus,BaseArmorResistanceBonus,50,armor.FireBonus,Ready,Moved out of SkillBonuses because this is not a SkillName.
IB-064,ITEM-016,ArmorofthefalseGods,SkillBonuses,ColdBonus,ColdBonus,BaseArmorResistanceBonus,50,armor.ColdBonus,Ready,Moved out of SkillBonuses because this is not a SkillName.
IB-065,ITEM-016,ArmorofthefalseGods,Attributes,MageArmor,MageArmor,AosArmorAttributes,1,armor.ArmorAttributes.MageArmor,Ready,
IB-066,ITEM-016,ArmorofthefalseGods,Attributes,DefendChance,DefendChance,AosAttributes,45,item.Attributes.DefendChance,Ready,
IB-067,ITEM-016,ArmorofthefalseGods,Attributes,WeaponDamage,WeaponDamage,AosAttributes,50,item.Attributes.WeaponDamage,Ready,
IB-068,ITEM-016,ArmorofthefalseGods,Attributes,RegenHits,RegenHits,AosAttributes,10,item.Attributes.RegenHits,Ready,
IB-069,ITEM-017,ExodusArmor,SkillBonuses,PhysicalBonus,PhysicalBonus,BaseArmorResistanceBonus,75,armor.PhysicalBonus,Ready,Moved out of SkillBonuses because this is not a SkillName.
IB-070,ITEM-017,ExodusArmor,SkillBonuses,FireBonus,FireBonus,BaseArmorResistanceBonus,75,armor.FireBonus,Ready,Moved out of SkillBonuses because this is not a SkillName.
IB-071,ITEM-017,ExodusArmor,Attributes,MageArmor,MageArmor,AosArmorAttributes,1,armor.ArmorAttributes.MageArmor,Ready,
IB-072,ITEM-017,ExodusArmor,Attributes,HitChance,AttackChance,AosAttributes,20,item.Attributes.AttackChance,Ready,
IB-073,ITEM-017,ExodusArmor,Attributes,BonusHits,BonusHits,AosAttributes,100,item.Attributes.BonusHits,Ready,
IB-074,ITEM-017,ExodusArmor,Attributes,ReflectPhysical,ReflectPhysical,AosAttributes,50,item.Attributes.ReflectPhysical,Ready,
IB-075,ITEM-017,ExodusArmor,Attributes,WeaponDamage,WeaponDamage,AosAttributes,100,item.Attributes.WeaponDamage,Ready,
IB-076,ITEM-017,ExodusArmor,Attributes,SpellDamage,SpellDamage,AosAttributes,100,item.Attributes.SpellDamage,Ready,
IB-077,ITEM-018,ExodusMaul,Attributes,MinDamage,MinDamage,BaseWeaponProperty,55,weapon.MinDamage,Ready,
IB-078,ITEM-018,ExodusMaul,Attributes,MaxDamage,MaxDamage,BaseWeaponProperty,80,weapon.MaxDamage,Ready,
IB-079,ITEM-018,ExodusMaul,Attributes,SpellChanneling,SpellChanneling,AosAttributes,1,item.Attributes.SpellChanneling,Ready,
IB-080,ITEM-019,ExodusHead,SkillBonuses,EnergyBonus,EnergyBonus,BaseArmorResistanceBonus,75,armor.EnergyBonus,Ready,Moved out of SkillBonuses because this is not a SkillName.
IB-081,ITEM-019,ExodusHead,SkillBonuses,ColdBonus,ColdBonus,BaseArmorResistanceBonus,75,armor.ColdBonus,Ready,Moved out of SkillBonuses because this is not a SkillName.
IB-082,ITEM-019,ExodusHead,Attributes,MageArmor,MageArmor,AosArmorAttributes,1,armor.ArmorAttributes.MageArmor,Ready,
IB-083,ITEM-019,ExodusHead,Attributes,ReflectPhysical,ReflectPhysical,AosAttributes,50,item.Attributes.ReflectPhysical,Ready,
IB-084,ITEM-019,ExodusHead,Attributes,BonusMana,BonusMana,AosAttributes,200,item.Attributes.BonusMana,Ready,
IB-085,ITEM-019,ExodusHead,Attributes,WeaponDamage,WeaponDamage,AosAttributes,50,item.Attributes.WeaponDamage,Ready,
IB-086,ITEM-019,ExodusHead,Attributes,SpellDamage,SpellDamage,AosAttributes,100,item.Attributes.SpellDamage,Ready,
IB-087,ITEM-019,ExodusHead,Attributes,RegenHits,RegenHits,AosAttributes,5,item.Attributes.RegenHits,Ready,
IB-088,ITEM-019,ExodusHead,Attributes,RegenMana,RegenMana,AosAttributes,5,item.Attributes.RegenMana,Ready,
IB-089,ITEM-020,ExodusHands,SkillBonuses,FireBonus,FireBonus,BaseArmorResistanceBonus,75,armor.FireBonus,Ready,Moved out of SkillBonuses because this is not a SkillName.
IB-090,ITEM-020,ExodusHands,Attributes,MageArmor,MageArmor,AosArmorAttributes,1,armor.ArmorAttributes.MageArmor,Ready,
IB-091,ITEM-020,ExodusHands,Attributes,HitChance,AttackChance,AosAttributes,50,item.Attributes.AttackChance,Ready,
IB-092,ITEM-020,ExodusHands,Attributes,ReflectPhysical,ReflectPhysical,AosAttributes,20,item.Attributes.ReflectPhysical,Ready,
IB-093,ITEM-020,ExodusHands,Attributes,WeaponDamage,WeaponDamage,AosAttributes,100,item.Attributes.WeaponDamage,Ready,
IB-094,ITEM-021,HeartofFire,Attributes,SpellDamage,SpellDamage,AosAttributes,200,item.Attributes.SpellDamage,Ready,
IB-095,ITEM-021,HeartofFire,Attributes,LowerRegCost,LowerRegCost,AosAttributes,50,item.Attributes.LowerRegCost,Ready,
IB-096,ITEM-021,HeartofFire,Attributes,RegenMana,RegenMana,AosAttributes,10,item.Attributes.RegenMana,Ready,
IB-097,ITEM-021,HeartofFire,Attributes,RegenStam,RegenStam,AosAttributes,10,item.Attributes.RegenStam,Ready,
IB-098,ITEM-021,HeartofFire,Attributes,WeaponDamage,WeaponDamage,AosAttributes,100,item.Attributes.WeaponDamage,Ready,
IB-099,ITEM-022,LampofBadWishes,Attributes,BonusMana,BonusMana,AosAttributes,200,item.Attributes.BonusMana,Ready,
IB-100,ITEM-022,LampofBadWishes,Attributes,LowerRegCost,LowerRegCost,AosAttributes,100,item.Attributes.LowerRegCost,Ready,
IB-101,ITEM-022,LampofBadWishes,Attributes,DefendChance,DefendChance,AosAttributes,-100,item.Attributes.DefendChance,Ready,
IB-102,ITEM-022,LampofBadWishes,Attributes,Luck,Luck,AosAttributes,200,item.Attributes.Luck,Ready,
IB-103,ITEM-022,LampofBadWishes,Attributes,RegenMana,RegenMana,AosAttributes,10,item.Attributes.RegenMana,Ready,
IB-104,ITEM-022,LampofBadWishes,Attributes,WeaponDamage,WeaponDamage,AosAttributes,100,item.Attributes.WeaponDamage,Ready,
IB-105,ITEM-036,DoomBlade,Attributes,MinDamage,MinDamage,BaseWeaponProperty,55,weapon.MinDamage,Ready,
IB-106,ITEM-036,DoomBlade,Attributes,MaxDamage,MaxDamage,BaseWeaponProperty,80,weapon.MaxDamage,Ready,
IB-107,ITEM-036,DoomBlade,Attributes,SpellDamage,SpellDamage,AosAttributes,-200,item.Attributes.SpellDamage,Ready,
IB-108,ITEM-036,DoomBlade,Attributes,SpellChanneling,SpellChanneling,AosAttributes,1,item.Attributes.SpellChanneling,Ready,
IB-109,ITEM-036,DoomBlade,Attributes,Weight,Weight,ItemProperty,100,item.Weight,Ready,
IB-110,ITEM-036,DoomBlade,Attributes,HitLeechMana,HitLeechMana,AosWeaponAttributes,100,weapon.WeaponAttributes.HitLeechMana,Ready,
