SkillModId,ItemId,CanonicalClassName,SkillNameRaw,CanonicalSkillName,Value,ModifierKind,ImplementationSurface,Status,Notes
ISM-001,ITEM-001,MindOverMatterTalisman,Magery,Magery,100,CustomSignedEquipSkillMod,custom equip/unequip SkillMod,Ready,Negative or more than five skill mods require custom signed handling.
ISM-002,ITEM-001,MindOverMatterTalisman,Parry,Parry,-100,CustomSignedEquipSkillMod,custom equip/unequip SkillMod,Ready,Negative or more than five skill mods require custom signed handling.
ISM-003,ITEM-001,MindOverMatterTalisman,Psychology,Psychology,100,CustomSignedEquipSkillMod,custom equip/unequip SkillMod,Ready,Negative or more than five skill mods require custom signed handling.
ISM-004,ITEM-004,RuneSword,Elementalism,Elementalism,-100,CustomSignedEquipSkillMod,custom equip/unequip SkillMod,Ready,Negative or more than five skill mods require custom signed handling.
ISM-005,ITEM-004,RuneSword,Magery,Magery,-100,CustomSignedEquipSkillMod,custom equip/unequip SkillMod,Ready,Negative or more than five skill mods require custom signed handling.
ISM-006,ITEM-004,RuneSword,Necromancy,Necromancy,-100,CustomSignedEquipSkillMod,custom equip/unequip SkillMod,Ready,Negative or more than five skill mods require custom signed handling.
ISM-007,ITEM-005,TridentofAtlantis,Fencing,Fencing,50,CustomSignedEquipSkillMod,custom equip/unequip SkillMod,Ready,Negative or more than five skill mods require custom signed handling.
ISM-008,ITEM-005,TridentofAtlantis,Seafaring,Seafaring,100,CustomSignedEquipSkillMod,custom equip/unequip SkillMod,Ready,Negative or more than five skill mods require custom signed handling.
ISM-009,ITEM-005,TridentofAtlantis,Hiding,Hiding,-100,CustomSignedEquipSkillMod,custom equip/unequip SkillMod,Ready,Negative or more than five skill mods require custom signed handling.
ISM-010,ITEM-006,SwordofDarkness,Knightship,Knightship,-100,CustomSignedEquipSkillMod,custom equip/unequip SkillMod,Ready,Negative or more than five skill mods require custom signed handling.
ISM-011,ITEM-006,SwordofDarkness,Necromancy,Necromancy,100,CustomSignedEquipSkillMod,custom equip/unequip SkillMod,Ready,Negative or more than five skill mods require custom signed handling.
ISM-012,ITEM-006,SwordofDarkness,Herding,Herding,-100,CustomSignedEquipSkillMod,custom equip/unequip SkillMod,Ready,Negative or more than five skill mods require custom signed handling.
ISM-013,ITEM-007,SwordofLight,Knightship,Knightship,100,CustomSignedEquipSkillMod,custom equip/unequip SkillMod,Ready,Negative or more than five skill mods require custom signed handling.
ISM-014,ITEM-007,SwordofLight,Snooping,Snooping,-100,CustomSignedEquipSkillMod,custom equip/unequip SkillMod,Ready,Negative or more than five skill mods require custom signed handling.
ISM-015,ITEM-007,SwordofLight,Stealth,Stealth,-100,CustomSignedEquipSkillMod,custom equip/unequip SkillMod,Ready,Negative or more than five skill mods require custom signed handling.
ISM-016,ITEM-008,WolfgangSword,Knightship,Knightship,50,StockPositiveSkillBonus,SkillBonuses.SetValues,Ready,
ISM-017,ITEM-008,WolfgangSword,Bushido,Bushido,50,StockPositiveSkillBonus,SkillBonuses.SetValues,Ready,
