ChangeId,MobileClassOrName,ResolvedClassName,KnownFilePath,Scope,DamageMin,DamageMax,SkillChangesRaw,LootAssignmentIds,Priority,ReviewStatus,ImplementationStatus,Notes,CodexNotes
MC-001,Forgotten,Forgotten,Data/Scripts/Custom/Mobiles/Godfrey2026/Forgotten.cs,ExactMobile,25,50,Searching=125,LA-021,High,Ready,Implemented,Lower damage and prevent stealth skipping,
MC-002,Atlantian,Atlantian,Data/Scripts/Custom/Mobiles/Godfrey2026/Atlantian.cs,ExactMobile,25,50,Searching=125,LA-022,High,Ready,Implemented,lower damage and prevent stealth skipping,
MC-003,Red Death,RedDeath,Data/Scripts/Custom/Mobiles/Undead/RedDeath.cs,ExactMobile,25,80,searching=125,LA-023,High,Ready,Implemented,lower damage and prevent stealth skipping,
MC-004,Honorguard,Honorguard,Data/Scripts/Custom/Mobiles/Undead/Honorguard.cs,ExactMobile,60,80,searching=125; tactics=125,LA-024,High,Ready,Implemented,lower damage and prevent stealth skipping,
MC-005,Scientist,Scientist,Data/Scripts/Custom/Mobiles/Godfrey2026/Scientist.cs,ExactMobile,90,150,searching=125,LA-025,High,Ready,Implemented,lower damage and prevent stealth skipping,
MC-006,Dark Cultist,DarkCultist,Data/Scripts/Custom/Mobiles/Cultists/DarkCultist.cs,ExactMobile,25,50,searching=125,LA-026,High,Ready,Implemented,lower damage and prevent stealth skipping,
MC-007,Rune Knight,RuneKnight,Data/Scripts/Custom/Mobiles/Undead/RuneKnight.cs,EpicBossCandidate,50,100,searching=125; tactics=125,LA-004,High,Ready,Implemented,Raise damage and prevent stealth skipping,
MC-008,Eternal Guardian,EternalGuardian,Data/Scripts/Custom/Mobiles/Mystical/EternalGuardian.cs,EpicBossCandidate,90,130,searching=125,LA-009,High,Ready,Implemented,lower damage and prevent stealth skipping,
MC-009,Atlantian Paragon,AtlantianParagon,Data/Scripts/Custom/Mobiles/Godfrey2026/AtlantianParagon.cs,ExactMobile,50,100,searching=125,LA-020,High,Ready,Implemented,lower damage and add existing loot,
MC-010,Dio's Monster,DiosMonster,Data/Scripts/Custom/Mobiles/Constructs/DiosMonster.cs,EpicBossCandidate,150,170,searching=125,LA-001,High,Ready,Implemented,lower damage and add loot,
MC-011,Wolfgang's Dragon,WolfgangsDragon,Data/Scripts/Custom/Mobiles/Undead/WolfgangsDragon.cs,EpicBossCandidate,110,160,searching=125,LA-002,High,Ready,Implemented,lower damage and add loot,
MC-012,True Virtue,TrueVirtue,Data/Scripts/Custom/Mobiles/Mystical/TrueVirtue.cs,EpicBossCandidate,150,200,searching=125,LA-003,High,Ready,Implemented,lower damage and add loot,
