SkillChangeId,ChangeId,MobileClassOrName,ResolvedMobileClass,SkillNameRaw,CanonicalSkillName,SkillMin,SkillMax,SkillValue,Operation,Status,Notes
MSC-001,MC-019,Armageddon Engine,ArmageddonEngine,searching,Searching,,,125,SetSkill,Ready,
MSC-002,MC-002,Atlantian,Atlantian,Searching,Searching,,,125,SetSkill,Ready,
MSC-003,MC-009,Atlantian Paragon,AtlantianParagon,searching,Searching,,,125,SetSkill,Ready,
MSC-004,MC-017,Atlas,Atlas,searching,Searching,,,125,SetSkill,Ready,
MSC-005,MC-018,Blackbart Roberts,BlackbartRoberts,searching,Searching,,,125,SetSkill,Ready,
MSC-006,MC-018,Blackbart Roberts,BlackbartRoberts,poisoning,Poisoning,,,125,SetSkill,Ready,
MSC-007,MC-006,Dark Cultist,DarkCultist,searching,Searching,,,125,SetSkill,Ready,
MSC-008,MC-010,Dio's Monster,DiosMonster,searching,Searching,,,125,SetSkill,Ready,
MSC-009,MC-030,Dragon Hydra,DragonHydra,searching,Searching,,,125,SetSkill,Ready,
MSC-010,MC-030,Dragon Hydra,DragonHydra,tactics,Tactics,,,125,SetSkill,Ready,
MSC-011,MC-030,Dragon Hydra,DragonHydra,magic resist,MagicResist,,,125,SetSkill,Ready,
MSC-012,MC-022,Dragon Illusion,DragonIllusion,searching,Searching,,,125,SetSkill,Ready,
MSC-013,MC-008,Eternal Guardian,EternalGuardian,searching,Searching,,,125,SetSkill,Ready,
MSC-014,MC-014,Fallen Angel,FallenAngel,searching,Searching,,,125,SetSkill,Ready,
MSC-015,MC-014,Fallen Angel,FallenAngel,tactics,Tactics,,,125,SetSkill,Ready,
MSC-016,MC-023,False Fire God,FalseFireGod,searching,Searching,,,125,SetSkill,Ready,
MSC-017,MC-023,False Fire God,FalseFireGod,tactics,Tactics,,,125,SetSkill,Ready,
MSC-018,MC-024,Final Exodus,FinalExodus,searching,Searching,,,125,SetSkill,Ready,
MSC-019,MC-024,Final Exodus,FinalExodus,tactics,Tactics,,,125,SetSkill,Ready,
MSC-020,MC-024,Final Exodus,FinalExodus,magic resist,MagicResist,,,125,SetSkill,Ready,
MSC-021,MC-025,Fire King,FireKing,searching,Searching,,,125,SetSkill,Ready,
MSC-022,MC-025,Fire King,FireKing,tactics,Tactics,,,125,SetSkill,Ready,
MSC-023,MC-025,Fire King,FireKing,magic resist,MagicResist,,,125,SetSkill,Ready,
MSC-024,MC-001,Forgotten,Forgotten,Searching,Searching,,,125,SetSkill,Ready,
MSC-025,MC-029,Forgotten Creation,ForgottenCreation,searching,Searching,,,125,SetSkill,Ready,
MSC-026,MC-029,Forgotten Creation,ForgottenCreation,tactics,Tactics,,,125,SetSkill,Ready,
MSC-027,MC-029,Forgotten Creation,ForgottenCreation,magic resist,MagicResist,,,125,SetSkill,Ready,
MSC-028,MC-028,Garuda,Garuda,searching,Searching,,,125,SetSkill,Ready,
MSC-029,MC-028,Garuda,Garuda,tactics,Tactics,,,125,SetSkill,Ready,
MSC-030,MC-028,Garuda,Garuda,magic resist,MagicResist,,,125,SetSkill,Ready,
MSC-031,MC-004,Honorguard,Honorguard,searching,Searching,,,125,SetSkill,Ready,
MSC-032,MC-004,Honorguard,Honorguard,tactics,Tactics,,,125,SetSkill,Ready,
MSC-033,MC-026,Immortal Genie of the Vase,ImmortalGenie,searching,Searching,,,125,SetSkill,Ready,
MSC-034,MC-026,Immortal Genie of the Vase,ImmortalGenie,magic resist,MagicResist,,,125,SetSkill,Ready,
MSC-035,MC-016,Old King Wolfgang,OldKingWolfgang,searching,Searching,,,125,SetSkill,Ready,
MSC-036,MC-016,Old King Wolfgang,OldKingWolfgang,tactics,Tactics,,,125,SetSkill,Ready,
MSC-037,MC-027,Old Man Willow,OldManWillow,searching,Searching,,,125,SetSkill,Ready,
MSC-038,MC-015,Olympus,Olympus,searching,Searching,,,125,SetSkill,Ready,
MSC-039,MC-015,Olympus,Olympus,tactics,Tactics,,,125,SetSkill,Ready,
MSC-040,MC-021,Plague God,PlagueGod,searching,Searching,,,125,SetSkill,Ready,
MSC-041,MC-003,Red Death,RedDeath,searching,Searching,,,125,SetSkill,Ready,
MSC-042,MC-007,Rune Knight,RuneKnight,searching,Searching,,,125,SetSkill,Ready,
MSC-043,MC-007,Rune Knight,RuneKnight,tactics,Tactics,,,125,SetSkill,Ready,
MSC-044,MC-005,Scientist,Scientist,searching,Searching,,,125,SetSkill,Ready,
MSC-045,MC-033,Skinwalker,Skinwalker,searching,Searching,,,125,SetSkill,Ready,
MSC-046,MC-033,Skinwalker,Skinwalker,tactics,Tactics,,,125,SetSkill,Ready,
