BonusName,BonusGroup,ImplementationSurface,SupportsNegative,Status,Notes
AttackChance,AosAttributes,item.Attributes.AttackChance,Yes,SourceVerified,
BonusHits,AosAttributes,item.Attributes.BonusHits,Yes,SourceVerified,
BonusMana,AosAttributes,item.Attributes.BonusMana,Yes,SourceVerified,
BonusStam,AosAttributes,item.Attributes.BonusStam,Yes,SourceVerified,
CastRecovery,AosAttributes,item.Attributes.CastRecovery,Yes,SourceVerified,
CastSpeed,AosAttributes,item.Attributes.CastSpeed,Yes,SourceVerified,
ColdBonus,BaseArmorResistanceBonus,armor.ColdBonus,No,SourceVerified,
DefendChance,AosAttributes,item.Attributes.DefendChance,Yes,SourceVerified,
EnergyBonus,BaseArmorResistanceBonus,armor.EnergyBonus,No,SourceVerified,
FireBonus,BaseArmorResistanceBonus,armor.FireBonus,No,SourceVerified,
HitLeechHits,AosWeaponAttributes,weapon.WeaponAttributes.HitLeechHits,No,SourceVerified,
HitLeechMana,AosWeaponAttributes,weapon.WeaponAttributes.HitLeechMana,No,SourceVerified,
HitLeechStam,AosWeaponAttributes,weapon.WeaponAttributes.HitLeechStam,No,SourceVerified,
HitLightning,AosWeaponAttributes,weapon.WeaponAttributes.HitLightning,No,SourceVerified,
HitPoisonArea,AosWeaponAttributes,weapon.WeaponAttributes.HitPoisonArea,No,SourceVerified,
LowerManaCost,AosAttributes,item.Attributes.LowerManaCost,Yes,SourceVerified,
LowerRegCost,AosAttributes,item.Attributes.LowerRegCost,Yes,SourceVerified,
Luck,AosAttributes,item.Attributes.Luck,Yes,SourceVerified,
MageArmor,AosArmorAttributes,armor.ArmorAttributes.MageArmor,No,SourceVerified,
MaxDamage,BaseWeaponProperty,weapon.MaxDamage,No,SourceVerified,
MinDamage,BaseWeaponProperty,weapon.MinDamage,No,SourceVerified,
PhysicalBonus,BaseArmorResistanceBonus,armor.PhysicalBonus,No,SourceVerified,
PoisonBonus,BaseArmorResistanceBonus,armor.PoisonBonus,No,SourceVerified,
ReflectPhysical,AosAttributes,item.Attributes.ReflectPhysical,Yes,SourceVerified,
RegenHits,AosAttributes,item.Attributes.RegenHits,Yes,SourceVerified,
RegenMana,AosAttributes,item.Attributes.RegenMana,Yes,SourceVerified,
RegenStam,AosAttributes,item.Attributes.RegenStam,Yes,SourceVerified,
SelfRepair,AosWeaponOrArmorAttributes,weapon.WeaponAttributes.SelfRepair or armor.ArmorAttributes.SelfRepair,No,SourceVerified,
SpellChanneling,AosAttributes,item.Attributes.SpellChanneling,Yes,SourceVerified,
SpellDamage,AosAttributes,item.Attributes.SpellDamage,Yes,SourceVerified,
WeaponDamage,AosAttributes,item.Attributes.WeaponDamage,Yes,SourceVerified,
Weight,ItemProperty,item.Weight,No,SourceVerified,
