ClassName,BaseClass,SourcePath,Kind,Status,Notes
ANecromancerShroud,Robe,Data/Scripts/Items/Magical/Artifacts/Obsolete/Obsolete_ANecromancerShroud.cs,ItemCandidate,SourceVerified,
AbbatoirAddon,BaseAddon,Data/Scripts/Items/Construction/Addons/AbbatoirAddon.cs,ItemCandidate,SourceVerified,
AbbatoirDeed,BaseAddonDeed,Data/Scripts/Items/Construction/Addons/AbbatoirAddon.cs,ItemCandidate,SourceVerified,
AbysmalGloves,LeatherGloves,Data/Scripts/Items/Magical/Artifacts/Obsolete/Obsolete_AbysmalGloves.cs,ItemCandidate,SourceVerified,
AchillesShield,BronzeShield,Data/Scripts/Items/Magical/Artifacts/Obsolete/Obsolete_AchillesShield.cs,ItemCandidate,SourceVerified,
AchillesSpear,Spear,Data/Scripts/Items/Magical/Artifacts/Obsolete/Obsolete_AchillesSpear.cs,ItemCandidate,SourceVerified,
AcidProofRobe,MagicRobe,Data/Scripts/Items/Magical/Artifacts/Obsolete/Obsolete_AcidProofRobe.cs,ItemCandidate,SourceVerified,
AcidSlime,Item,Data/Scripts/Items/Misc/AcidSlime.cs,ItemCandidate,SourceVerified,
Acorn,Food,Data/Scripts/Items/Food/Food.cs,ItemCandidate,SourceVerified,
AddDoor,Target,Data/Scripts/Items/Doors/DoorSwitch.cs,ItemCandidate,SourceVerified,
AddPureWaxTarget,Target,Data/Scripts/Trades/Apiculture/Items/LargeWaxPot.cs,ItemCandidate,SourceVerified,
AddWaxTarget,Target,Data/Scripts/Trades/Apiculture/Items/SmallWaxPot.cs,ItemCandidate,SourceVerified,
AddonComponent,Item,Data/Scripts/Items/Construction/Addons/AddonComponent.cs,ItemCandidate,SourceVerified,
AddonContainerComponent,Item,Data/Scripts/Items/Construction/Addons/AddonContainerComponent.cs,ItemCandidate,SourceVerified,
AdminBoard,Item,Data/Scripts/Items/Books/BulletinBoards/AdminBoard.cs,ItemCandidate,SourceVerified,
AdminBoardGump,Gump,Data/Scripts/Items/Books/BulletinBoards/AdminBoard.cs,ItemCandidate,SourceVerified,
AdminRobe,BaseSuit,Data/Scripts/Items/Clothing/Suits/AdminRobe.cs,ItemCandidate,SourceVerified,
AdmiralsHeartyRum,BeverageBottle,Data/Scripts/Items/Magical/Artifacts/Minor/AdmiralsHeartyRum.cs,ItemCandidate,SourceVerified,
AdvancedAlchemyStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedAnatomyStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedArmsLoreStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
AdvancedBeggingStudyBook,StudyBook,Data/Scripts/Custom/Offline Skill Training/Items/AdvancedStudyBooks.cs,ItemCandidate,SourceVerified,
