ClassName,DisplayName,SourcePath,Status,Notes
AIControlMobileTarget,lantern the,Data/Scripts/Mobiles/Base/Behavior.cs,SourceVerified,
AbrozChieftain,an ambroz chieftain,Data/Scripts/Mobiles/Humanoids/Ambroz/AbrozChieftain.cs,SourceVerified,
AbrozShaman,an ambroz shaman,Data/Scripts/Mobiles/Humanoids/Ambroz/AbrozShaman.cs,SourceVerified,
AbrozWarrior,an ambroz warrior,Data/Scripts/Mobiles/Humanoids/Ambroz/AbrozWarrior.cs,SourceVerified,
AbysmalDaemon,staff of the abyss the abysmal archfiend,Data/Scripts/Mobiles/Daemons/AbysmalDaemon.cs,SourceVerified,
AbysmalDrake,a drake,Data/Scripts/Mobiles/Dragons/Drakes/AbysmalDrake.cs,SourceVerified,
AbysmalOgre,an abysmal ogre,Data/Scripts/Mobiles/Goliaths/Ogres/AbysmalOgre.cs,SourceVerified,
AbyssCrawler,a kith,Data/Scripts/Mobiles/Insects/Spiders/AbyssCrawler.cs,SourceVerified,
AbyssGiant,abysmal chest the abysmal giant,Data/Scripts/Mobiles/Goliaths/Giants/AbyssGiant.cs,SourceVerified,
AcidPuddle,an acid puddle,Data/Scripts/Mobiles/Slimes/AcidPuddle.cs,SourceVerified,
Actions,stretched hide,Data/Scripts/Mobiles/Civilized/Actions.cs,SourceVerified,
Actor,the actress,Data/Scripts/Mobiles/Civilized/Vendors/Actor.cs,SourceVerified,
Adimarchus,Adimarchus the Daemon Prince of Madness,Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Adimarchus.cs,SourceVerified,
AdventurerEast,,Data/Scripts/Mobiles/Civilized/Citizens/Adventurers.cs,SourceVerified,
AdventurerNorth,,Data/Scripts/Mobiles/Civilized/Citizens/Adventurers.cs,SourceVerified,
AdventurerSouth,,Data/Scripts/Mobiles/Civilized/Citizens/Adventurers.cs,SourceVerified,
AdventurerWest,,Data/Scripts/Mobiles/Civilized/Citizens/Adventurers.cs,SourceVerified,
Adventurers,throwing stone,Data/Scripts/Mobiles/Humanoids/Humans/Adventurers.cs,SourceVerified,
Afreet,an afreet,Data/Scripts/Mobiles/Daemons/Afreet.cs,SourceVerified,
AgapiteElemental,an agapite elemental,Data/Scripts/Mobiles/Elementals/Ore Elementals/AgapiteElemental.cs,SourceVerified,
AirElemental,an air elemental,Data/Scripts/Mobiles/Elementals/Elementals/AirElemental.cs,SourceVerified,
AlbinoBat,an albino bat,Data/Scripts/Mobiles/Animals/Rodents/AlbinoBat.cs,SourceVerified,
Alchemist,night sight potion,Data/Scripts/Mobiles/Civilized/Vendors/Alchemist.cs,SourceVerified,
AlchemistGuildmaster,night sight potion,Data/Scripts/Mobiles/Civilized/Guilds/AlchemistGuildmaster.cs,SourceVerified,
Alien,an alien,Data/Scripts/Mobiles/Insects/Aliens/Alien.cs,SourceVerified,
AlienSmall,an alien hatchling,Data/Scripts/Mobiles/Insects/Aliens/AlienSmall.cs,SourceVerified,
