IssueId,Severity,Sheet,RowKey,Issue,Recommendation,Status
MBR-001,P1,LootAssignments,LA-001,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-002,P1,LootAssignments,LA-002,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-003,P1,LootAssignments,LA-003,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-004,P1,LootAssignments,LA-004,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-005,P1,LootAssignments,LA-005,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-006,P1,LootAssignments,LA-006,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-007,P1,LootAssignments,LA-007,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-008,P1,LootAssignments,LA-008,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-009,P1,LootAssignments,LA-009,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-010,P1,LootAssignments,LA-010,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-011,P1,LootAssignments,LA-011,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-012,P1,LootAssignments,LA-012,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-013,P1,LootAssignments,LA-013,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-014,P1,LootAssignments,LA-014,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-015,P1,LootAssignments,LA-015,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-016,P1,LootAssignments,LA-016,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-017,P1,LootAssignments,LA-017,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-018,P1,LootAssignments,LA-017,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-019,P1,LootAssignments,LA-017,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-020,P1,LootAssignments,LA-017,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-021,P1,LootAssignments,LA-018,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-022,P1,LootAssignments,LA-019,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-023,P1,LootAssignments,LA-020,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-024,P1,LootAssignments,LA-021,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-025,P1,LootAssignments,LA-022,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-026,P1,LootAssignments,LA-023,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-027,P1,LootAssignments,LA-024,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-028,P1,LootAssignments,LA-025,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-029,P1,LootAssignments,LA-026,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-030,P1,LootAssignments,LA-027,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-031,P1,LootAssignments,LA-027,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-032,P1,LootAssignments,LA-028,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-033,P1,LootAssignments,LA-028,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-034,P1,LootAssignments,LA-028,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-035,P1,LootAssignments,LA-029,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-036,P1,LootAssignments,LA-030,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-037,P1,LootAssignments,LA-031,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-038,P1,LootAssignments,LA-032,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-039,P1,LootAssignments,LA-033,Guaranteed=Yes with ChancePercent below 100,Choose whether chance or guaranteed semantics control the drop.,NeedsDecision
MBR-040,P1,NewLootItems,ITEM-005,OwnerBound=Yes requires binding policy,"Choose killer, top damager, looter, first equipper, or another binding rule.",NeedsDecision
MBR-041,P1,NewLootItems,ITEM-007,OwnerBound=Yes requires binding policy,"Choose killer, top damager, looter, first equipper, or another binding rule.",NeedsDecision
MBR-042,P1,NewLootItems,ITEM-013,OwnerBound=Yes requires binding policy,"Choose killer, top damager, looter, first equipper, or another binding rule.",NeedsDecision
MBR-043,P1,NewLootItems,ITEM-014,Class name conflicts with existing source class,Pick a new class name before implementation.,NeedsDecision
MBR-044,P1,NewLootItems,ITEM-015,OwnerBound=Yes requires binding policy,"Choose killer, top damager, looter, first equipper, or another binding rule.",NeedsDecision
MBR-045,P1,NewLootItems,ITEM-016,OwnerBound=Yes requires binding policy,"Choose killer, top damager, looter, first equipper, or another binding rule.",NeedsDecision
MBR-046,P1,NewLootItems,ITEM-021,OwnerBound=Yes requires binding policy,"Choose killer, top damager, looter, first equipper, or another binding rule.",NeedsDecision
MBR-047,P1,NewLootItems,ITEM-022,OwnerBound=Yes requires binding policy,"Choose killer, top damager, looter, first equipper, or another binding rule.",NeedsDecision
MBR-048,P1,NewLootItems,ITEM-036,OwnerBound=Yes requires binding policy,"Choose killer, top damager, looter, first equipper, or another binding rule.",NeedsDecision
MBR-049,P1,ItemSkillMods,All negative or over-five skill-mod items,Signed skill modifiers cannot use stock AosSkillBonuses packing,Implement custom equip/unequip SkillMod handling for those items.,ImplementationConstraint
