"SystemOwner","File","SourceHash","Type","Surface","TimeSource","Mutation","Disposition","Adapter","CatalogKey","TestId","Evidence","Rationale"
"Custom:Access Level Stone [2.0]","Data/Scripts/Custom/Access Level Stone [2.0]/AccessLevelStone.cs","96117CDBDEFD7988F52BC85E07F627641728712C7F2835EC26E36A74070C932D","RuntimeScript","Action.ItemUse","N/A","None","NativeBridge","Mobile.Use bridge","ItemUse:*","TBC-ACTION-ITEM","Data/Scripts/Custom/Access Level Stone [2.0]/AccessLevelStone.cs regex:\bOnDoubleClick\s*\(","Item use is cataloged by runtime type while participants are active."
"Custom:Access Level Stone [2.0]","Data/Scripts/Custom/Access Level Stone [2.0]/AccessLevelStone.cs","96117CDBDEFD7988F52BC85E07F627641728712C7F2835EC26E36A74070C932D","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/Access Level Stone [2.0]/AccessLevelStone.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:AnimalSystem","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/DragonShapeChangeStone-body.cs","07557D3CBA32A0382F35E1834AEB2956912C35F18D9EC3C44AECD911A8652A17","RuntimeScript","Action.ItemUse","N/A","None","NativeBridge","Mobile.Use bridge","ItemUse:*","TBC-ACTION-ITEM","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/DragonShapeChangeStone-body.cs regex:\bOnDoubleClick\s*\(","Item use is cataloged by runtime type while participants are active."
"Custom:AnimalSystem","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/DragonShapeChangeStone-body.cs","07557D3CBA32A0382F35E1834AEB2956912C35F18D9EC3C44AECD911A8652A17","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/DragonShapeChangeStone-body.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:AnimalSystem","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/FaeryShapeChangeStone.cs","FEA6E2B463A8596608006B7F060C2ECE46780B3371696566224AE8B40F746F6E","RuntimeScript","Action.ItemUse","N/A","None","NativeBridge","Mobile.Use bridge","ItemUse:*","TBC-ACTION-ITEM","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/FaeryShapeChangeStone.cs regex:\bOnDoubleClick\s*\(","Item use is cataloged by runtime type while participants are active."
"Custom:AnimalSystem","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/FaeryShapeChangeStone.cs","FEA6E2B463A8596608006B7F060C2ECE46780B3371696566224AE8B40F746F6E","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/FaeryShapeChangeStone.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:AnimalSystem","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/FelinusShapeChangeStone.cs","5F09EFCA559AEE10622EDFE438D0724FB7EDDB8AFE1E3B3223C840883797A421","RuntimeScript","Action.ItemUse","N/A","None","NativeBridge","Mobile.Use bridge","ItemUse:*","TBC-ACTION-ITEM","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/FelinusShapeChangeStone.cs regex:\bOnDoubleClick\s*\(","Item use is cataloged by runtime type while participants are active."
"Custom:AnimalSystem","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/FelinusShapeChangeStone.cs","5F09EFCA559AEE10622EDFE438D0724FB7EDDB8AFE1E3B3223C840883797A421","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/FelinusShapeChangeStone.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
"Custom:AnimalSystem","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/RatShapeChangeStone.cs","FAB5C6B880C8E3A9EDD52CD761976571106D5503E9E4D5411B4D3F8815F731EC","RuntimeScript","Action.ItemUse","N/A","None","NativeBridge","Mobile.Use bridge","ItemUse:*","TBC-ACTION-ITEM","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/RatShapeChangeStone.cs regex:\bOnDoubleClick\s*\(","Item use is cataloged by runtime type while participants are active."
"Custom:AnimalSystem","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/RatShapeChangeStone.cs","FAB5C6B880C8E3A9EDD52CD761976571106D5503E9E4D5411B4D3F8815F731EC","RuntimeScript","Persistence.Serialization","N/A","None","NotCombatRelevant","No group serialization","Persistence:Canonical","TBC-SAVE-RESTART","Data/Scripts/Custom/AnimalSystem/ShapeShiftStones/RatShapeChangeStone.cs regex:\b(Serialize|Deserialize)\s*\(","Canonical owner state remains unchanged; combat groups are process-local."
